Latitude & Longitude in Decimal Degrees,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Identification Information,LATITUDE,LONGITUDE,IES Project #(s),Comments (colored rows = coords in Fld Res Database),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PROXIMITY,,,,,SYMBOL,;waypts
CP502,N41.793441,W073.741136,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP598,N41.794331,W073.737858,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP600,N41.792700,W073.737359,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP605,N41.788623,W073.737467,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP626,N41.789562,W073.736560,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP634,N41.796852,W073.735766,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP635,N41.797416,W073.736469,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP637,N41.799588,W073.736866,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP664,N41.795957,W073.734806,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP667,N41.793870,W073.735423,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP672,N41.788854,W073.734731,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP698,N41.793264,W073.733808,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP702,N41.796745,W073.733910,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
CP739,N41.791628,W073.733025,430 & 1370,"Began as project 430, subset of 430 plots used in proj. 1370",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,
