"siteID","year","greenup","mid_greenup","maturity","tick_15","anomalous"
"GREN",2016,113,136,161,137.655410023374,TRUE
"GREN",2018,111,133,159,154.21353632047,FALSE
"GREN",2021,98,128,155,136.880196576051,FALSE
"GREN",2023,98,119,142,150.093917643842,FALSE
"HNRY",2016,113,136,161,133.030484916382,FALSE
"HNRY",2017,110,131,156,139.468153769353,FALSE
"HNRY",2018,110,132,158,137.827668305291,FALSE
"HNRY",2019,108,130,155,136.198520715934,FALSE
"HNRY",2021,103,128,154,137.702239714966,FALSE
"HNRY",2022,108,132,157,154.427646913433,FALSE
"TEA",2018,111,132,156,138.617214221286,FALSE
"TEA",2019,102,126,152,118.593864118848,FALSE
"TEA",2021,107,130,157,140.441441865098,FALSE
"TEA",2023,97,118,142,150.045019064444,FALSE
"BLAN",2016,87,116,148,123.36317963198,FALSE
"BLAN",2017,80,108,137,115.878848493742,FALSE
"BLAN",2018,93,120,150,117.039975925189,FALSE
"BLAN",2021,82,108,137,116.466335784038,FALSE
"BLAN",2022,92,119,147,111.840139135015,FALSE
"BLAN",2023,78,106,137,130.659545902334,TRUE
"BLAN",2024,80,112,143,111.627427355776,FALSE
"SCBI",2016,76,110,149,138.127731282282,FALSE
"SCBI",2017,81,108,145,122.807325787451,FALSE
"SCBI",2018,94,120,151,124.883303647164,FALSE
"SCBI",2019,87,113,146,129.956133488439,TRUE
"SCBI",2021,82,107,145,121.697479827126,TRUE
"SCBI",2022,78,107,138,118.661052295892,TRUE
"SCBI",2023,75,102,132,117.661049623241,TRUE
"SCBI",2024,81,106,133,108.689913379829,FALSE
"SERC",2016,98,122,150,127.779008321282,FALSE
"SERC",2017,100,125,162,103.697479823883,TRUE
"SERC",2018,108,127,153,122.335227522925,FALSE
"SERC",2019,93,116,149,125.840182777857,FALSE
"SERC",2021,98,121,158,116.999382184484,FALSE
"SERC",2022,100,121,146,117.099835230266,FALSE
"SERC",2023,88,112,152,111.805045981705,FALSE
"SERC",2024,100,122,149,116.212169247794,FALSE
"ORNL",2016,83,111,142,99.140601665823,FALSE
"ORNL",2018,86,112,138,108.488061253044,FALSE
"ORNL",2019,83,107,138,101.63571620276,FALSE
"ORNL",2021,85,110,136,99.420904592919,FALSE
"ORNL",2022,89,115,145,101.305370582212,FALSE
"ORNL",2023,77,104,135,111.467028927974,FALSE
"ORNL",2024,81,109,138,110.049185098276,FALSE
"MLBS",2024,112,135,160,119.663434594864,TRUE
"TREE",2016,124,149,175,148.198780840427,TRUE
"TREE",2017,114,142,169,138.755539120536,FALSE
"TREE",2018,117,142,170,151.894491597288,FALSE
"TREE",2019,121,146,174,142.509912185939,FALSE
"TREE",2021,114,142,170,139.127191494057,FALSE
"TREE",2022,119,144,173,154.391667510486,FALSE
"TREE",2023,115,140,169,148.377751528741,FALSE
"TREE",2024,112,140,169,150.463566610506,FALSE
"HARV",2016,116,140,164,136.158752206034,TRUE
"HARV",2017,105,128,154,130.763807770609,FALSE
"HARV",2018,115,137,162,137.839961176718,FALSE
"HARV",2019,107,134,160,144.158461342498,TRUE
"HARV",2021,114,136,160,132.946447710407,FALSE
"HARV",2023,107,130,156,146.661049562633,TRUE
"HARV",2024,109,133,159,122.19779026441,TRUE
