"site","latitude_top_left","longitude_top_left","latitude_bottom_right","longitude_bottom_right"
"ABBY",45.7777768742809,-122.382210483756,45.7397977474889,-122.299547516244
"BARR",71.254577819153,-156.503681483756,71.2424710225518,-156.327991516244
"BART",44.0579310092501,-71.3162594837556,44.0423168432603,-71.2742505162443
"BLAN",39.0937544792824,-77.9815944837557,39.0788713938909,-77.9572915162442
"BONA",65.1923562202764,-147.548254483756,65.1544402984957,-147.462233516244
"CLBJ",33.4129268631291,-97.6630424837556,33.3201534221161,-97.5772575162442
"CPER",40.8681913918548,-104.749559483756,40.7981689677335,-104.697727516244
"DCFS",47.2114102019552,-99.1848804837556,47.1199828576697,-99.0493035162442
"DEJU",63.9297713086199,-145.782202483756,63.8317914545125,-145.744613516244
"DELA",32.5391275740586,-87.8182124837558,32.5311083702565,-87.8021595162443
"DSNY",28.1245430244271,-81.4400994837557,28.0384134082135,-81.3841935162442
"GRSM",35.7323082929073,-83.6372684837556,35.6646641555254,-83.3593825162442
"GUAN",17.977338014175,-66.8827604837557,17.9678179477228,-66.8250885162442
"HARV",42.4718943474521,-72.2647174837557,42.401393986957,-72.2243085162443
"HEAL",63.8871028493478,-149.277637483756,63.8715179577082,-149.184929516244
"JERC",31.1979885653395,-84.4730214837556,31.1866393567735,-84.4487415162443
"JORN",32.6206359547402,-106.858971483756,32.604728929465,-106.794567516244
"KONA",39.2178513735891,-96.6492484837556,39.1205907651619,-96.5940615162442
"KONZ",39.1196252490186,-96.6032964837556,39.0694833103898,-96.5439665162443
"LAJA",18.0364247564399,-67.0842154837556,18.024540195011,-67.0677685162443
"LENO",31.8234779523589,-88.2039524837556,31.8062819248333,-88.1854275162442
"MLBS",37.4288420267971,-80.5650564837557,37.3691804673896,-80.4997505162443
"MOAB",38.269546747961,-109.424423483756,38.208613725412,-109.339140516244
"NIWO",40.0560038290372,-105.573559483756,40.0373440071695,-105.546239516244
"NOGP",46.8109683352282,-100.919494483756,46.7658572065281,-100.902036516244
"OAES",35.4200788561094,-99.0851764837556,35.3974339641374,-99.0499995162443
"ONAQ",40.2072914530795,-112.542890483756,40.1497230284515,-112.427684516244
"ORNL",35.9813112347809,-84.3322454837557,35.9073841583048,-84.2112765162442
"OSBS",29.7242471073443,-82.0268444837558,29.6781655753853,-81.9448215162442
"RMNP",40.2047234764711,-105.541527483756,40.1617991383387,-105.478952516244
"SCBI",38.9050921546073,-78.1707934837557,38.8815626425028,-78.1206515162443
"SERC",38.9035911679087,-76.5580644837556,38.8721885594804,-76.5244615162442
"SJER",37.1290925886852,-119.752850483756,37.0809270067859,-119.714310516244
"SOAP",37.0358153823076,-119.283716483756,37.0257145373394,-119.248980516244
"SRER",31.8992723878029,-110.886724483756,31.8285260903166,-110.812889516244
"STEI",45.8314113316663,-90.0927934837557,45.7840391947509,-90.0472465162442
"STER",40.4811879510513,-103.036265483756,40.4618028770372,-103.012692516244
"TALL",32.9263956192408,-87.4536494837557,32.8836830585444,-87.3866405162443
"TEAK",37.0561142097464,-119.053007483756,36.9775631284193,-118.980924516244
"TOOL",68.646458388427,-149.581953483756,68.5988019892457,-149.336989516244
"TREE",45.4956487203977,-89.5730004837557,45.4782481102169,-89.5520205162442
"UKFS",39.0527618438768,-95.2046394837556,39.0358020109548,-95.1856065162442
"UNDE",46.2563520151719,-89.5600114837557,46.2063214807216,-89.4827935162443
"WOOD",47.151509821945,-99.2650144837556,47.1196098538129,-99.2118015162442
"WREF",45.849260150982,-122.018267483756,45.8230415893271,-121.849290516244
"YELL",44.9585541005864,-110.647392483756,44.9175964968939,-110.407905516244
