"siteID","date","lai_mean","lai_median","lai_sd","n_pixels"
"GREN",2015-12-27,0.5,0.5,0,1
"GREN",2016-01-01,0.5,0.5,0,1
"GREN",2016-01-09,0.5,0.5,0,1
"GREN",2016-01-17,0.5,0.5,0,1
"GREN",2016-01-25,0.5,0.5,0,1
"GREN",2016-02-02,0.5,0.5,0,1
"GREN",2016-02-10,0.2,0.2,0,1
"GREN",2016-02-26,0.6,0.6,0,1
"GREN",2016-03-05,0.7,0.7,0,1
"GREN",2016-03-13,0.9,0.9,0,1
"GREN",2016-03-21,0.9,0.9,0,1
"GREN",2016-03-29,0.8,0.8,0,1
"GREN",2016-04-06,0.7,0.7,0,1
"GREN",2016-04-14,1,1,0,1
"GREN",2016-04-22,0.9,0.9,0,1
"GREN",2016-04-30,0.3,0.3,0,1
"GREN",2016-05-08,1.5,1.5,0,1
"GREN",2016-05-16,5.2,5.2,0,1
"GREN",2016-05-24,5.7,5.7,0,1
"GREN",2016-06-01,5.6,5.6,0,1
"GREN",2016-06-09,5.4,5.4,0,1
"GREN",2016-06-17,5.7,5.7,0,1
"GREN",2016-06-25,6.7,6.7,0,1
"GREN",2016-07-03,5.8,5.8,0,1
"GREN",2016-07-11,5.6,5.6,0,1
"GREN",2016-07-19,4.6,4.6,0,1
"GREN",2016-07-27,5,5,0,1
"GREN",2016-08-04,6.5,6.5,0,1
"GREN",2016-08-12,7,7,0,1
"GREN",2016-08-20,5.5,5.5,0,1
"GREN",2016-08-28,6.5,6.5,0,1
"GREN",2016-09-05,3.5,3.5,0,1
"GREN",2016-09-13,5,5,0,1
"GREN",2016-09-21,4.9,4.9,0,1
"GREN",2016-09-29,4.3,4.3,0,1
"GREN",2016-10-07,4.9,4.9,0,1
"GREN",2016-10-15,1.4,1.4,0,1
"GREN",2016-10-23,1,1,0,1
"GREN",2016-10-31,0.9,0.9,0,1
"GREN",2016-11-08,0.7,0.7,0,1
"GREN",2016-11-16,0.7,0.7,0,1
"GREN",2016-11-24,0.5,0.5,0,1
"GREN",2016-12-02,0.5,0.5,0,1
"GREN",2016-12-10,0.7,0.7,0,1
"GREN",2016-12-18,0.5,0.5,0,1
"GREN",2016-12-26,0.5,0.5,0,1
"GREN",2017-01-01,0.5,0.5,0,1
"GREN",2017-01-09,0.5,0.5,0,1
"GREN",2017-01-17,0.1,0.1,0,1
"GREN",2017-01-25,0.1,0.1,0,1
"GREN",2017-02-02,0.5,0.5,0,1
"GREN",2017-02-10,0.1,0.1,0,1
"GREN",2017-02-18,0.5,0.5,0,1
"GREN",2017-02-26,0.7,0.7,0,1
"GREN",2017-03-06,0.7,0.7,0,1
"GREN",2017-03-14,0.1,0.1,0,1
"GREN",2017-03-22,0.1,0.1,0,1
"GREN",2017-03-30,0.5,0.5,0,1
"GREN",2017-04-07,0.7,0.7,0,1
"GREN",2017-04-15,0.5,0.5,0,1
"GREN",2017-04-23,1.2,1.2,0,1
"GREN",2017-05-01,0.6,0.6,0,1
"GREN",2017-05-09,2.1,2.1,0,1
"GREN",2017-05-17,4.4,4.4,0,1
"GREN",2017-05-25,5.2,5.2,0,1
"GREN",2017-06-02,5.1,5.1,0,1
"GREN",2017-06-10,4.3,4.3,0,1
"GREN",2017-06-18,5.8,5.8,0,1
"GREN",2017-06-26,5.6,5.6,0,1
"GREN",2017-07-04,5.7,5.7,0,1
"GREN",2017-07-12,5.1,5.1,0,1
"GREN",2017-07-20,4.7,4.7,0,1
"GREN",2017-07-28,5.6,5.6,0,1
"GREN",2017-08-05,6.7,6.7,0,1
"GREN",2017-08-13,5.4,5.4,0,1
"GREN",2017-08-21,5.5,5.5,0,1
"GREN",2017-08-29,5,5,0,1
"GREN",2017-09-06,5.1,5.1,0,1
"GREN",2017-09-14,4.8,4.8,0,1
"GREN",2017-09-22,4.6,4.6,0,1
"GREN",2017-09-30,4.3,4.3,0,1
"GREN",2017-10-08,1.4,1.4,0,1
"GREN",2017-10-16,1.7,1.7,0,1
"GREN",2017-10-24,1.1,1.1,0,1
"GREN",2017-11-01,0.9,0.9,0,1
"GREN",2017-11-09,0.7,0.7,0,1
"GREN",2017-11-17,0.7,0.7,0,1
"GREN",2017-11-25,0.6,0.6,0,1
"GREN",2017-12-03,0.5,0.5,0,1
"GREN",2017-12-11,0.5,0.5,0,1
"GREN",2017-12-19,0.5,0.5,0,1
"GREN",2017-12-27,0.5,0.5,0,1
"GREN",2018-01-01,0.5,0.5,0,1
"GREN",2018-01-09,0.5,0.5,0,1
"GREN",2018-01-17,0.3,0.3,0,1
"GREN",2018-01-25,0.5,0.5,0,1
"GREN",2018-02-02,0.2,0.2,0,1
"GREN",2018-02-10,0.5,0.5,0,1
"GREN",2018-02-18,0.1,0.1,0,1
"GREN",2018-02-26,0.5,0.5,0,1
"GREN",2018-03-06,0.3,0.3,0,1
"GREN",2018-03-14,0.3,0.3,0,1
"GREN",2018-03-22,0.6,0.6,0,1
"GREN",2018-03-30,0.4,0.4,0,1
"GREN",2018-04-07,0.8,0.8,0,1
"GREN",2018-04-15,0.9,0.9,0,1
"GREN",2018-04-23,0.9,0.9,0,1
"GREN",2018-05-01,1.4,1.4,0,1
"GREN",2018-05-09,1.7,1.7,0,1
"GREN",2018-05-17,4.6,4.6,0,1
"GREN",2018-05-25,5.6,5.6,0,1
"GREN",2018-06-02,1.9,1.9,0,1
"GREN",2018-06-10,5.5,5.5,0,1
"GREN",2018-06-18,5.6,5.6,0,1
"GREN",2018-06-26,1.5,1.5,0,1
"GREN",2018-07-04,5.7,5.7,0,1
"GREN",2018-07-12,5.7,5.7,0,1
"GREN",2018-07-20,5.5,5.5,0,1
"GREN",2018-07-28,2.5,2.5,0,1
"GREN",2018-08-05,5.5,5.5,0,1
"GREN",2018-08-13,5.7,5.7,0,1
"GREN",2018-08-21,5,5,0,1
"GREN",2018-08-29,5,5,0,1
"GREN",2018-09-06,6.8,6.8,0,1
"GREN",2018-09-14,5.2,5.2,0,1
"GREN",2018-09-22,3.7,3.7,0,1
"GREN",2018-09-30,4.3,4.3,0,1
"GREN",2018-10-08,2.8,2.8,0,1
"GREN",2018-10-16,3,3,0,1
"GREN",2018-10-24,0.5,0.5,0,1
"GREN",2018-11-01,0.7,0.7,0,1
"GREN",2018-11-09,0.7,0.7,0,1
"GREN",2018-11-17,0.5,0.5,0,1
"GREN",2018-11-25,0.4,0.4,0,1
"GREN",2018-12-03,0.5,0.5,0,1
"GREN",2018-12-11,0.5,0.5,0,1
"GREN",2018-12-19,0.5,0.5,0,1
"GREN",2018-12-27,0.5,0.5,0,1
"GREN",2019-01-01,0.5,0.5,0,1
"GREN",2019-01-09,0.5,0.5,0,1
"GREN",2019-01-17,0.5,0.5,0,1
"GREN",2019-01-25,0.5,0.5,0,1
"GREN",2019-02-02,0.5,0.5,0,1
"GREN",2019-02-10,0.5,0.5,0,1
"GREN",2019-02-18,0.1,0.1,0,1
"GREN",2019-02-26,0.3,0.3,0,1
"GREN",2019-03-06,0.3,0.3,0,1
"GREN",2019-03-14,0.8,0.8,0,1
"GREN",2019-03-22,0.9,0.9,0,1
"GREN",2019-03-30,0.8,0.8,0,1
"GREN",2019-04-07,0.8,0.8,0,1
"GREN",2019-04-15,0.9,0.9,0,1
"GREN",2019-04-23,1,1,0,1
"GREN",2019-05-01,1.3,1.3,0,1
"GREN",2019-05-09,2,2,0,1
"GREN",2019-05-17,5.4,5.4,0,1
"GREN",2019-05-25,4.8,4.8,0,1
"GREN",2019-06-02,5.6,5.6,0,1
"GREN",2019-06-10,5.1,5.1,0,1
"GREN",2019-06-18,4.5,4.5,0,1
"GREN",2019-06-26,5.9,5.9,0,1
"GREN",2019-07-04,5.4,5.4,0,1
"GREN",2019-07-12,4.8,4.8,0,1
"GREN",2019-07-20,5.9,5.9,0,1
"GREN",2019-07-28,6.7,6.7,0,1
"GREN",2019-08-05,7,7,0,1
"GREN",2019-08-13,5.6,5.6,0,1
"GREN",2019-08-21,5.6,5.6,0,1
"GREN",2019-08-29,4.7,4.7,0,1
"GREN",2019-09-06,5.4,5.4,0,1
"GREN",2019-09-14,4.5,4.5,0,1
"GREN",2019-09-22,4.5,4.5,0,1
"GREN",2019-09-30,2.6,2.6,0,1
"GREN",2019-10-08,1.4,1.4,0,1
"GREN",2019-10-16,0.9,0.9,0,1
"GREN",2019-10-24,0.7,0.7,0,1
"GREN",2019-11-01,0.7,0.7,0,1
"GREN",2019-11-09,0.5,0.5,0,1
"GREN",2019-11-17,0.6,0.6,0,1
"GREN",2019-11-25,0.5,0.5,0,1
"GREN",2019-12-03,0.1,0.1,0,1
"GREN",2019-12-11,0.3,0.3,0,1
"GREN",2019-12-19,0.5,0.5,0,1
"GREN",2019-12-27,0.5,0.5,0,1
"GREN",2020-01-01,0.5,0.5,0,1
"GREN",2020-01-09,0.5,0.5,0,1
"GREN",2020-01-17,0.5,0.5,0,1
"GREN",2020-01-25,0.5,0.5,0,1
