node,lower95,lower75,median,mean,upper75,upper95,variance,siteID,species,start.date == start.date,model,start.date,mice,weather
beta[10],-2.09296974769617,-1.58949779389311,-0.6926747664620247,-0.668169079764072,0.25767225854721054,0.9302338781282848,0.6320384103380969,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[11],-2.308346491941868,-1.5091049210799092,-0.28240099444059036,-0.2539626169007535,1.040371223410982,1.8555172430545408,1.1773663605635312,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[12],-1.429348329746179,-1.024149611941796,-0.29066671648655257,-0.1532522525161676,0.8689890148424506,1.7621534372317198,0.6909176978503941,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[13],-0.6463189207107977,-0.3939328136239655,-0.04214888252352467,-0.04533307756808143,0.30426266221235504,0.5507229551996167,0.09411216009122876,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[14],-1.0084731844619392,-0.4317054994070387,0.4326667162071519,0.4507503662312697,1.3375098813959576,1.9518942445183465,0.5901463933820096,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[1],-1.6411263727802252,-1.2852487502424133,-0.8151151856870729,-0.8094635224417814,-0.35928548107056996,-0.09329984049317724,0.14837750610264583,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[2],-2.5189526112343765,-2.219980300243797,-1.6545341251996923,-1.4641200677091957,-0.44784332234235413,0.07534631772742618,0.5425137608418288,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[3],-0.42876204432709225,-0.138305293731201,0.47793063263975866,0.5188737599950568,1.22790948731149,1.6168776231090929,0.31914904762659113,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[4],-0.5339517116314039,0.02297508488543682,1.504353426203188,1.627036860946489,3.1452284579781544,3.6664909118558735,1.55037911400957,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[5],-2.132915120949491,-1.6393195895131665,-0.7816816830998028,-0.8531474447339698,-0.1307962240425647,0.18425583028154985,0.3964586622993507,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[6],-2.7622535038085645,-2.5469734173792884,-2.1326322151642154,-1.2399971232666165,1.0229512882514953,1.5210468900402945,2.349462939644553,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[7],-0.5568222233942596,-0.2978169591613509,0.1752491712937059,0.19816972122618515,0.7232701576199008,1.165509200480124,0.19274129280616817,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
beta[8],-1.1912079633817851,-0.7447981340180018,0.02048014983017347,0.22557446772517944,1.312556725192336,2.266846255077356,0.8526290519372699,SERC,Ixodes scapularis,TRUE,WithWeatherAndMiceGlobal,2016-03-21,Mice,Weather
