collectDate,n_trapped,plotID,siteID
1995-10-09,84,GREN_001,GREN
1995-11-09,37,GREN_001,GREN
1995-04-25,10,GREN_001,GREN
1995-05-23,67,GREN_001,GREN
1995-06-20,88,GREN_001,GREN
1995-08-08,82,GREN_001,GREN
1995-09-12,65,GREN_001,GREN
1996-10-03,20,GREN_001,GREN
1996-10-31,23,GREN_001,GREN
1996-06-27,1,GREN_001,GREN
1996-08-06,10,GREN_001,GREN
1996-09-05,13,GREN_001,GREN
1997-10-16,39,GREN_001,GREN
1997-11-13,42,GREN_001,GREN
1997-05-11,43,GREN_001,GREN
1997-06-10,55,GREN_001,GREN
1997-07-09,60,GREN_001,GREN
1997-08-20,55,GREN_001,GREN
1997-09-18,34,GREN_001,GREN
1998-10-20,94,GREN_001,GREN
1998-04-24,29,GREN_001,GREN
1998-05-28,56,GREN_001,GREN
1998-06-23,73,GREN_001,GREN
1998-08-04,80,GREN_001,GREN
1998-09-01,69,GREN_001,GREN
1998-09-23,64,GREN_001,GREN
1999-10-14,81,GREN_001,GREN
1999-11-02,55,GREN_001,GREN
1999-06-22,144,GREN_001,GREN
1999-06-03,154,GREN_001,GREN
1999-07-22,124,GREN_001,GREN
1999-08-12,121,GREN_001,GREN
1999-09-14,79,GREN_001,GREN
2000-10-10,32,GREN_001,GREN
2000-11-02,27,GREN_001,GREN
2000-06-15,12,GREN_001,GREN
2000-07-28,20,GREN_001,GREN
2000-07-06,14,GREN_001,GREN
2000-08-17,23,GREN_001,GREN
2000-09-21,20,GREN_001,GREN
2001-10-11,56,GREN_001,GREN
2001-11-15,60,GREN_001,GREN
2001-04-19,5,GREN_001,GREN
2001-05-10,7,GREN_001,GREN
2001-05-30,24,GREN_001,GREN
2001-06-21,35,GREN_001,GREN
2001-07-12,43,GREN_001,GREN
2001-08-02,46,GREN_001,GREN
2001-08-23,52,GREN_001,GREN
2001-09-11,51,GREN_001,GREN
2002-10-10,94,GREN_001,GREN
2002-10-29,98,GREN_001,GREN
2002-05-21,48,GREN_001,GREN
2002-06-11,98,GREN_001,GREN
2002-07-16,114,GREN_001,GREN
2002-08-29,84,GREN_001,GREN
