"site","area_sq_m","perimeter_m","area_ha","edge_m_per_ha","mean_nymph_count","mean_adult_count","pct_dominant","lc_dominant"
"GREN",252000,2640,25.2,104.761904761905,0.376038781163435,0.182565789473684,0.985714285714286,"deciduous_forest_pct"
"HNRY",158400,1620,15.84,102.272727272727,0.560728744939271,0.0873397435897436,1,"deciduous_forest_pct"
"TEA",175500,5400,17.55,307.692307692308,0.869113573407202,0.143092105263158,0.717948717948718,"deciduous_forest_pct"
"OSBS",33291000,994320,3329.1,298.67531765342,0.760862913096695,0.246911337209302,0.40602865639362,"evergreen_forest_pct"
"UNDE",31541400,761400,3154.14,241.397021058038,0.0178571428571429,0.0267857142857143,0.471894082063574,"woody_wetland_pct"
"BLAN",7614000,161700,761.4,212.3719464145,0.191013247404225,0.0244472789115646,0.535697399527187,"deciduous_forest_pct"
"SCBI",19197000,370620,1919.7,193.061415846226,0.275653923541247,0.0542002012072435,0.659868729488983,"deciduous_forest_pct"
"SERC",11160000,328320,1116,294.193548387097,0.415789473684211,0.0580792682926829,0.372096774193548,"deciduous_forest_pct"
"ORNL",92905200,2316300,9290.52,249.318660311802,0.467368421052632,0.0623809523809524,0.579900802107955,"deciduous_forest_pct"
"MLBS",48333600,522420,4833.36,108.086300213516,0.0919088766692852,0.0102611940298507,0.653303292119768,"deciduous_forest_pct"
"KONZ",23977800,219480,2397.78,91.5346695693517,0.307300509337861,0.101670506912442,0.880451918024172,"grassland_pct"
"DELA",5443200,143760,544.32,264.109347442681,0.0659649122807018,0.0158333333333333,0.476686507936508,"woody_wetland_pct"
"UKFS",4884300,88080,488.43,180.332903384313,1.12109031528702,0.305489260143198,0.60125299428782,"deciduous_forest_pct"
"TALL",34806600,1283100,3480.66,368.636982641223,0.370845813721295,0.0609756097560976,0.360086880074469,"evergreen_forest_pct"
"TREE",3952800,114480,395.28,289.617486338798,0.275580254985289,0.107336956521739,0.394125683060109,"woody_wetland_pct"
"STEI",10108800,129840,1010.88,128.442545109212,0.0497076023391813,0.0434027777777778,0.756054131054131,"deciduous_forest_pct"
"KONA",54576000,1906920,5457.6,349.406332453826,0.19377990430622,0.0142045454545455,0.269591029023747,"cultivated_crops_pct"
"OAES",8910000,71280,891,80,0.00600494524902861,0.111577181208054,0.918787878787879,"grassland_pct"
"HARV",67468500,1773300,6746.85,262.833766868983,0.143789996082016,0.0643610421836228,0.335636630427533,"mixed_forest_pct"
"CLBJ",68931000,1444620,6893.1,209.574792183488,0.014519056261343,0.0474137931034483,0.557174565870218,"grassland_pct"
"LENO",3353400,28620,335.34,85.3462157809984,0.0937799043062201,0.00852272727272727,0.89801395598497,"woody_wetland_pct"
