uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"d606d53e-e927-420c-a622-25f9f5b7f384","d53f07bf-16f0-4a8a-b794-d6f5e8ec42e5","ABBY.2018.31","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2018-08-02","2018-08-02",,"NEON.DOC.000481vK",,
"8660247b-a9e0-4763-9162-5deb5c7925d6","0ddfe1e2-140f-4855-a777-7a18f4f101bf","ABBY.2018.31","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","pathogen","2018-08-02","2018-08-02",,"NEON.DOC.000481vK","100 traps set",
"f2b916c2-2065-40e1-b148-d691239f2029","e6136433-f2e5-4ed8-9b5c-6d7154751fa7","ABBY.2018.31","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2018-08-02","2018-08-02",,"NEON.DOC.000481vK","100 traps set",
"7c0c74af-24c4-4237-90f3-6158d6b27d33","2e28fe45-c25a-4f5b-9036-c14bab062eca","ABBY.2018.31","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2018-08-03","2018-08-03",,"NEON.DOC.000481vK",,
"a19e1fae-9e84-4d9e-8d86-a31510ae879a","071332af-0f03-449b-9f81-86b13a096dc0","ABBY.2018.31","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2018-08-03","2018-08-03",,"NEON.DOC.000481vK","100",
"1536e5c2-7082-42b8-849c-f1f00fae1b20","c5c46008-4a69-4402-bcef-43277217f4b6","ABBY.2018.31","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","pathogen","2018-08-03","2018-08-03",,"NEON.DOC.000481vK",,
"0b9d8594-b9b9-4f12-b52f-d4109dd5a994","dd3322b8-b133-41e1-9c42-36cb784a3d65","ABBY.2018.31","ABBY_014.mammalGrid.mam","D16","ABBY","ABBY_014","diversity","2018-08-03","2018-08-03",,"NEON.DOC.000481vK",,
"385674df-15c7-4f43-b9b9-7fe54897071b","dd2515dc-6448-4483-bfc6-363d85dabeff","ABBY.2018.31","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2018-08-04","2018-08-04",,"NEON.DOC.000481vK","100",
"228600e5-13cc-4929-acf7-65712aab0f96","b8b81f7e-5eae-4922-8975-dc97b1b6b5a3","ABBY.2018.31","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","diversity","2018-08-04","2018-08-04",,"NEON.DOC.000481vK","100",
"9ddc86b1-4525-4e7a-bdb1-deda77889320","c27d61f4-5157-41e5-a893-e3bdc6c9a103","ABBY.2018.31","ABBY_023.mammalGrid.mam","D16","ABBY","ABBY_023","diversity","2018-08-04","2018-08-04",,"NEON.DOC.000481vK","99 traps set. None at g4",
"3fd3b656-6b33-4362-b174-401cd1fc4e3a","6e183180-5bf4-4427-ac96-c0d2e7d8d57e","ABBY.2018.31","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2018-08-04","2018-08-04",,"NEON.DOC.000481vK","100 traps set",
"0bfc1d65-9fe9-41fe-8389-09a3ca2cf5d6","f6ab6ac9-2cc4-4010-8766-53a1a6760339","ABBY.2018.35","ABBY_023.mammalGrid.mam","D16","ABBY","ABBY_023","diversity","2018-08-31","2018-08-31",,"NEON.DOC.000481vK","100 traps set",
"a6f6a407-f9cf-4fdb-a07b-99ea9a43c50e","a69e889e-507f-4196-a5fe-d7214af4857a","ABBY.2018.35","ABBY_014.mammalGrid.mam","D16","ABBY","ABBY_014","diversity","2018-08-31","2018-08-31",,"NEON.DOC.000481vK","100",
"c5071b31-f23e-4e44-9b39-1cf72a22fc57","7042065c-0e2a-4c28-bcd2-e61d415d3e25","ABBY.2018.35","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","diversity","2018-08-31","2018-08-31",,"NEON.DOC.000481vK","100 traps set",
