uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"76e828d9-a828-450f-b076-06ccbfc9f106","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","E6","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"3 - trap door open or closed w/ spoor left","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,,,"b15eac37-55c9-4c44-be50-d5627b3b8a04"
"e14c3f95-3516-435d-be8c-cbaedcb361e4","1d1ad213-d20a-4b6f-b4e3-105a785498ef","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","D9","distributed","evergreenForest",45.768772,-122.362991,"WGS84",45.4,465.5,0.4,"6 - trap set and empty","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-2974-5382","0009-0002-2294-9551",,,,,"d282a763-4db8-4e9b-859b-f4e0ca74e637"
"a00e8278-13af-48e7-a323-703b88aaee91","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","J8","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"5 - capture","ShermanXLK","2024-08-01","2024-08-01","NEON.MAM.D16.838657",,"TATO","Tamias townsendii","species",,,,,"N","F","Y","processed",,"adult",,"nonenlarged","not","not plugged",34,,,,66,"Y","N","N","6-20","other - see remarks","dry ice",,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,"Mites",,"b8433d49-bd7f-480c-abdc-01d0cda1fed1"
"4825fdfc-0f23-40b9-8729-ac601a2c29f4","27e0b37b-e0bf-4384-bb9a-3d7bed771369","ABBY_023.mammalGrid.mam","D16","ABBY","ABBY_023","G2","distributed","mixedForest",45.746374,-122.381402,"WGS84",45.4,524.0,0.4,"6 - trap set and empty","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-0993-7467","0009-0005-9435-7506",,,,,"57c1a19c-b355-4dee-8d9e-79114255a1b9"
"74e23dea-f32a-4876-a176-a9f809bd5ae9","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","D2","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"6 - trap set and empty","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,,,"8bb2b34d-ce25-408a-9895-b6eac798822b"
"90e60a70-bb5f-4eb2-a30f-bfa12cfa26a1","1d1ad213-d20a-4b6f-b4e3-105a785498ef","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","E2","distributed","evergreenForest",45.768772,-122.362991,"WGS84",45.4,465.5,0.4,"6 - trap set and empty","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-2974-5382","0009-0002-2294-9551",,,,,"0a9a063b-b425-466d-9866-bba66197641c"
"66331d36-ecb1-4fa6-a80c-304d90536a08","1d1ad213-d20a-4b6f-b4e3-105a785498ef","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","I2","distributed","evergreenForest",45.768772,-122.362991,"WGS84",45.4,465.5,0.4,"3 - trap door open or closed w/ spoor left","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0006-2974-5382","0009-0002-2294-9551",,,,,"5fab19c4-8cdd-4a94-9fa9-45238732dd86"
"af34157d-6c33-4f38-b110-c4ce043a9ec5","1d1ad213-d20a-4b6f-b4e3-105a785498ef","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","B7","distributed","evergreenForest",45.768772,-122.362991,"WGS84",45.4,465.5,0.4,"6 - trap set and empty","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0006-2974-5382","0009-0002-2294-9551",,,,,"be526276-cdd6-411b-9197-cde2d02b423e"
"dc416170-0258-4ef8-ad2d-234447ef0259","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","H8","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"3 - trap door open or closed w/ spoor left","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,,,"02006302-9284-4876-8ff5-b59070bf5e4d"
"7d2758a8-4b07-4a19-ac39-4c8374a691d9","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","I4","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"3 - trap door open or closed w/ spoor left","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,,,"aa67727a-199d-4807-a06c-659a23883013"
"b646b0b5-e7fc-405b-8588-d2420de7c5fd","a822f554-ae12-4d31-889d-48d8fe8521cb","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","E9","distributed","evergreenForest",45.777213,-122.373675,"WGS84",45.6,574.6,0.7,"3 - trap door open or closed w/ spoor left","ShermanXLK","2024-08-01","2024-08-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0005-9435-7506","0009-0002-7259-5333",,,,,"57638aca-58cd-42e1-a122-ff783b510fe6"
