uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"a66bbf23-559d-4c8b-a422-f2063863ddfc","ce7d19fa-6ec1-412d-a15f-5a372dddf97b","ABBY.2025.30","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2025-07-21","2025-07-21","management",,"NEON.DOC.000481vQ",,
"7c0d17f4-10b8-4ff4-9e88-2f0880955554","d05e6823-1fc9-4d07-be52-c58a3c7ae816","ABBY.2025.30","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2025-07-22","2025-07-22","management",,"NEON.DOC.000481vQ",,
"36135ee2-45f5-495e-8eb3-58eeacbf1f33","d4642f78-6295-4a9c-9f5e-d5296c19168d","ABBY.2025.30","ABBY_007.mammalGrid.mam","D16","ABBY","ABBY_007","diversity","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"c21d91ef-046b-4061-be68-6b92efa2b81f","12803dea-c8fa-4a80-a120-20d51302c8d8","ABBY.2025.30","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"08d3882c-d6eb-43f7-aaa5-ce7d6dec0d22","38ebec9e-88db-4919-a693-5d490432883b","ABBY.2025.30","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","pathogen","2025-07-22","2025-07-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"963b3530-2da5-4c81-89ce-860af61de373","ba5ebc42-7968-449b-8d9b-2f577e5723c9","ABBY.2025.30","ABBY_004.mammalGrid.mam","D16","ABBY","ABBY_004","pathogen","2025-07-23","2025-07-23","management",,"NEON.DOC.000481vQ",,
"6f7051f3-2e9b-4658-bdc2-5404431f5c57","a87e20f1-bd80-4a12-9e37-3a9cdf443e08","ABBY.2025.30","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","pathogen","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"3b2fa1c2-765f-430e-9aab-d8660c62d893","d07112bf-5afb-4bb4-b5c1-adaf1c4b18d9","ABBY.2025.30","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7d161b90-639f-43cf-a01e-a864b6364362","29ca7b35-cfed-4fb3-8c50-173b9dba1eb0","ABBY.2025.30","ABBY_023.mammalGrid.mam","D16","ABBY","ABBY_023","diversity","2025-07-23","2025-07-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b902ea6b-f080-400a-a151-2515523afaa0","87086ab9-64b9-46bb-ac6f-091a180d1dfc","ABBY.2025.30","ABBY_010.mammalGrid.mam","D16","ABBY","ABBY_010","pathogen","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"15773126-09d3-4e11-92ac-61f7dae4ac0a","f7da28a6-5f55-4dc8-aa72-3b3f6306078d","ABBY.2025.30","ABBY_002.mammalGrid.mam","D16","ABBY","ABBY_002","pathogen","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"441a7feb-5a7e-4067-97dc-90ad765d2847","b75cd788-8c20-4db6-8572-a51ce3aca1ca","ABBY.2025.30","ABBY_014.mammalGrid.mam","D16","ABBY","ABBY_014","diversity","2025-07-24","2025-07-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
