uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"7245b4cb-5c56-4f47-aec3-700669e8c076","2ab3d3cc-4a1a-4358-84b6-eccf121a6e1e","BARR.2021.24","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","pathogen","2021-06-15","2021-06-15","logistical","NEON.DOC.000481vM","COVID-19",
"ea9bc0e9-8768-46b1-8cb5-c77889dcba0d","0c5726b7-dbfa-4cbc-91bc-ef239ad66646","BARR.2021.24","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2021-06-15","2021-06-15","logistical","NEON.DOC.000481vM","COVID-19",
"69751872-d480-463a-b7d3-1b8290772af3","3cd1d90a-1503-4103-947c-c35d5cb5d0ba","BARR.2021.24","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","pathogen","2021-06-15","2021-06-15","logistical","NEON.DOC.000481vM","COVID-19",
"1e6a3980-7bf9-4683-ab9e-f5a8769e5594","e98d1387-83f7-4617-9346-493bd7b0fa54","BARR.2021.24","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2021-06-16","2021-06-16","logistical","NEON.DOC.000481vM","COVID-19",
"46407f66-9315-4be1-9cc7-dc4f8ccf1b06","67c6824f-4833-4215-912c-69f526fcfaa5","BARR.2021.24","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","pathogen","2021-06-16","2021-06-16","logistical","NEON.DOC.000481vM","COVID-19",
"faec1078-3b0e-47ac-974c-435fd2e98392","d9d5f712-bb88-49ed-aa5d-4aeafd21d62a","BARR.2021.24","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","pathogen","2021-06-16","2021-06-16","logistical","NEON.DOC.000481vM","COVID-19",
"98bcfa9c-4e55-458f-ab28-c780beb027e9","5bf67a0b-221c-4192-9f43-cf17618f516a","BARR.2021.24","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2021-06-17","2021-06-17","logistical","NEON.DOC.000481vM","COVID-19",
"1d6f8ebc-43cf-4a96-bf8c-e89fcf02ca6e","305b2ed9-f34f-4842-9637-718311f8ec5e","BARR.2021.24","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","pathogen","2021-06-17","2021-06-17","logistical","NEON.DOC.000481vM","COVID-19",
"4b172632-c428-42fb-b917-916b7a540826","6feb968a-8156-4b89-a7df-2ad88937611f","BARR.2021.24","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","pathogen","2021-06-17","2021-06-17","logistical","NEON.DOC.000481vM","COVID-19",
"ed099b85-9257-44f4-a4ad-3ace33d9ee7f","3c3ca576-4a08-4a5d-8121-fc78fa777f7d","BARR.2021.24","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","diversity","2021-06-18","2021-06-18","logistical","NEON.DOC.000481vM","COVID-19",
"ad73dbc6-48b9-4b29-9588-3d1bd9a3afd5","8f0e7252-78ba-4448-abb8-988347c63c0d","BARR.2021.24","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","diversity","2021-06-18","2021-06-18","logistical","NEON.DOC.000481vM","COVID-19",
"e0fdc2f2-1c99-43f0-9daf-1498cef57b6e","ff203a67-30df-4166-8657-ffff7115eaa8","BARR.2021.24","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","diversity","2021-06-18","2021-06-18","logistical","NEON.DOC.000481vM","COVID-19",
