uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"201af822-3df8-4be7-9536-22053d22473e","0672f439-c0b6-48e2-b5f6-d71803929705","BARR.2024.32","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2024-08-05","2024-08-05","OK","setting complete, no small mammals captured","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"bd14fb6b-1c96-42d2-bf50-b33f780e58f3","81d46702-1cba-4654-9cdd-ed4c3bfcb389","BARR.2024.32","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","pathogen","2024-08-05","2024-08-05","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"d0b4accf-133a-4705-b678-42e01d4a96ac","fa63153a-8c61-46ce-b3ff-585a3174b545","BARR.2024.32","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2024-08-06","2024-08-06","OK","setting complete, no small mammals captured","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"bee9d76e-db2c-416b-b48d-a6076468ee9a","db8f3fb9-29c3-4a7b-bf83-ef9ee2f030ae","BARR.2024.32","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","pathogen","2024-08-06","2024-08-06","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"4a87697d-c910-44f8-8528-5f8c93dc3e15","aafe535e-dc6e-400a-9381-48027a441235","BARR.2024.32","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","pathogen","2024-08-06","2024-08-06","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"6f124bd0-9a2c-49e7-b384-9f1ad03557fd","54cb0d3d-176c-4517-baa6-caea832b7895","BARR.2024.32","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","pathogen","2024-08-06","2024-08-06","location flooded",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"1b88888d-79ee-4d54-9ebf-cc33516ec0d4","1b5d6ace-a56c-4e87-b892-37c0f9cb6745","BARR.2024.32","BARR_084.mammalGrid.mam","D18","BARR","BARR_084","pathogen","2024-08-07","2024-08-07","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"83b7dcbf-2609-4822-942f-951fc781d731","eb132e3f-7182-43af-8438-31c069070be2","BARR.2024.32","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","pathogen","2024-08-07","2024-08-07","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"f1a268d6-5a1e-4324-944e-3f6f256c6dc4","c79ac889-5b10-40bc-9ec2-ae59139056ae","BARR.2024.32","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","pathogen","2024-08-07","2024-08-07","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"3a2b8ab1-61f3-41f0-8cee-fe31f53a3864","02d9434a-ac1c-44c1-8bbb-98a51aac95e9","BARR.2024.32","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","pathogen","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"143ac6fd-af82-4bda-836f-1c8d71822dd6","bc9fc74d-99e0-4b0f-b61e-27abff16fd59","BARR.2024.32","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","diversity","2024-08-07","2024-08-07","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"13c89e35-3035-440a-8746-1670c1394a9f","05cf1203-1fac-4ebc-9cee-c074c52ab7d0","BARR.2024.32","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","pathogen","2024-08-08","2024-08-08","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"4848c452-e27b-4b0f-9933-e2080df6561b","8fb97294-7313-41ff-a43c-1603dfdbc9fc","BARR.2024.32","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","pathogen","2024-08-08","2024-08-08","location flooded",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"70a3856a-35c5-4793-a27b-db7512780774","693d410c-a5da-4684-9d24-843af718d5fe","BARR.2024.32","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","diversity","2024-08-08","2024-08-08","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
