uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"69d3b778-9ff9-4b36-b5df-2b1e4d32f4fa","ad52b9a5-a6a8-47e4-93c2-ba5179ef8d6c","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","J5","distributed","sedgeHerbaceous",71.249902,-156.434698,"WGS84",45.1,4.6,0.1,"1 - trap not set","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56b280f4-a73a-48be-9f50-799e92e512ee"
"5f29d79c-c077-47c5-9218-02587c10423a","44509227-4445-4dc6-a1c3-ac42d760056f","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","E10","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"bfa3e0e9-7cc9-484a-a826-48b42e4c1d32"
"64a71cd6-0900-4b62-b918-874f5f983c7b","8125f319-edf0-4cc4-af8b-540616c7e7f3","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","J7","distributed","sedgeHerbaceous",71.242731,-156.328800,"WGS84",45.1,3.6,0.1,"1 - trap not set","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"19963420-bd23-4c53-b189-c33c1c1ec2d2"
"6b6bdb17-8b34-48d4-891d-678776c2a9f2","1671ee1e-7684-4373-b560-a7184692fd69","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","J5","distributed","sedgeHerbaceous",71.254318,-156.502873,"WGS84",45.1,5.4,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"007ec847-1c5e-4ace-97c7-69910d37b2bb"
"326d976b-9de7-416b-88ef-217504511bf0","8125f319-edf0-4cc4-af8b-540616c7e7f3","BARR_083.mammalGrid.mam","D18","BARR","BARR_083","G1","distributed","sedgeHerbaceous",71.242731,-156.328800,"WGS84",45.1,3.6,0.1,"1 - trap not set","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"af097914-368a-4224-9074-6919e699e81f"
"b4581ee0-cb18-4bea-91f0-f50c5cc9cd23","1671ee1e-7684-4373-b560-a7184692fd69","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","F4","distributed","sedgeHerbaceous",71.254318,-156.502873,"WGS84",45.1,5.4,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"8a9f9bf4-b325-4e9c-a779-1d622c175496"
"dc6b6c78-bebe-4ee9-8b3a-30c02f0c8c67","44509227-4445-4dc6-a1c3-ac42d760056f","BARR_037.mammalGrid.mam","D18","BARR","BARR_037","H3","distributed","sedgeHerbaceous",71.250062,-156.480850,"WGS84",45.1,5.1,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"4978d06f-6d77-4152-bc88-ea3331ad6660"
"29f3615a-2d2b-4b13-8000-282ed0da22a7","1671ee1e-7684-4373-b560-a7184692fd69","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","F9","distributed","sedgeHerbaceous",71.254318,-156.502873,"WGS84",45.1,5.4,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"b33ba8af-4e1b-4e98-b560-c8c01ec513ed"
"6e4bbc09-1dbe-4262-945b-39a009ee987e","1671ee1e-7684-4373-b560-a7184692fd69","BARR_036.mammalGrid.mam","D18","BARR","BARR_036","G9","distributed","sedgeHerbaceous",71.254318,-156.502873,"WGS84",45.1,5.4,0.1,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"e2ff4a42-85ce-4807-9d31-7f56a91c915f"
"45913c6d-402f-4075-812e-6a595bfbd1e7","ad52b9a5-a6a8-47e4-93c2-ba5179ef8d6c","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","E4","distributed","sedgeHerbaceous",71.249902,-156.434698,"WGS84",45.1,4.6,0.1,"1 - trap not set","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"af3451c2-e66c-4d3b-a65b-4026cffa78ae"
"1beb7bdc-3f89-4d4a-b88c-ec35c2c2812b","8b98d4b8-82a3-485d-b746-9ce2e8462250","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","A10","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"3212e9f2-6f59-4381-83ec-bd38ad000ef9"
"36c1a5ea-e65e-48a1-9f4d-f60d0d41afd9","8b98d4b8-82a3-485d-b746-9ce2e8462250","BARR_030.mammalGrid.mam","D18","BARR","BARR_030","A5","distributed","sedgeHerbaceous",71.247700,-156.425986,"WGS84",45.4,6.2,0.6,"6 - trap set and empty","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0002-0067-2133",,,,,"2166afa9-009c-4a37-b79e-c32648d7f317"
"3b9a87df-635d-42c8-b1ac-ecec11ab4aa4","ad52b9a5-a6a8-47e4-93c2-ba5179ef8d6c","BARR_044.mammalGrid.mam","D18","BARR","BARR_044","B6","distributed","sedgeHerbaceous",71.249902,-156.434698,"WGS84",45.1,4.6,0.1,"1 - trap not set","ShermanLF","2025-08-06","2025-08-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28b10af5-30b8-4292-9a2e-38b07999a0c5"
