uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"91974009-b81d-448a-ab07-f94908f70819","3a28c781-8831-4e16-b4ff-faa471529f97","BONA.2022.26","BONA_020.mammalGrid.mam","D19","BONA","BONA_020","diversity","2022-07-01","2022-07-01","extreme weather","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window - trap setting cancelled due to wildland fires (see INC0056648)",
"b67e614e-d8a9-4dae-9cc1-51cb5f111858","266151c0-3183-4e50-9196-87599cc6dece","BONA.2022.26","BONA_004.mammalGrid.mam","D19","BONA","BONA_004","diversity","2022-07-01","2022-07-01","extreme weather","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window - trap setting cancelled due to wildland fires (see INC0056648)",
"8e05e9ee-d559-4f23-bd94-2f97f1326021","08b2e812-f8e9-482d-9334-f1083867da1e","BONA.2022.26","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2022-07-01","2022-07-01","other","NEON.DOC.000481vN","Sampling impractical due to hazardous levels of wildfire smoke.",
"79efb98b-4059-4910-a971-7d547d697736","0b206a13-3965-4422-8acf-19e18dd26739","BONA.2022.26","BONA_094.mammalGrid.mam","D19","BONA","BONA_094","diversity","2022-07-01","2022-07-01","other","NEON.DOC.000481vN","Sampling impractical due to hazardous levels of wildfire smoke.; Sampling outside 21 day new moon sampling window",
"53070bc5-a938-499a-bb6c-b89b9c806984","6b042ae2-fc2e-485a-b4d1-956962d10399","BONA.2022.26","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2022-07-01","2022-07-01","other","NEON.DOC.000481vN","Sampling impractical due to hazardous levels of wildfire smoke.",
"ded2053c-614c-461c-bd9c-cd835c12c81f","9fbcca46-1ac6-4caa-a762-15f810c50d2d","BONA.2022.26","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","pathogen","2022-07-01","2022-07-01","other","NEON.DOC.000481vN","Sampling impractical due to hazardous levels of wildfire smoke.",
"59439a4e-a43b-47b7-b46e-65422d840b80","669ced4a-04a0-46d7-9cf5-d75451f2d956","BONA.2022.30","BONA_094.mammalGrid.mam","D19","BONA","BONA_094","diversity","2022-07-26","2022-07-26","too windy","NEON.DOC.000481vN","High winds created unsafe working conditions",
"c491a871-1c53-4711-b8b1-99f590e001cc","8b2a890d-da47-417b-bcb1-c29c3537af44","BONA.2022.30","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2022-07-26","2022-07-26","OK","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window",
"a6ae762b-ec89-4cbe-9c9f-2ebdf498042f","6fa4dfc0-d5db-49cc-9203-dfc1c97c9d4f","BONA.2022.30","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2022-07-26","2022-07-26","OK","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window",
"38f16de3-28ec-4d15-b5a3-8fe00cf6a5f9","6492d292-ea69-4b15-80cd-fdc59bedad0c","BONA.2022.30","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","pathogen","2022-07-26","2022-07-26","OK","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window",
"95f6aa9b-5444-4545-9c09-e0782d4910e8","d6806c41-84bb-47a0-95af-2d772e780090","BONA.2022.30","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2022-07-27","2022-07-27","OK","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window",
"ea5a91c2-df77-4901-b784-c6c80d30e9ee","cb68319f-fa07-4c55-ac66-946f84c0d602","BONA.2022.30","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2022-07-27","2022-07-27","OK","NEON.DOC.000481vN","Sampling outside 21 day new moon sampling window",
