uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"ae57e7d3-dd6a-476d-91f1-aec29202b3cc","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","D10","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"aa24b86a-02f5-43c9-9b3a-68f3dec5cb82"
"ef37c4d9-77e5-4b62-9fe5-7ab9704e13d9","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","E7","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5eaae7f8-2e6e-46c7-a1fd-008cfe147d5a"
"2a8eb97b-28fd-4812-84ad-d00069723ed7","a7af5de1-f2d0-491e-8277-64f0e8b9e213","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","B9","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"5 - capture","ShermanLF","2024-09-04","2024-09-04","NEON.MAM.D19.R5141",,"MYRU","Myodes rutilus","species",,,,,"N","F","N","processed",,"subadult",,"nonenlarged","not","neither",19,,,,17,"N","N","N",,"fleas","dry ice","BONA.20240904.R5141.B","D00000168788","mandibular - QNS",,,,,"BONA.20240904.R5141.E","D00000168812","BONA.20240904.R5141.H","A00000433145","hairAndWhisker",,,"0009-0008-6796-0395","0009-0000-7007-8581",,,,,"fe60513e-6e02-4532-9c69-ce4dc322da1b"
"da48ca5b-51b2-4cd4-877c-d4c2ec4ed863","a7af5de1-f2d0-491e-8277-64f0e8b9e213","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","D8","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0000-7007-8581",,,,,"244a97cb-1412-49ea-9329-537114743949"
"e1f06f92-6cbb-48bc-a929-991a7540daf9","a7af5de1-f2d0-491e-8277-64f0e8b9e213","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","D6","distributed","deciduousForest",65.174979,-147.463042,"WGS84",45.2,279.0,0.2,"6 - trap set and empty","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0008-6796-0395","0009-0000-7007-8581",,,,,"8cd55914-1a3f-474f-b103-6f8d97fbcf8a"
"f52e6892-3bc0-48da-a319-75b496091fd7","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","E2","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c14037fa-bdd5-447c-8978-fe929bb7ae56"
"f5b778e2-7aa3-4eec-8ed9-2ff820b5576d","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","C3","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"58e6b469-75c4-4779-bbb6-f796ec3b9536"
"20dc21f0-5ef8-4c3e-ae38-64bbc49ddaac","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","E6","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"34f70f57-2894-4b4a-a550-4a1c999aeff5"
"2e8a0459-fe92-4c08-904c-153204141bf9","957ddb58-dc35-478f-afbc-bb09154fb33a","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","G2","distributed","shrubScrub",65.164404,-147.511696,"WGS84",45.1,366.9,0.1,"1 - trap not set","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"52226eb7-4e8c-419d-95a2-133aade19ff4"
"913a1e4a-fa96-4eca-9b86-fca9504240c1","6536dbea-5b8b-45bc-85ec-d7eadebb04b2","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","B1","distributed","deciduousForest",65.163195,-147.530268,"WGS84",45.2,473.0,0.2,"6 - trap set and empty","ShermanLF","2024-09-04","2024-09-04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0008-2602-8083",,,,,"d0c4782f-7020-48f5-b4cc-329fd4ba65a7"
