uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"e6cf9b89-92d1-43e2-ba6c-b7409731f909","44261415-5e1d-4e1e-b9af-c29faf27d1d8","BONA.2025.24","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2025-06-10","2025-06-10","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b0b3a4d6-e0e1-4e87-8b48-ed804e3f472a","4a2e7c37-5e06-46e1-bae2-f8e873cbe0fb","BONA.2025.24","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2025-06-10","2025-06-10","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"7997419c-5e77-4b88-80fc-052f69bf0aca","0312816a-5ebc-44c5-8948-c2b080611933","BONA.2025.24","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","pathogen","2025-06-10","2025-06-10","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"03d26cd1-8788-4aba-94d9-68ad7b93fe6e","d4f22f7b-e8eb-4b42-b9dd-98f622ba6119","BONA.2025.24","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2025-06-11","2025-06-11","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"28c662a1-05d4-4aef-9f21-fea5acd33ffe","7284a89d-ee22-4d26-8d46-45b3711d74fe","BONA.2025.24","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2025-06-11","2025-06-11","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"703f8625-7799-4f66-a562-95b7c5f32891","7b4163aa-1d2e-40be-b6b1-c62daf9f92f6","BONA.2025.24","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","pathogen","2025-06-11","2025-06-11","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"564323da-6a85-45aa-a567-c2c0f4e821a2","838eb9f4-5acb-4f77-96ac-dc3663e6e6f7","BONA.2025.24","BONA_014.mammalGrid.mam","D19","BONA","BONA_014","pathogen","2025-06-12","2025-06-12","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"b229df5d-bfd6-473c-a82e-24b0880d861d","27b862f2-e136-4d4d-b823-74562d6104c7","BONA.2025.24","BONA_023.mammalGrid.mam","D19","BONA","BONA_023","diversity","2025-06-12","2025-06-12","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"deaa58b9-50a9-4b7f-859b-d75ea3116eb8","171a250f-d0ab-4fdb-8077-f8a74073bd43","BONA.2025.24","BONA_033.mammalGrid.mam","D19","BONA","BONA_033","pathogen","2025-06-12","2025-06-12","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"0aa55959-8fd7-429b-83b9-a0e51abaa832","3db6ce89-59b1-44f5-a0ef-0c02b80f0c3a","BONA.2025.24","BONA_002.mammalGrid.mam","D19","BONA","BONA_002","pathogen","2025-06-12","2025-06-12","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"59f2402a-f1d4-45c4-abd6-1313796370d1","1add16b1-b6a3-4fe3-a5a2-1ab83c8aa8f2","BONA.2025.24","BONA_094.mammalGrid.mam","D19","BONA","BONA_094","diversity","2025-06-13","2025-06-13","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"8fcc70f1-a5ec-4153-92d8-9bc6fd2ba7fa","0f32ffe6-12ab-4bfe-a04f-1e80ddec71e2","BONA.2025.24","BONA_004.mammalGrid.mam","D19","BONA","BONA_004","diversity","2025-06-13","2025-06-13","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
