uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"640876c2-50dc-4d10-8909-d4cc5753d9ea","6d50ee60-d10a-410c-8fd5-618db484f752","CLBJ.2021.37","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","diversity","2021-09-14","2021-09-14","logistical","NEON.DOC.000481vM","COVID19",
"80650c0a-8884-478a-b306-6b148f3e0d87","b7065680-8397-464e-94f9-8b619f2bedd4","CLBJ.2021.37","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2021-09-14","2021-09-14","logistical","NEON.DOC.000481vM","COVID19",
"d46a75c2-33b8-442c-855e-762606d2d308","9d38541e-38bd-4183-a5b3-95e8a09bae7e","CLBJ.2021.37","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2021-09-14","2021-09-14","logistical","NEON.DOC.000481vM","COVID19",
"2337378e-0e08-4e69-ab90-70229b6b36da","303ef106-ec3e-4268-ba7b-e98dc1f43b55","CLBJ.2021.37","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2021-09-14","2021-09-14","logistical","NEON.DOC.000481vM","COVID19",
"a9cea10c-69fd-4558-898c-4b4344c7b464","9080ed0d-6f92-4b68-88f5-fc5fd1f8e3ab","CLBJ.2021.37","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2021-09-15","2021-09-15","logistical","NEON.DOC.000481vM","COVID19",
"ccf0e4a1-42c5-4413-b3a2-feceba643d02","b55bbc16-1b21-47a8-8f13-c553c7cccbd1","CLBJ.2021.37","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2021-09-15","2021-09-15","logistical","NEON.DOC.000481vM","COVID19",
"0b8a771d-1af2-4264-90d7-f08b7c83fb99","8b786dab-e3fb-488e-81a8-49b66c793917","CLBJ.2021.37","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2021-09-15","2021-09-15","logistical","NEON.DOC.000481vM","COVID19",
"6727b88e-0a28-4aeb-aa48-9e840cb08c57","b6863adf-fd2c-405b-ac3c-297b0f06f09a","CLBJ.2021.37","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2021-09-16","2021-09-16","logistical","NEON.DOC.000481vM","COVID19",
"e9f13035-fba6-4fd3-bc6c-6950c277476e","29f20e8d-5790-4d75-992e-10c1d280eddc","CLBJ.2021.37","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2021-09-16","2021-09-16","logistical","NEON.DOC.000481vM","COVID19",
"1803c2a8-8af2-4b2e-8a83-3f4ca9ea0372","8e49e993-21ae-401e-8280-a51810b4b4cc","CLBJ.2021.37","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2021-09-16","2021-09-16","logistical","NEON.DOC.000481vM","COVID19",
"809f4b38-df80-4403-9f7b-f2fd5b484a60","9d652d04-bbe2-42be-a766-d7535d66de85","CLBJ.2021.37","CLBJ_037.mammalGrid.mam","D11","CLBJ","CLBJ_037","diversity","2021-09-17","2021-09-17","logistical","NEON.DOC.000481vM","COVID19",
"18fba26a-1747-4faa-93a9-a3a81bc49505","5575f299-d932-47e9-9101-55c190bcc676","CLBJ.2021.37","CLBJ_039.mammalGrid.mam","D11","CLBJ","CLBJ_039","diversity","2021-09-17","2021-09-17","logistical","NEON.DOC.000481vM","COVID19",
"a9a6b360-a8bf-45fc-a0a6-663319469817","53da6015-026f-44c5-85b9-93b4d2944ff8","CLBJ.2021.37","CLBJ_057.mammalGrid.mam","D11","CLBJ","CLBJ_057","diversity","2021-09-17","2021-09-17","logistical","NEON.DOC.000481vM","COVID19",
"9403da94-5459-4234-9a11-56393e41000e","468254c2-2efe-44ac-b57d-e748f09b82f0","CLBJ.2021.37","CLBJ_034.mammalGrid.mam","D11","CLBJ","CLBJ_034","diversity","2021-09-17","2021-09-17","logistical","NEON.DOC.000481vM","COVID19",
