uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"e6f58896-f2a4-44b6-8076-6f0dd1e83f17","92864f6d-d4c8-47f4-b7f9-b7bd5e058e1c","CLBJ.2024.11","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"cdb83359-9dca-4446-8367-14eeb833936a","280681f6-975e-4cc2-8d8f-32ebde154197","CLBJ.2024.11","CLBJ_034.mammalGrid.mam","D11","CLBJ","CLBJ_034","diversity","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1053a073-126c-4578-869f-7c4c9acece34","62cdf84b-4a42-4ceb-b7c0-cff7241848f8","CLBJ.2024.11","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"c243ff18-c350-425f-ba18-2f4a428b0fda","e2230535-237d-4493-80b3-d6a1d0674c93","CLBJ.2024.11","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1e2a6d76-c2db-4b97-b685-335103b13621","cc2e8af8-b44a-4998-8ca1-479274457b84","CLBJ.2024.11","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"f8c6ee1c-dcaf-4dd3-bcb2-fd3a02569e9a","74675ece-4fed-46bd-8012-03c11f225fc8","CLBJ.2024.11","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"adf28d1e-31cd-4a8d-84b5-afcdf652be59","3dc0b6e7-2c4f-4735-9fb1-f5e8be51a74e","CLBJ.2024.11","CLBJ_040.mammalGrid.mam","D11","CLBJ","CLBJ_040","diversity","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"97e59741-9b01-4e8b-b0d4-3a29df728d9e","9118a883-1a68-4fc4-8dc0-ee404916a65a","CLBJ.2024.11","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6c271c50-ec24-4fc7-9b36-37d2b94df87d","ad65d555-252a-4a3d-a081-798d9f07df16","CLBJ.2024.11","CLBJ_033.mammalGrid.mam","D11","CLBJ","CLBJ_033","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"84c9b02c-a63f-4b81-882d-1ca78fe1ad8f","d76fc2aa-a3c9-45cc-87d2-4c73d537b16b","CLBJ.2024.11","CLBJ_041.mammalGrid.mam","D11","CLBJ","CLBJ_041","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6eeb2752-1a33-4b72-87c9-f268eb1382a2","0f2a077a-e8e1-4519-9e83-c304c4684ea1","CLBJ.2024.11","CLBJ_042.mammalGrid.mam","D11","CLBJ","CLBJ_042","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"bc48ade6-4a1c-4936-9a2e-883b174edd40","89299737-10ab-4e07-b0cb-e088d9e26db2","CLBJ.2024.11","CLBJ_037.mammalGrid.mam","D11","CLBJ","CLBJ_037","diversity","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
