uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"828454d0-004d-4d86-99f7-d220278fd879","d00f28dd-58f9-42a5-bec2-983e8e140d25","CPER.2018.15","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2018-04-10","2018-04-10",,"NEON.DOC.000481vK",,
"46d470c1-890f-4883-b5ab-4489c7e43a4e","677a9fc8-4a7f-4871-88dc-35faea4390c6","CPER.2018.15","CPER_006.mammalGrid.mam","D10","CPER","CPER_006","diversity","2018-04-10","2018-04-10",,"NEON.DOC.000481vK","No captures",
"0b44d1c3-35e9-40a8-b657-fc923ed64eb8","e600fba2-6127-49fd-a93a-80c3c9a8cc13","CPER.2018.15","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2018-04-10","2018-04-10",,"NEON.DOC.000481vK",,
"67aa4ea8-976b-4543-bf20-58faa7c55329","4cd51b85-5faf-487a-a368-4165ce2b8bb5","CPER.2018.15","CPER_009.mammalGrid.mam","D10","CPER","CPER_009","diversity","2018-04-10","2018-04-10",,"NEON.DOC.000481vK","No captures",
"4301b794-ed93-4eed-b15a-f7bbb5d1bf11","f3efbd44-6b59-40cb-9254-3537f6e332a1","CPER.2018.15","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2018-04-10","2018-04-10",,"NEON.DOC.000481vK","No captures",
"fd449883-513e-4eea-85c0-2a2d511449be","dc9a5335-9ef5-4df8-a6e9-2db993b20588","CPER.2018.15","CPER_008.mammalGrid.mam","D10","CPER","CPER_008","diversity","2018-04-11","2018-04-11",,"NEON.DOC.000481vK",,
"de614495-77a1-4c2c-8ad4-d863be327636","474bd7f8-c293-43d6-9702-42809759bc9d","CPER.2018.15","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2018-04-11","2018-04-11",,"NEON.DOC.000481vK",,
"e39fb013-a790-4e1a-8f11-4e526f2e6d69","91e5966e-06bd-4d28-a2c4-c16e874c9227","CPER.2018.15","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2018-04-11","2018-04-11",,"NEON.DOC.000481vK",,
"ba9130af-9839-49a6-a921-6b58ab9e5788","127e65cc-1754-4aca-97d1-a641a69f2530","CPER.2018.15","CPER_002.mammalGrid.mam","D10","CPER","CPER_002","diversity","2018-04-11","2018-04-11",,"NEON.DOC.000481vK","No captures",
"edd2d926-dab7-4c37-8198-ea25a7bebfc6","e0f4afe5-7618-47f3-a0d5-ad1cef033236","CPER.2018.15","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2018-04-11","2018-04-11",,"NEON.DOC.000481vK",,
"5093fc67-40fb-40cb-b4fc-4bf684fd8dcc","094f4881-6ff0-4f29-a95e-b3cb5f9c0c44","CPER.2018.15","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2018-04-12","2018-04-12",,"NEON.DOC.000481vK",,
"6b22b40c-ad1c-47c7-939a-aab94ebbc0a7","924fa1bd-c462-4420-af85-9508b027682a","CPER.2018.15","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2018-04-12","2018-04-12",,"NEON.DOC.000481vK",,
"291494b6-e18d-4c1a-b829-4474afa9b138","8915a913-2a19-43c4-b743-7c809fdf1ae9","CPER.2018.15","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","diversity","2018-04-12","2018-04-12",,"NEON.DOC.000481vK",,
"e41580ea-68c5-47bf-bcbd-036b7ee033dd","687268cb-c0f1-4841-8e15-5c7cc0a5656c","CPER.2018.15","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2018-04-12","2018-04-12",,"NEON.DOC.000481vK",,
