uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"89e21115-dadd-4b6e-90b7-a0b2dccf7021","28551e4a-be06-4210-ba4d-8ac530355d31","CPER.2025.17","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2025-04-22","2025-04-22","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"5e63e0c6-d4a5-4306-8095-3af14b223920","9ff5c28b-188e-4a42-b0a4-054a19f884ed","CPER.2025.17","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2025-04-22","2025-04-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"fa7b9a3a-934d-499e-8516-94c5890ac757","8d493e03-b07d-47e2-b2b4-5dc2649dcbc0","CPER.2025.17","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2025-04-22","2025-04-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"2d70f88e-8275-4b17-8e59-c4e813d4c7a9","114d0f02-8387-4c16-8968-6930841c61b5","CPER.2025.17","CPER_002.mammalGrid.mam","D10","CPER","CPER_002","diversity","2025-04-22","2025-04-22","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"b37a015b-9080-4206-8e3c-b8a1f8ed522e","f43c706b-bf36-4036-abeb-93a70f376e0a","CPER.2025.17","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2025-04-23","2025-04-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"03a2a77f-4f54-4f9d-8bec-d5ea37973870","abe28ba6-b361-4caf-a049-4cae93888657","CPER.2025.17","CPER_004.mammalGrid.mam","D10","CPER","CPER_004","diversity","2025-04-23","2025-04-23","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"2a55d621-21aa-48ca-a259-5ecfe5941e65","34fa9459-be1b-490b-aee3-bcd07158fc0e","CPER.2025.17","CPER_006.mammalGrid.mam","D10","CPER","CPER_006","diversity","2025-04-23","2025-04-23","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"d0ab2a8f-589b-4459-b8e7-1ebf98001bef","79eb0beb-096f-4de9-91c5-9a24a9a490c2","CPER.2025.17","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2025-04-23","2025-04-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b4bb02ce-e2a2-4878-9934-f5a35d3723ee","77712f3f-c538-4b11-acf0-651ea870e870","CPER.2025.17","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2025-04-23","2025-04-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"90a3e30a-9d12-44ad-bb14-c8d8afba4091","18bbd40a-c700-450c-9bbf-7bfa24a733b0","CPER.2025.17","CPER_011.mammalGrid.mam","D10","CPER","CPER_011","pathogen","2025-04-24","2025-04-24","temperature low",,"NEON.DOC.000481vQ","Temperatures below protocol threshold",
"136f57ef-34b1-4a0b-a914-ced9f8dc5576","aad808de-e3b5-4bba-bbab-526751821925","CPER.2025.17","CPER_005.mammalGrid.mam","D10","CPER","CPER_005","pathogen","2025-04-24","2025-04-24","temperature low",,"NEON.DOC.000481vQ","Temperatures below protocol threshold",
"0540c88b-fae5-43fa-82be-ad0ed040fd46","73b0fc45-cb80-428c-a759-f99821d8d575","CPER.2025.17","CPER_015.mammalGrid.mam","D10","CPER","CPER_015","pathogen","2025-04-24","2025-04-24","temperature low",,"NEON.DOC.000481vQ","Temperatures below protocol threshold",
