uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"c4bca8ae-cd06-4a8a-8864-349a5a0fbf23","75552ebe-874f-485d-bffa-6b8ec4ca1009","DEJU.2025.23","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","pathogen","2025-06-03","2025-06-03","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"7e16dd44-d75b-48ff-9aea-61d6a049b4c7","d9cc2d68-1fc9-4460-9ee5-4f0791700164","DEJU.2025.23","DEJU_005.mammalGrid.mam","D19","DEJU","DEJU_005","pathogen","2025-06-03","2025-06-03","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"788e292e-ee73-403b-80b0-84321347c62a","c8024151-210b-4412-ba24-3cad4a64cc37","DEJU.2025.23","DEJU_005.mammalGrid.mam","D19","DEJU","DEJU_005","pathogen","2025-06-04","2025-06-04","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"f3d93eba-4ad8-47cf-9a01-bb63ba1b517d","75a4df65-d23c-4c8b-9bd9-06deada23335","DEJU.2025.23","DEJU_001.mammalGrid.mam","D19","DEJU","DEJU_001","diversity","2025-06-04","2025-06-04","too windy",,"NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"ec35b679-e7d3-4509-a6e5-40b22fb93618","1b081211-23fa-4014-bed2-c7b93186fad5","DEJU.2025.23","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","pathogen","2025-06-04","2025-06-04","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"bb2f2346-1e0f-4e65-9778-101f043349f3","6126976e-86d3-4011-a29f-3bc8b486fb09","DEJU.2025.23","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","pathogen","2025-06-04","2025-06-04","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"8cc088da-b2ca-41a1-986f-df2a8c908f24","c3c13ebc-2903-46ef-a635-9156cea8dd7a","DEJU.2025.23","DEJU_003.mammalGrid.mam","D19","DEJU","DEJU_003","pathogen","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"5f13ad4c-d505-4b7c-8463-2b88e79ec757","9398dca1-165b-48e8-9ac5-daaedde207ec","DEJU.2025.23","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","pathogen","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"9ba9c23a-e785-4882-8fa0-670d31c68ad4","3c792f44-c831-4710-83b1-a38cbc14e156","DEJU.2025.23","DEJU_005.mammalGrid.mam","D19","DEJU","DEJU_005","pathogen","2025-06-05","2025-06-05","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"cdf77d1e-0e85-4661-bff5-39688ad0ba05","af370b1a-52d3-480b-bcd6-812e2c961e10","DEJU.2025.23","DEJU_014.mammalGrid.mam","D19","DEJU","DEJU_014","diversity","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"cbce208e-1b7f-40ac-8205-e110c4ea200f","b7dc7dd7-cc02-4634-8106-a7c4d2ad7169","DEJU.2025.23","DEJU_006.mammalGrid.mam","D19","DEJU","DEJU_006","diversity","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
"12a7e1e5-1e8c-4ffe-be9a-afab90f3ecc9","ec162bbd-caf9-4dc0-9ecc-00613f01bf91","DEJU.2025.23","DEJU_017.mammalGrid.mam","D19","DEJU","DEJU_017","pathogen","2025-06-06","2025-06-06","temperature low",,"NEON.DOC.000481vQ","Sampling outside 21 day new moon sampling window",
