uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"0c4d1bc6-27f7-473f-a8dc-c48723dafbbe","670A688895744909A79BCA77165ADD98","GRSM.2016.39","GRSM_013.mammalGrid.mam","D07","GRSM","GRSM_013","diversity","2016-09-27","2016-09-27",,"NEON.DOC.000481vH",,
"8e827f09-2654-4008-9d91-e5e2795b8541","8D2825908B1A4333ABF6513F5A4D3873","GRSM.2016.39","GRSM_033.mammalGrid.mam","D07","GRSM","GRSM_033","diversity","2016-09-27","2016-09-27",,"NEON.DOC.000481vH","Traps marked as 'not set' were not set due to it being too dark.",
"04de6c8b-2fb9-4fbf-a476-384adc8a8494","43079A8EAADB406F8A447F2594A2E672","GRSM.2016.39","GRSM_015.mammalGrid.mam","D07","GRSM","GRSM_015","diversity","2016-09-27","2016-09-27",,"NEON.DOC.000481vH",,
"393e4520-ae79-4dec-bc30-ca2a2462065e","F3378115F68C4B70A2D84DFD169BF127","GRSM.2016.39","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","diversity","2016-09-28","2016-09-28",,"NEON.DOC.000481vH",,
"e2bd648c-b717-45df-b8c9-58fb7e35344c","CBF32FDD45A24DB6AE45315E67C2CD66","GRSM.2016.39","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2016-09-28","2016-09-28",,"NEON.DOC.000481vH",,
"1d56c80e-edd8-475a-92df-a1101730fc67","53A2B8AB7F32401F86ED238B658DEB04","GRSM.2016.39","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2016-09-28","2016-09-28",,"NEON.DOC.000481vH",,
"71126284-1bef-4acd-9bb6-7175ffcdb0da","397C1956D018466887C9EEE18332B9E8","GRSM.2016.39","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2016-09-29","2016-09-29",,"NEON.DOC.000481vH",,
"d0292788-8c0d-49af-bf2f-6c2a5fe44c40","7B61DB98E3DE449487DB3CA6C3344B7D","GRSM.2016.39","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2016-09-29","2016-09-29",,"NEON.DOC.000481vH",,
"fa63384b-d1e8-47ee-9372-8e1dddac34fe","E94AF19866714A1C9CF65D92ABD2CA7B","GRSM.2016.39","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2016-09-30","2016-09-30",,"NEON.DOC.000481vH",,
"1cd5981a-19e3-446f-810d-ab9084f703f7","19EFBA89F955427EA0822FC24A8E81FC","GRSM.2016.39","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2016-09-30","2016-09-30",,"NEON.DOC.000481vH",,
