uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"71d8f21e-d280-4fa4-875d-82f120b326fe","e41c02f1-b48f-4a55-add6-ab4ad4185cea","GRSM.2025.15","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2025-04-07","2025-04-07","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"f6dc7021-ccb2-43cf-85d9-3d114edb2ee9","1f069444-7264-4484-9004-7e7cbfefa1ba","GRSM.2025.15","GRSM_033.mammalGrid.mam","D07","GRSM","GRSM_033","diversity","2025-04-07","2025-04-07","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"b832a591-d43c-4d7a-b548-5b84953e7888","56a76f20-c931-4831-9ae7-e17ea847e112","GRSM.2025.15","GRSM_071.mammalGrid.mam","D07","GRSM","GRSM_071","pathogen","2025-04-07","2025-04-07","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"3512c431-b0bc-4576-a271-3035195c495f","afab4bb4-48da-41bb-b278-16caceb2186c","GRSM.2025.15","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2025-04-07","2025-04-07","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"0352cc3d-d679-4ac0-9c00-3c45d8bd1181","2352766b-3774-4802-b96e-488c36a06af6","GRSM.2025.15","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2025-04-08","2025-04-08","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"7b76665d-a3af-4e5d-88b6-02a74b231260","ef55c216-3b7b-4264-ba86-bbbce0392f78","GRSM.2025.15","GRSM_069.mammalGrid.mam","D07","GRSM","GRSM_069","diversity","2025-04-08","2025-04-08","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"8af409c7-5774-467a-a500-817331166b5b","e563dded-87c2-46fb-9f31-43f211c62a5f","GRSM.2025.15","GRSM_071.mammalGrid.mam","D07","GRSM","GRSM_071","pathogen","2025-04-08","2025-04-08","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"6af19b1f-a3bd-4b9b-8abd-9f1c00063658","65f6dd71-c903-42d8-8a03-0f3bc50669cd","GRSM.2025.15","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2025-04-08","2025-04-08","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"2b11e60a-c15b-4b89-96b4-91ecd494aac0","f82c7988-8f04-46a1-b5d9-394321e6fecc","GRSM.2025.15","GRSM_014.mammalGrid.mam","D07","GRSM","GRSM_014","pathogen","2025-04-09","2025-04-09","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"3449c577-fcc0-4ff8-8eea-f9527b4d054f","8ea8cca6-1e38-4d7b-931d-65c4f38d1f25","GRSM.2025.15","GRSM_070.mammalGrid.mam","D07","GRSM","GRSM_070","diversity","2025-04-09","2025-04-09","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"e176bd35-63af-4e2b-8bb6-69ca267ba71d","1017a603-542f-4470-8ee9-337b987692ac","GRSM.2025.15","GRSM_020.mammalGrid.mam","D07","GRSM","GRSM_020","pathogen","2025-04-09","2025-04-09","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
"a71a0316-5faa-4b1c-877a-2218e72b8865","16f1742f-a2ec-4bcb-85f5-042e22ece0a5","GRSM.2025.15","GRSM_071.mammalGrid.mam","D07","GRSM","GRSM_071","pathogen","2025-04-09","2025-04-09","disturbance",,"NEON.DOC.000481vQ","Temporary closure to avoid wildlife disturbance.",
