uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"c80be361-e08a-41e3-ad7b-e842149c126b","46027C38949C42C79CD24AC095B88680","GUAN.2016.26","GUAN_004.mammalGrid.mam","D04","GUAN","GUAN_004","diversity","2016-07-01","2016-07-01",,"NEON.DOC.000481vH",,
"a786ce7e-6cb4-488a-afb0-0a91a6d51c41","4A0723AEA36A4DA38FBA31B14591382C","GUAN.2016.26","GUAN_002.mammalGrid.mam","D04","GUAN","GUAN_002","diversity","2016-07-01","2016-07-01",,"NEON.DOC.000481vH",,
"71dc70cb-703d-462e-8ad2-5f2f94eb397a","7C30CB2EDF124DFAB26A3E2ECF1FFA93","GUAN.2016.26","GUAN_005.mammalGrid.mam","D04","GUAN","GUAN_005","diversity","2016-07-01","2016-07-01",,"NEON.DOC.000481vH",,
"102c3190-988b-4346-96d0-b4e180bfc2e3","9BBFFE38CD974986BB523EDD22A9B2A3","GUAN.2016.30","GUAN_025.mammalGrid.mam","D04","GUAN","GUAN_025","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH","For TagID R1094 the trap coordinate was not found although samples for ear, hair, whisker and blood were taken. Data could not be entered into web ui and will be kept in datasheets.",
"ec813f3f-f617-405a-93f9-6411dd23d3e3","9F13611A459247B8ABE9CE8059C5D7DE","GUAN.2016.30","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH",,
"8fae613e-6dd9-405d-a653-555cea728fac","9BD1CD0090054707BCE3A30B7A965E1D","GUAN.2016.30","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH",,
"73d2b2e7-e5f3-454c-b5e1-9bbc4d712e87","0FC46956278E41B786A72D425D7A66AD","GUAN.2016.30","GUAN_025.mammalGrid.mam","D04","GUAN","GUAN_025","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH",,
"15ab51b0-672f-4aec-a172-bd6cc51b4254","784DAACC3A35492A928C7BF6E2DD2EE1","GUAN.2016.30","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH",,
"a052a1cd-c83c-4044-a36e-fe421c3872c7","EC1CF5826C994BC5BE8D5A718711144D","GUAN.2016.30","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH",,
"fc59b96f-05ef-4649-9b11-56b8c42b09a9","54B7FC0FE92C4630ABD0236E836DF2A3","GUAN.2016.30","GUAN_007.mammalGrid.mam","D04","GUAN","GUAN_007","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH",,
"3ae9350d-8b23-4122-9297-59246578996e","1C2AB765207A447E832CF902D41014A6","GUAN.2016.30","GUAN_003.mammalGrid.mam","D04","GUAN","GUAN_003","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH",,
"12adde07-daa4-4d9d-b9d5-9439813f8ea8","73868CD2056F49D3ACFB9049BD7540B3","GUAN.2016.30","GUAN_025.mammalGrid.mam","D04","GUAN","GUAN_025","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH",,
"736e724e-608d-4b5e-bb7c-5de2ddbf0a40","F5FD32C28CCF41D5BCA000FCE7839CCB","GUAN.2016.30","GUAN_002.mammalGrid.mam","D04","GUAN","GUAN_002","diversity","2016-07-29","2016-07-29",,"NEON.DOC.000481vH",,
"023d2779-0582-4947-9316-0d992019502c","3EEA92F1E79D43D3ABA49B80305BA8C8","GUAN.2016.30","GUAN_005.mammalGrid.mam","D04","GUAN","GUAN_005","diversity","2016-07-29","2016-07-29",,"NEON.DOC.000481vH",,
"a7a85bbb-682f-4cbc-8ce0-21fc942141b8","96F431D2A08F480FB5F598CEC9164201","GUAN.2016.30","GUAN_004.mammalGrid.mam","D04","GUAN","GUAN_004","diversity","2016-07-29","2016-07-29",,"NEON.DOC.000481vH",,
