uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"e2342642-fc40-4c04-bf98-10c3e9d91963","07cd29cc-35c1-4072-9103-ec2631b2051e","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","B8","distributed","deciduousForest",42.443394,-72.225117,"WGS84",45.2,241.0,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5964-2409","0000-0002-5964-2409",,,"Bear activity",,"42e6642c-9e30-400d-88d0-c37c5695d879"
"12b9adb2-c9a3-48d9-90fe-bfd6e16e473f","5dc66e8a-fe83-4064-9c12-500555d84b09","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","I10","distributed","evergreenForest",42.412979,-72.226194,"WGS84",45.3,173.8,0.6,"6 - trap set and empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5964-2409","0009-0008-1802-2626",,,,,"7bb4d7c9-8e1c-4ed6-9156-6794058c4a79"
"5415b7cd-b65a-4874-b0b7-d59b321d45a5","07cd29cc-35c1-4072-9103-ec2631b2051e","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","E10","distributed","deciduousForest",42.443394,-72.225117,"WGS84",45.2,241.0,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5964-2409","0000-0002-5964-2409",,,"Bear actvity",,"e84b1a09-82e7-4983-9916-ec9540dfb1d0"
"8501a338-1b9d-44ac-b773-991265160ea2","07cd29cc-35c1-4072-9103-ec2631b2051e","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","I7","distributed","deciduousForest",42.443394,-72.225117,"WGS84",45.2,241.0,0.2,"5 - capture","ShermanLF","2024-07-02","2024-07-02","NEON.MAM.D01.O008I720240702",,"PELEPEMA","Peromyscus leucopus/maniculatus","speciesGroup",,"NEON.DOC.001907",,,"N","U","N","escaped",,"adult",,,,,,,,,,"U","U","U",,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5964-2409","0000-0002-5964-2409",,,,,"9cb935a2-c371-43e9-9b04-078b105ea724"
"031fa7ad-1a04-4b6d-875c-af1759edab0a","5dc66e8a-fe83-4064-9c12-500555d84b09","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","B8","distributed","evergreenForest",42.412979,-72.226194,"WGS84",45.3,173.8,0.6,"2 - trap disturbed/door closed but empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5964-2409","0009-0008-1802-2626",,,,,"368a9cd6-71ad-4033-b6fc-1796e9eaad0d"
"74ee5324-2b66-45fe-a8e2-a1cfa523f1ef","5dc66e8a-fe83-4064-9c12-500555d84b09","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","C2","distributed","evergreenForest",42.412979,-72.226194,"WGS84",45.3,173.8,0.6,"6 - trap set and empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5964-2409","0009-0008-1802-2626",,,,,"a253b393-b2e6-46b2-8bc3-3487d93464be"
"ff247e66-35ad-4f25-aeb9-1cc7642c54e6","8c5b017a-ac98-4343-ab55-a89c250a8e6f","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","J3","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"6 - trap set and empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-8146-6897","0009-0008-2132-4166",,,,,"369e2449-26b6-4d82-9287-28495da35ab2"
"2cbeb4c8-4fda-434e-b139-4039955cc1a8","5dc66e8a-fe83-4064-9c12-500555d84b09","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","E8","distributed","evergreenForest",42.412979,-72.226194,"WGS84",45.3,173.8,0.6,"6 - trap set and empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-5964-2409","0009-0008-1802-2626",,,,,"63efb74b-be41-4b07-b1b4-ee4f5a11fc9f"
"04d06f00-8c15-4e3f-8413-15da47d34643","8c5b017a-ac98-4343-ab55-a89c250a8e6f","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","I3","distributed","evergreenForest",42.451460,-72.251800,"WGS84",45.6,176.7,1.0,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0000-8146-6897","0009-0008-2132-4166",,,,,"11c11a19-8876-4408-8da8-9458fd4ab6ec"
"05d13080-cda7-4fcb-b5b0-dc20e7f045e9","07cd29cc-35c1-4072-9103-ec2631b2051e","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","A9","distributed","deciduousForest",42.443394,-72.225117,"WGS84",45.2,241.0,0.2,"2 - trap disturbed/door closed but empty","ShermanLF","2024-07-02","2024-07-02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-5964-2409","0000-0002-5964-2409",,,"Destroyed trap Bear activity",,"1eb26139-078d-4040-abbc-af887d1d76ef"
