uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"5ff6307a-422a-49ac-a3f8-9f46dc88106e","1a54197c-dfec-4c36-90f0-f2040e396855","HARV.2025.25","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","pathogen","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"2709d93f-1e12-4828-b64d-cc1e9b607b79","45dc7a80-acd0-4fff-9f3f-762fe199ac79","HARV.2025.25","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","pathogen","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"c7cc5188-b6fc-4ea1-88eb-413345ec5037","7422b255-6786-49da-8cdd-dbfe2dd90f6c","HARV.2025.25","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","pathogen","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"3c3a71a2-be7a-41e1-85ff-1835bb75911d","4c588e71-d247-43da-a7e8-7ae6d157e548","HARV.2025.25","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","pathogen","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"51b79ce1-0649-4cdb-8d26-c43a373049ac","bea77640-f5e6-46a8-abcf-029a60d53e18","HARV.2025.25","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","pathogen","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"99dcd882-87c6-434b-9418-b9a6d1962a39","a6e852eb-4602-46e5-a6c7-58d5a0f3d8d4","HARV.2025.25","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","pathogen","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"556c5aeb-a541-42b7-aa2d-4f280ca014e7","4cc432d8-2605-4bf1-bcff-0147af8852be","HARV.2025.25","HARV_008.mammalGrid.mam","D01","HARV","HARV_008","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"6c40f941-5327-4e14-b8bf-3aa7ddb1a22a","27c3e1b2-a8a9-49e2-add2-3b421959fffb","HARV.2025.25","HARV_021.mammalGrid.mam","D01","HARV","HARV_021","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"5c1f2c3c-1478-4bd3-b8bc-eb7d573aa6cc","a539d408-43bd-4bfa-b7f1-023e10666b23","HARV.2025.25","HARV_023.mammalGrid.mam","D01","HARV","HARV_023","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"71dc1b88-2ca9-4dc2-b013-7ec937db31cf","3b09c768-d04d-42ab-b0a8-a9f074a1dbc5","HARV.2025.25","HARV_006.mammalGrid.mam","D01","HARV","HARV_006","diversity","2025-06-24","2025-06-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"dc79cc7c-0984-4afc-936f-fce9b5c2ae5a","bc1a61ad-2ad8-4d3d-b84a-6d9a50feb17b","HARV.2025.25","HARV_010.mammalGrid.mam","D01","HARV","HARV_010","diversity","2025-06-24","2025-06-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8c1c24f6-ea32-469f-989c-3143b9cb1a2e","c948b581-fcbf-4523-afae-47f49a371e64","HARV.2025.25","HARV_001.mammalGrid.mam","D01","HARV","HARV_001","diversity","2025-06-24","2025-06-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
