uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"dff59518-8725-4646-a908-9f2fc83963cc","9b93528f-190a-4c39-bcb9-97d515296fe0","HEAL.2023.33","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","pathogen","2023-08-16","2023-08-16","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"494d23f7-5776-4c91-a9c7-7b486622aca6","323a892c-dd3a-407b-8bc0-9f230d153334","HEAL.2023.33","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","pathogen","2023-08-16","2023-08-16","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"2bf59378-dc0f-4f49-8b83-f46b0dbd3e17","6c327c75-eaff-4091-9a9a-9f5f6c1b0bc4","HEAL.2023.33","HEAL_031.mammalGrid.mam","D19","HEAL","HEAL_031","diversity","2023-08-16","2023-08-16","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"16eaf763-f382-4664-8485-57960321bf69","0e92b160-7bdd-43cd-b56d-ffc41e61e3a0","HEAL.2023.33","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","diversity","2023-08-16","2023-08-16","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"dfe9a001-396a-4ee9-8fd5-8b2922e80a2f","31bd870b-49a0-480a-bddd-55dcc16c1352","HEAL.2023.33","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","pathogen","2023-08-17","2023-08-17","other","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window - Grid closed on night 2/3 due to high shrew mortality - see INC0067920",
"d4238731-1d78-4fce-ac2d-d45fa0b42a50","8c18e818-dbf3-47ef-a154-5901fa9a0407","HEAL.2023.33","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","diversity","2023-08-17","2023-08-17","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"045bdc6e-b581-4392-aa14-df92a9fe2a1c","2274b001-fae0-4214-827d-c7f6294e26ae","HEAL.2023.33","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","diversity","2023-08-17","2023-08-17","OK","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"c6dec752-e918-4fcc-9708-cbbf451d1442","5c7fe5ca-5f4b-4e6b-ab24-24ac79cef6d0","HEAL.2023.33","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","pathogen","2023-08-17","2023-08-17","other","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window - Grid closed on night 2/3 due to high shrew mortality - see INC0067920",
"dda3ae7b-fc73-4901-bfa3-fc09981cfbc1","5877b2b4-d3fc-41f4-a768-58a6dcff5982","HEAL.2023.33","HEAL_032.mammalGrid.mam","D19","HEAL","HEAL_032","pathogen","2023-08-18","2023-08-18","other","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window - Grid closed on night 2/3 due to high shrew mortality - see INC0067920",
"45aa87d2-6a27-4a1a-9a86-271e39500026","72367ce2-66cb-4237-9069-3fc484f273f5","HEAL.2023.33","HEAL_033.mammalGrid.mam","D19","HEAL","HEAL_033","pathogen","2023-08-18","2023-08-18","other","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window - Grid closed on night 2/3 due to high shrew mortality - see INC0067920",
