uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"c9e0001e-48ce-4a63-91bb-e24111fa03fb","23e554e2-8dd3-4cfc-aac2-f0af50010848","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","E9","distributed","shrubScrub",63.877737,-149.185738,"WGS84",45.1,633.9,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-9124-8359","0009-0003-1158-8364",,,,,"7ca549b0-6eab-41d0-9616-e03baf66a92b"
"9969f2ed-8cb0-49df-a52a-00b694e8262d","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","F10","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"495968ad-ebc8-4686-ad50-1f0e18a2e133"
"87a32911-ccda-49c1-9c61-615e4593d119","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","E8","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"c713ae64-d1a3-4c4b-ba2f-79fd8cb74e2e"
"f8725294-1427-4a51-927c-551a50b4dc19","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","A5","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"9ce8ca44-0e47-4b02-b500-aa9f69133e68"
"3822c6f8-a168-4408-beea-4b70389fe2c6","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","D8","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"03b6a04f-bca4-4fe4-b88b-57bf188c04d7"
"be8a3181-3c99-4910-b9f6-5dd8618595d8","9b8e7069-8b93-4e17-9d47-67bbda495326","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","H3","distributed","shrubScrub",63.878494,-149.264537,"WGS84",45.1,657.5,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0003-1158-8364",,,,,"9c8fdec1-d657-408b-bb54-fab71178fbc2"
"f852277e-e4d3-433b-9a32-fe12eb5012cb","9b8e7069-8b93-4e17-9d47-67bbda495326","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","H2","distributed","shrubScrub",63.878494,-149.264537,"WGS84",45.1,657.5,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0003-1158-8364",,,,,"612b6540-f2bd-4920-8617-396555cf38b6"
"da31a770-b7d4-4b4c-a321-d3d8ba7dbe90","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","H8","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"b7d89935-eab5-4bf7-bf66-c3899ffdaa30"
"dd0bd2c1-b2d4-43e9-be26-5ba026bf949a","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","J6","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"afe9075c-f4bf-495b-857f-ae7ad25fca56"
"505d0258-f74f-432c-a8f1-67c7ff56a5b8","9b8e7069-8b93-4e17-9d47-67bbda495326","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","H7","distributed","shrubScrub",63.878494,-149.264537,"WGS84",45.1,657.5,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0003-1158-8364",,,,,"1e5ddc51-14b0-4b78-931a-c36cb7dea969"
"d14cb384-07d6-473b-ac73-6e06602fc307","9b8e7069-8b93-4e17-9d47-67bbda495326","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","E5","distributed","shrubScrub",63.878494,-149.264537,"WGS84",45.1,657.5,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0003-1158-8364",,,,,"c24ef997-bfa2-4af1-95fc-9ce80676d43d"
"69e01cd5-35e2-49cd-bea6-aa17ed38135c","9b8e7069-8b93-4e17-9d47-67bbda495326","HEAL_010.mammalGrid.mam","D19","HEAL","HEAL_010","F2","distributed","shrubScrub",63.878494,-149.264537,"WGS84",45.1,657.5,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7106-283X","0009-0003-1158-8364",,,,,"0589cf14-7c25-4bc5-b1d2-2ae68820c61a"
"4be0c724-35ef-4ee3-97fd-a2cbf5bc30fd","23e554e2-8dd3-4cfc-aac2-f0af50010848","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","F8","distributed","shrubScrub",63.877737,-149.185738,"WGS84",45.1,633.9,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-9124-8359","0009-0003-1158-8364",,,,,"57ceef17-2ea5-49d7-ab71-55ed75c60d38"
"2862f348-1b80-435c-92a8-b80a406ba5f5","23e554e2-8dd3-4cfc-aac2-f0af50010848","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","D3","distributed","shrubScrub",63.877737,-149.185738,"WGS84",45.1,633.9,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-9124-8359","0009-0003-1158-8364",,,,,"1bd064e7-0176-404c-a105-7a12066f4033"
"54fa783d-8d76-4abe-9a06-07b4e0ebb48d","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","A3","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"134ef656-b692-40a4-90a1-2a051f8ac342"
"38517e82-55ec-433c-b46a-74d7a73e6d56","23e554e2-8dd3-4cfc-aac2-f0af50010848","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","C4","distributed","shrubScrub",63.877737,-149.185738,"WGS84",45.1,633.9,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-9124-8359","0009-0003-1158-8364",,,,,"2b8e7238-832d-4953-a180-4dd9a3605f9d"
"ceb86b4b-2908-4815-8171-5f33e2eeb6aa","754c897e-f0c6-4381-8e73-e9df6958ef6f","HEAL_014.mammalGrid.mam","D19","HEAL","HEAL_014","C5","distributed","shrubScrub",63.886747,-149.276829,"WGS84",45.1,671.2,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0002-4422-173X","0009-0003-6058-0182",,,,,"5074e3e0-cebf-48c8-a322-6feae5560ff4"
"a6196873-fc02-484e-97fd-cf0bc47a92bc","23e554e2-8dd3-4cfc-aac2-f0af50010848","HEAL_034.mammalGrid.mam","D19","HEAL","HEAL_034","A10","distributed","shrubScrub",63.877737,-149.185738,"WGS84",45.1,633.9,0.1,"6 - trap set and empty","ShermanLF","2025-06-25","2025-06-25",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-9124-8359","0009-0003-1158-8364",,,,,"fcd731d0-4523-40d9-b94e-0bc8f6bc75a7"
