uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"5e272313-4931-4917-a5d3-a92134f93c32","9e40cf25-f156-4d4b-b871-5cbbb7e218b0","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","I5","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0001-6508-1786","0000-0002-5948-2855",,,,,"08ed9593-8d6a-42c8-9ffb-da88d9c7f35d"
"b58aac5d-f43c-44fe-97a7-dcd0b8a4587d","afd5121d-f763-4a6c-8e47-977cd2d57a19","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","F9","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty","ShermanXLK","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-7619-2255","0009-0008-0141-6610",,,,,"2e8c1412-8175-40ca-a36e-7fca352a99d7"
"b8c85372-ba9c-4051-a462-4754ed55bb6a","5532f652-e643-4761-8753-af99fd2a1b54","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","C10","distributed","evergreenForest",31.194279,-84.455589,"WGS84",45.2,51.5,0.2,"6 - trap set and empty","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0743-8788","0009-0008-3383-0314",,,,,"086b200e-e204-4905-9b7e-7e88ebe8d760"
"b5896ec9-6ac8-4756-9b30-eb61c9ccdfdd","5532f652-e643-4761-8753-af99fd2a1b54","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","D1","distributed","evergreenForest",31.194279,-84.455589,"WGS84",45.2,51.5,0.2,"6 - trap set and empty","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0743-8788","0009-0008-3383-0314",,,,,"77680d36-a594-4228-9dce-246e530a5ea7"
"15177a2c-2c8a-480f-83b9-c4cdfbbb9b4a","afd5121d-f763-4a6c-8e47-977cd2d57a19","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","F4","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty","ShermanXLK","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-7619-2255","0009-0008-0141-6610",,,,,"87af7dfd-8fa6-4473-87dd-b7e73626432e"
"78054b7b-b73a-47b0-a374-897077394058","afd5121d-f763-4a6c-8e47-977cd2d57a19","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","J1","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty","ShermanXLK","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-7619-2255","0009-0008-0141-6610",,,,,"881fee33-8c57-462b-ac55-7d23d7ba5db8"
"55791e71-f120-4c4a-a5ab-a3257dbfed55","5532f652-e643-4761-8753-af99fd2a1b54","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","I10","distributed","evergreenForest",31.194279,-84.455589,"WGS84",45.2,51.5,0.2,"6 - trap set and empty","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-0743-8788","0009-0008-3383-0314",,,,,"fdab58c8-787c-414d-a12f-809427f64c15"
"022b66f2-5cf1-40ca-a567-b45b6749c71a","9e40cf25-f156-4d4b-b871-5cbbb7e218b0","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","H6","distributed","mixedForest",31.188338,-84.454487,"WGS84",45.1,42.5,0.1,"6 - trap set and empty","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-6508-1786","0000-0002-5948-2855",,,,,"75ba9fa4-c60a-4409-9730-a956f829f00d"
"a7eeb508-f680-4984-986b-888e71500ce2","afd5121d-f763-4a6c-8e47-977cd2d57a19","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","H4","distributed","deciduousForest",31.195225,-84.472087,"WGS84",45.2,33.0,0.3,"6 - trap set and empty","ShermanXLK","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0007-7619-2255","0009-0008-0141-6610",,,,,"003b46f0-deb5-4614-8fa7-eec1418c8001"
"e1cd2c06-15df-4d48-8f98-9a1120b05b41","31f5b062-a048-469b-aa7c-00acdc80b2fb","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","C2","distributed","evergreenForest",31.197297,-84.451595,"WGS84",45.2,44.7,0.2,"6 - trap set and empty","ShermanLF","2024-04-16","2024-04-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-7601-8771","0009-0008-3383-0314",,,,,"d6073bbd-e733-4231-b3b0-4603fe0fff61"
