uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"25e5510a-e753-4bc3-84ea-488e3d4a05bb","f3fdd29e-1502-44f8-82f3-9e7231de9301","JERC.2025.18","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","pathogen","2025-05-01","2025-05-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"3d4bd319-55c7-41a3-97d0-3145966d82f6","59fc0284-23d3-4828-a0da-ba476b2c4967","JERC.2025.18","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","pathogen","2025-05-01","2025-05-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"1a435d08-b120-493f-b1c9-b9fe5415eec0","5525cdac-a521-4cd8-b0df-041521e7f980","JERC.2025.18","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","diversity","2025-05-01","2025-05-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"fa54e64c-5ee1-4b85-8c3c-09cf8910d811","1f262fc7-f32f-4afa-931f-0a9e0b59b4e1","JERC.2025.18","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","pathogen","2025-05-01","2025-05-01","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"01559587-26b9-40f3-93f9-27be56e57aa8","14245966-ed6a-4b7f-a32a-cebcff97cdd4","JERC.2025.22","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","pathogen","2025-05-27","2025-05-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"46013f74-0fa9-499e-858b-d3f78fe2a121","6717f587-ecfd-43e7-9bb2-d6cd6ca6e8d8","JERC.2025.22","JERC_008.mammalGrid.mam","D03","JERC","JERC_008","diversity","2025-05-27","2025-05-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"cb856708-f7fc-444e-8a82-581ac0d127ba","283fe5ee-9512-44a5-9e57-6c21088cac2b","JERC.2025.22","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","pathogen","2025-05-27","2025-05-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"0d88c79c-35f4-4745-9bd4-ae55e439497a","065fa9e2-1d6a-490a-8e46-9fc99184d557","JERC.2025.22","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","pathogen","2025-05-27","2025-05-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d934b175-85b1-44a9-9304-6fcc1693cc3b","f997a59e-856c-4563-b891-d4dc87b9de24","JERC.2025.22","JERC_006.mammalGrid.mam","D03","JERC","JERC_006","diversity","2025-05-28","2025-05-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"d339a8de-61ce-4bc8-b25e-107b0d4a2b5b","86dd8f5a-1bf4-4495-b0e5-9050db516e88","JERC.2025.22","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","pathogen","2025-05-28","2025-05-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"96071bc3-8a69-471d-b3b9-edee39a6ba4c","0c3ec568-1dbd-42a9-900f-1ee97a2ecaa3","JERC.2025.22","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","pathogen","2025-05-28","2025-05-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"49c63f88-6e9e-4d4c-a9ad-fa07ca771d56","1e60acd6-03b2-47fc-b7a9-c1cd44ab9707","JERC.2025.22","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","pathogen","2025-05-28","2025-05-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"fb2b96c9-51d1-4f70-8d03-c9b8cba8169b","f1ef7bbb-4ad8-40e6-ab0c-667474d29b74","JERC.2025.22","JERC_009.mammalGrid.mam","D03","JERC","JERC_009","pathogen","2025-05-29","2025-05-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"a403d1da-c350-4098-a357-86142e866e0c","4e625873-a753-41ba-8b5c-31aeee5ddc8c","JERC.2025.22","JERC_002.mammalGrid.mam","D03","JERC","JERC_002","diversity","2025-05-29","2025-05-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"25188d64-78b8-451d-b20d-d3cb03ec644d","9aa5e22e-a1fb-48e5-af7e-8f6543848a0d","JERC.2025.22","JERC_005.mammalGrid.mam","D03","JERC","JERC_005","pathogen","2025-05-29","2025-05-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"4b920a16-38d4-4a8d-a1f7-c072cb9ab968","b7b9232e-5dd7-4be5-9850-263013fafee5","JERC.2025.22","JERC_003.mammalGrid.mam","D03","JERC","JERC_003","pathogen","2025-05-29","2025-05-29","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
