uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"f78a3c31-d267-4473-b2e9-687acb13d81f","7f580a52-bd5c-4b1a-83ef-2c9a28f41d6b","JORN.2022.25","JORN_031.mammalGrid.mam","D14","JORN","JORN_031","diversity","2022-06-20","2022-06-20","OK","NEON.DOC.000481vN",,
"90b6c724-b5d4-414b-a18f-ba65e2ccbae5","0dfff27a-aa62-4a1e-8848-1366af99b96e","JORN.2022.25","JORN_011.mammalGrid.mam","D14","JORN","JORN_011","diversity","2022-06-20","2022-06-20","logistical","NEON.DOC.000481vN","Resources reduced in AY22 budget",
"8037e191-1fa9-49ed-bfcd-81cce5a1c016","560dc603-b5ee-4041-8e01-d50e592ddae3","JORN.2022.25","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","pathogen","2022-06-21","2022-06-21","extreme weather","NEON.DOC.000481vN",,
"9756dfc6-aebe-420c-8da3-a251194d8904","3f8b6a3f-e0a6-4b05-a88a-656ec1a62961","JORN.2022.25","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","pathogen","2022-06-21","2022-06-21","extreme weather","NEON.DOC.000481vN",,
"47521675-1c4a-4b3e-8aab-b334c2995495","17787540-a64f-4437-bdcf-7e6eed787826","JORN.2022.25","JORN_007.mammalGrid.mam","D14","JORN","JORN_007","diversity","2022-06-21","2022-06-21","logistical","NEON.DOC.000481vN","Resources reduced in AY22 budget",
"de60909d-75be-452a-87a3-a00ef3c4c6ad","9b2bbe67-4e1c-48f2-951b-99c12dbd0076","JORN.2022.25","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","pathogen","2022-06-22","2022-06-22","OK","NEON.DOC.000481vN",,
"1e8379ae-78ef-4a65-ae7d-c1d668b4ec8c","6618ffa7-76f4-47d1-8315-6775956ce092","JORN.2022.25","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","pathogen","2022-06-22","2022-06-22","logistical","NEON.DOC.000481vN","Resources reduced in AY22 budget",
"69859df0-36ae-422f-8a94-41a1d8fb1762","41a64ccd-7226-49ca-9cf1-77e5a2f37138","JORN.2022.25","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","pathogen","2022-06-22","2022-06-22","OK","NEON.DOC.000481vN",,
"61de64bd-5788-401d-8efb-369b4b24189a","c67a3a80-8aa3-4dab-a59a-19ba30d24d25","JORN.2022.25","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","pathogen","2022-06-23","2022-06-23","OK","NEON.DOC.000481vN",,
"67256986-1cb3-419b-b89f-216c9ee59558","a4bacaf9-7e86-45bb-91f5-c69c59f901cf","JORN.2022.25","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","pathogen","2022-06-23","2022-06-23","disturbance","NEON.DOC.000481vN","Heavy ant activity",
"01835062-73f7-4501-8d08-6ec2075f0904","b23eab35-7cf6-4982-b6bf-a7d75b9a957a","JORN.2022.25","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","pathogen","2022-06-23","2022-06-23","logistical","NEON.DOC.000481vN","Resources reduced in AY22 budget",
"ff3f5e88-4601-4757-9cb9-aaf304bacb9b","6cb1633d-f66f-43ca-b66e-487049a76145","JORN.2022.25","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","pathogen","2022-06-24","2022-06-24","logistical","NEON.DOC.000481vN","Resources reduced in AY22 budget",
