uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"dfb37d67-35bf-49ee-915f-9123b67b8c96","63c53b0a-c3fa-4289-8a79-f8127ef79904","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","C5","distributed","shrubScrub",32.605706,-106.803361,"WGS84",45.1,1324.8,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0003-2942-5873","0009-0006-0326-9349",,,,,"0311f78d-a067-48bb-bd89-81a427090b1c"
"49a2d67a-5812-45e8-a020-c950900676f2","7a9a4f79-260f-408b-b771-59e26adf3298","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","A3","distributed","shrubScrub",32.619955,-106.846160,"WGS84",45.1,1323.5,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-7943-049X",,,,,"e118b908-a8a8-416e-8a52-39c1985f957b"
"0d1c97f3-5917-4185-9733-5374cdf69a36","7a9a4f79-260f-408b-b771-59e26adf3298","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","J1","distributed","shrubScrub",32.619955,-106.846160,"WGS84",45.1,1323.5,0.1,"3 - trap door open or closed w/ spoor left","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-7943-049X",,,,,"bf5bb61c-2045-46f3-9d91-733c6c20fb12"
"cde06dcf-6522-4688-84d0-cea670cb772a","14645bcc-9a93-45e3-b3f4-46ec332762ac","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","J4","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7943-049X","0009-0007-6267-8879",,,,,"0487ed90-1014-4c28-bc8e-66a81bb1e0c3"
"5cfcd9db-cd2f-4835-82cb-9d1056865da5","63c53b0a-c3fa-4289-8a79-f8127ef79904","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","G1","distributed","shrubScrub",32.605706,-106.803361,"WGS84",45.1,1324.8,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0009-0006-0326-9349",,,,,"3f82810b-265a-41de-aa8f-0bad42a2349f"
"0416adb3-5626-45b7-85ff-6d450f3af614","14645bcc-9a93-45e3-b3f4-46ec332762ac","JORN_017.mammalGrid.mam","D14","JORN","JORN_017","J6","distributed","shrubScrub",32.607847,-106.848717,"WGS84",45.1,1317.3,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-7943-049X","0009-0007-6267-8879",,,,,"7566aa1a-edeb-4c7c-a3ed-a69d6cba4018"
"e5d56e51-808f-4fcd-8cff-dc31b8998352","7a9a4f79-260f-408b-b771-59e26adf3298","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","E6","distributed","shrubScrub",32.619955,-106.846160,"WGS84",45.1,1323.5,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-7943-049X",,,,,"ac12854e-8b89-4d2b-a987-5cd21123d4dd"
"5c5e8920-64b6-4240-ba58-53384efa3241","7a9a4f79-260f-408b-b771-59e26adf3298","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","J9","distributed","shrubScrub",32.619955,-106.846160,"WGS84",45.1,1323.5,0.1,"6 - trap set and empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-2942-5873","0000-0001-7943-049X",,,,,"0ae52028-e999-4384-81c4-3a3bc70a068e"
"cd08b4df-543b-4102-89f4-acfed5b5c93c","63c53b0a-c3fa-4289-8a79-f8127ef79904","JORN_001.mammalGrid.mam","D14","JORN","JORN_001","H3","distributed","shrubScrub",32.605706,-106.803361,"WGS84",45.1,1324.8,0.1,"2 - trap disturbed/door closed but empty","ShermanXLK","2025-06-24","2025-06-24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0003-2942-5873","0009-0006-0326-9349",,,,,"0ca37b16-5486-441c-aeb0-535d883997ab"
"c0b3c80b-dd5a-4349-92b9-8593887a2d34","7a9a4f79-260f-408b-b771-59e26adf3298","JORN_018.mammalGrid.mam","D14","JORN","JORN_018","I9","distributed","shrubScrub",32.619955,-106.846160,"WGS84",45.1,1323.5,0.1,"5 - capture","ShermanXLK","2025-06-24","2025-06-24","NEON.MAM.D14.442800",,"CHER","Chaetodipus eremicus","species","cf. species",,,,"N","F","Y","processed",,"adult",,"nonenlarged","not","neither",20,,89,,16,"N","N","N",,"none","dry ice",,,,,"JORN.20250624.442800.F","D00000131954","ok",,,,,,,,"0000-0003-2942-5873","0000-0001-7943-049X",,,,,"917cbf86-cc70-4447-8629-babe07c69f8e"
