uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"cd118474-f9e4-452e-98e9-c9c59a1ad0aa","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","D4","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"d9869a34-6440-41b0-8412-0c91d6da6254"
"394320cd-bb0e-4e4d-b85d-6a25a1e9ec9c","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","E9","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"d6c3ce33-76d7-453f-933f-3d2c9d259dac"
"b6f32090-7711-4a0f-a1f5-d8a43a25078b","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","D7","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"b0830813-160c-456a-b2c4-66bd05fa7c7a"
"b488c1b4-eb6a-4fcd-8a21-a333195eed34","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","A7","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"12762f06-8293-4486-82e7-522908c7700a"
"73f41b15-bd31-4df7-908f-1c1f9bc893f7","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","J7","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"d591c020-2718-4a8d-a4fd-7650d99c8701"
"7318a392-9844-440c-8eb5-1fbcc96a4b50","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","H4","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"1af836e8-0202-4da5-b180-46575f938d2f"
"0d5efceb-eeb4-4a12-aa2b-54df20e0b97e","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","C3","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"2a597a58-c179-4c32-9d87-0db304c13573"
"ea0a48aa-fe52-4634-9f74-e094c3147130","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","B6","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"0045692c-8d5d-427a-848b-931a3a31386f"
"34a83ff1-02c9-4fea-80e6-fae72bad4368","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","D10","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"c63875cb-42ae-4182-b043-3996716135b4"
"3ff9c6de-8a82-4968-bf28-9bd30da93e8f","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","J5","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"0b6bd8ba-3a5d-47bd-8947-df25e85d88c5"
"37074dcd-5d8f-4a4e-8f26-8d6446028d98","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","B1","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"8f0d2032-cc96-48f0-a675-eb964de204c9"
"b0b304b0-36b9-4f24-a210-db4e1169ffee","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","E7","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"19f9e86a-6e15-45ed-8e4c-819fd1359fdb"
"1f792dc3-02d1-4bff-9130-50b8be70673b","6617fd09-040f-4056-ae28-23c3e3b360b1","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","A1","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"2 - trap disturbed/door closed but empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"fd47bd52-e940-4e37-9374-771f2ceceedf"
"d26f3b2f-5323-43b4-aa3e-a05f7df8e4c8","6617fd09-040f-4056-ae28-23c3e3b360b1","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","G5","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"40fbaf69-bd45-42c7-913c-52b08db38689"
"d4bf344d-3346-4bca-ab6a-4b6a48032586","6617fd09-040f-4056-ae28-23c3e3b360b1","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","E10","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"829e73c2-ae55-4beb-8231-2607b3e422c6"
"458d3431-b04a-46c7-ab14-aa5e58f11ef0","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","B6","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"337f1dd2-f210-4d61-8ede-6bdf0f2b2141"
"fce24379-29d9-4024-87fb-e96380c0210c","6617fd09-040f-4056-ae28-23c3e3b360b1","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","A8","distributed","cultivatedCrops",39.125776,-96.640728,"WGS84",45.1,328.6,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"c1cce683-c414-41d4-8c1d-0e6bb98013f9"
"1c35a770-0923-4488-b7cd-7435e0932a90","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","A2","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"0bc4645d-6efa-4229-8e3a-fe74d0190882"
"c43580fd-4b2c-4f79-89fa-5284818fbb7f","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","H10","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"cfcc0826-11d4-4cfc-bcb3-409d131d971f"
"90052960-7ffe-4b0e-80be-20833eeb45dd","8dc99aac-9218-4419-9693-e157645238dd","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","J2","distributed","cultivatedCrops",39.217225,-96.594870,"WGS84",45.1,330.1,0.1,"3 - trap door open or closed w/ spoor left","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-9557-1628","0009-0005-6527-0647",,,,,"0099a4bb-7b22-44ff-aa39-c7c13d289260"
"2bdfb47d-5b1f-41f2-8d4f-6db3fc021312","23b1563e-9989-4c51-a067-8174c5d36e73","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","D7","distributed","cultivatedCrops",39.121218,-96.639897,"WGS84",45.1,329.7,0.1,"6 - trap set and empty","ShermanLF","2024-04-30","2024-04-30",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0006-9950-5173",,,,,"46537553-7561-4bda-aa9a-98b40b303976"
