uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"34dc818c-1d96-4f9c-96da-81415ca9f7e1","ffae1eb9-233b-490e-88e0-130790d9888c","KONA.2025.23","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","pathogen","2025-06-04","2025-06-04","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"13bf1b18-7c94-4cbe-a7f7-e76a58f493ad","81163979-1710-4d41-9e5f-ad3dd8ee1c37","KONA.2025.23","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","pathogen","2025-06-04","2025-06-04","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"9a513ba7-49fa-4138-81aa-a16e126bd6f5","fd845fcf-d712-4d5a-9dee-caf7695ea7c7","KONA.2025.23","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","pathogen","2025-06-04","2025-06-04","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"6f03963a-30a4-4abe-965e-4d12468cb83d","6da6ec55-5a16-481a-98b8-9b06f430ece0","KONA.2025.23","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","pathogen","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7ad63eb6-df6d-4fe2-bb06-5d2c66980eb9","5c575e30-ec68-4d83-9027-242d8ba2e7ad","KONA.2025.23","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","pathogen","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"5235751a-00cd-442f-bd5a-0b47ce2546e0","1bf85340-b7a7-409c-897f-5fa2a6943499","KONA.2025.23","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","pathogen","2025-06-05","2025-06-05","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"1c9c2b9a-33b9-4df1-8cb7-f895e2923f5e","4e6bc3e6-d021-47a8-8cbf-6415397657cd","KONA.2025.23","KONA_004.mammalGrid.mam","D06","KONA","KONA_004","diversity","2025-06-06","2025-06-06","extreme weather",,"NEON.DOC.000481vQ",,
"9a38e746-6729-488f-8d4f-a639657f2ce6","1ea0ac3a-31f5-48ea-8366-d964354f9837","KONA.2025.23","KONA_016.mammalGrid.mam","D06","KONA","KONA_016","pathogen","2025-06-06","2025-06-06","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"387918a7-c4f9-435f-a845-c3ec0359eb8b","cfb35f21-e24e-43f6-aebb-e99e4d99e2a8","KONA.2025.23","KONA_006.mammalGrid.mam","D06","KONA","KONA_006","diversity","2025-06-06","2025-06-06","extreme weather",,"NEON.DOC.000481vQ",,
"d1691a53-ca7c-41dd-adac-bc746f17bc68","c4dfdbf1-7cf4-4454-b64e-82c8100ba67b","KONA.2025.23","KONA_001.mammalGrid.mam","D06","KONA","KONA_001","pathogen","2025-06-06","2025-06-06","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"c01b349a-5f66-426b-8330-1a6a1341793f","f8777ef0-8921-49eb-a4bf-01f5318cc577","KONA.2025.23","KONA_003.mammalGrid.mam","D06","KONA","KONA_003","diversity","2025-06-06","2025-06-06","extreme weather",,"NEON.DOC.000481vQ",,
"6d37bf39-991a-441b-be39-ee9599ed79f9","0b200856-6aec-4e9c-bc51-28380b97b91b","KONA.2025.23","KONA_013.mammalGrid.mam","D06","KONA","KONA_013","pathogen","2025-06-06","2025-06-06","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
