uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"16318edc-d196-49e9-85b6-28b76958a140","ecde6148-6e8e-464e-8970-2e6dadce9753","KONZ.2021.35","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2021-09-01","2021-09-01","OK","NEON.DOC.000481vM",,
"00776a63-9555-40d9-87f4-6fb5645b846c","dead7182-4fc2-4a9b-bbc7-a25f459b112b","KONZ.2021.35","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2021-09-01","2021-09-01","OK","NEON.DOC.000481vM",,
"ded01725-76f1-4594-9e38-f2d04f17dacb","d4c2ae8f-34df-48c3-906a-2cd84fb22cb4","KONZ.2021.35","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2021-09-01","2021-09-01","OK","NEON.DOC.000481vM",,
"47d9466c-70b4-42a0-9af2-91977b540160","151de5bb-899f-45e9-9267-3538b4476d78","KONZ.2021.35","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2021-09-02","2021-09-02","OK","NEON.DOC.000481vM",,
"5165848b-d309-4d76-832f-042492e30286","a539826a-30d9-4de3-a9f2-42d4453ff897","KONZ.2021.35","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2021-09-02","2021-09-02","OK","NEON.DOC.000481vM",,
"1cf73b1c-7349-4eff-b7a9-2cc783af801d","1026635e-92fe-4bbc-b9b5-5b43a1832d7f","KONZ.2021.35","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2021-09-02","2021-09-02","OK","NEON.DOC.000481vM",,
"98bd127f-023a-4eef-b136-1ce106944c3b","83ad8dcc-fb96-42dd-9fb7-6ad1636e7323","KONZ.2021.35","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2021-09-03","2021-09-03","OK","NEON.DOC.000481vM",,
"47092d4c-50d4-4bd7-85ed-dfd4b41a8085","9e11f2c4-5ed5-4231-81c4-34469d1d81f1","KONZ.2021.35","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2021-09-03","2021-09-03","OK","NEON.DOC.000481vM",,
"3a1901b5-0486-4851-8b6a-94cfd0513004","8d775e72-d28e-46a2-9e2b-d5bf41bd80b0","KONZ.2021.35","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2021-09-03","2021-09-03","OK","NEON.DOC.000481vM",,
"3d2eb152-9b49-4429-9f95-386554fd1a43","100cc5e2-6093-4f9c-aa22-a2db9d2cd0d8","KONZ.2021.39","KONZ_002.mammalGrid.mam","D06","KONZ","KONZ_002","diversity","2021-09-28","2021-09-28","OK","NEON.DOC.000481vM",,
"c71b12af-a591-4676-9d47-858a1e7adb77","490afbd8-8843-4a8a-804e-69558a18a726","KONZ.2021.39","KONZ_003.mammalGrid.mam","D06","KONZ","KONZ_003","diversity","2021-09-28","2021-09-28","OK","NEON.DOC.000481vM",,
"894cae63-d087-4c8d-a5ae-cffa32a9903d","50c182f9-bbde-49fe-bfb8-a9786acff619","KONZ.2021.39","KONZ_005.mammalGrid.mam","D06","KONZ","KONZ_005","diversity","2021-09-28","2021-09-28","OK","NEON.DOC.000481vM",,
"aa909210-f3da-4018-8dbd-2e1610829cc9","c8000168-1427-48d3-bb16-834f1427d71c","KONZ.2021.39","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2021-09-29","2021-09-29","OK","NEON.DOC.000481vM",,
"b952637a-1122-40fd-a3c9-411fd5c5ab96","af2b82b8-f6a8-4474-a2d2-592e80bdc7a4","KONZ.2021.39","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2021-09-29","2021-09-29","OK","NEON.DOC.000481vM",,
"88f87404-c52d-440f-aa63-f946e27804ec","101b9dbf-3990-40c7-84bf-1b2380c1d15e","KONZ.2021.39","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2021-09-29","2021-09-29","OK","NEON.DOC.000481vM",,
"453a931c-7d9f-4d80-b6e7-0e4018169914","5235e9d6-3e6f-4cea-9a67-d755e173451d","KONZ.2021.39","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2021-09-30","2021-09-30","extreme weather","NEON.DOC.000481vM",,
"836e4a23-10b7-407f-bf68-5588c5c900c6","0bc90fc9-15d4-45a6-bcc2-592522b8cc73","KONZ.2021.39","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2021-09-30","2021-09-30","extreme weather","NEON.DOC.000481vM",,
"2cbdfdfe-8676-4e8b-8ed0-97224e219c0a","c2806a5b-aee2-4a94-b1e8-7b4b9d36be7d","KONZ.2021.39","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2021-09-30","2021-09-30","extreme weather","NEON.DOC.000481vM",,
