uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"03387dda-e7a1-4768-b6b5-ac452b3260a6","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","E9","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"0cdfb95f-3a9a-4188-b6bb-6b51858c4559"
"b9a4ed90-80a0-48e4-a00a-53aaac68bce3","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","H1","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"1257fc70-6f2d-4835-95d3-2518ab91f4fa"
"d5e7a640-1bf7-4c37-9a3e-428ec588c5f4","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","A3","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"cbc3d41b-f217-4384-94d0-f66390e26f71"
"7127bc27-f45a-434f-ae93-124d527ce7e4","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","I5","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"fd72899a-b095-4f51-8751-6ee51c3eb134"
"1fbb05db-30d5-4ac7-9e6a-029d02bad45d","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","F5","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"d222feed-1e0c-4ab9-90d1-8bab604bed1a"
"accba4b4-d71c-4726-8ce1-b7b66a4af88d","097a4f9d-92ba-4e9b-8eb9-fb1d49b8315c","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","A5","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0002-9890-216X",,,,,"accde219-e1d3-4438-ad7e-1399acf4b065"
"b0cc5b96-5c93-4531-bd59-03343cff8fce","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","A1","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"62209a49-bae2-46b9-b310-0db6c34e55e1"
"a5921fde-7e2c-4bdf-985d-6b509778783c","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","G6","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"98f72506-e60c-4d50-a910-6b9cb9f84edf"
"7823badb-2714-4c3d-be52-4710805ac51c","097a4f9d-92ba-4e9b-8eb9-fb1d49b8315c","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","E3","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0002-9890-216X",,,,,"33d48c58-ba46-44b5-9682-c0fe56be0149"
"093a847a-f209-4fc7-ac8e-14d61df23263","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","C5","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"a1329aec-fca4-4cfd-ae33-91831baa8eae"
"fd32a00c-be64-4523-bba1-50cdc66d5314","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","I10","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"cb5f5777-0a7d-4aa2-8d62-0f6fc0da7596"
"7e5d378d-389a-4cd0-8b73-504071b82468","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","F6","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"1ec2285c-b9a5-4594-95b3-93a859c6319d"
"8a7c8288-d044-4fb7-8ab8-110a2ec255e9","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","J7","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"a7aab040-f29a-4f33-87b0-5fd4577218f1"
"3ff393af-15e8-4270-b7d3-6e99db136152","097a4f9d-92ba-4e9b-8eb9-fb1d49b8315c","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","H8","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0002-9890-216X",,,,,"44a6d4bb-50a9-484f-a597-9c3f7350b3d7"
"65550443-bc5f-4da1-896c-384de40f99b0","a7217597-67df-4665-8e2a-d201d7b2ac23","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","E3","distributed","grasslandHerbaceous",39.075279,-96.554581,"WGS84",45.1,424.7,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-2980-5449","0009-0005-4841-3896",,,,,"97025319-bf5b-4576-bac6-1a8f37917f03"
"ff950607-cc53-4518-ab4a-92d56987edf6","097a4f9d-92ba-4e9b-8eb9-fb1d49b8315c","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","F6","distributed","grasslandHerbaceous",39.070111,-96.588843,"WGS84",45.1,413.8,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-6527-0647","0009-0002-9890-216X",,,,,"78272034-ffef-46bb-b072-3845ac02ac69"
"879bbf13-d2ea-49e1-99d8-9627df79cc42","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","E5","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"31181e82-0f96-4d3b-be56-631e31d0c2d1"
"abea2c6c-a9ea-44ad-b849-6127b2ffee7d","4e5e6ae7-ac56-480b-aa9f-99627b7e3519","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","E4","distributed","deciduousForest",39.102006,-96.584621,"WGS84",45.3,347.3,0.1,"6 - trap set and empty","ShermanLF","2024-05-28","2024-05-28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0005-4841-3896","0009-0005-4841-3896",,,,,"2ff3aeee-899b-41f7-b259-b086e9cd1104"
