uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"5d4d6cda-b523-4b8e-a245-a0ceb25239e4","c4f7266d-f677-4eb4-b855-b917b2fa8e84","KONZ.2024.32","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2024-08-06","2024-08-06","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"9d1e9029-6004-4bbc-b818-efac35efb720","c65db6ad-73f0-40b6-90be-73514b81b01a","KONZ.2024.32","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2024-08-06","2024-08-06","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"bbee095c-2584-4e32-a0d4-c567d432b52b","1ba6b954-2fd3-4a98-810c-f09b236fb9ca","KONZ.2024.32","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2024-08-06","2024-08-06","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"25c2969b-dd7e-411c-9618-4a407a1d9947","68648317-cc88-4ae6-a078-07bb6f097b4d","KONZ.2024.32","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2024-08-07","2024-08-07","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"65c21b9c-8ab0-4df7-ba1a-ba0b9cd06b5f","99136b81-46c7-4617-bc58-7fa4193bf487","KONZ.2024.32","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2024-08-07","2024-08-07","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"d9f4b9bc-db0d-4619-87f4-4571d712a310","60d0e972-82f5-46f1-8a04-1998849b7707","KONZ.2024.32","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2024-08-07","2024-08-07","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"3ef58ef3-3b3e-4e6e-b2aa-b6bbb413cc25","eb09e68a-2040-4c99-a2dc-3875fa11e54f","KONZ.2024.32","KONZ_006.mammalGrid.mam","D06","KONZ","KONZ_006","pathogen","2024-08-08","2024-08-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"53e2ffb5-8947-4824-b187-1a36626d746b","03f7cab8-5e6a-4e15-9ad8-8b44fcc2e314","KONZ.2024.32","KONZ_001.mammalGrid.mam","D06","KONZ","KONZ_001","pathogen","2024-08-08","2024-08-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"a076af30-4644-44a9-bad8-ce5f6b5a6844","8c983ca3-26de-43d0-ab55-6edbb7734ba2","KONZ.2024.32","KONZ_027.mammalGrid.mam","D06","KONZ","KONZ_027","pathogen","2024-08-08","2024-08-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"2f830945-698e-4c70-850f-0e3485f0aea9","8a361127-d2d1-4606-ae4a-b691781aa29a","KONZ.2024.32","KONZ_003.mammalGrid.mam","D06","KONZ","KONZ_003","diversity","2024-08-09","2024-08-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"02420e22-bcb7-47d7-b74e-91c17424a393","5eb9ce30-d57f-41c1-be7d-aec8c608c411","KONZ.2024.32","KONZ_005.mammalGrid.mam","D06","KONZ","KONZ_005","diversity","2024-08-09","2024-08-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"aeede7fa-8c76-4031-9f7d-1c85987ee362","4fa285b4-a01f-4544-b852-c3d1f7b143b3","KONZ.2024.32","KONZ_002.mammalGrid.mam","D06","KONZ","KONZ_002","diversity","2024-08-09","2024-08-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
