uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"828b5336-2256-48aa-b969-acc82d2bb3d8","88BBD53FCE644F288F5AB67845F8416F","LAJA.2016.33","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","pathogen","2016-08-16","2016-08-16",,"NEON.DOC.000481vH",,
"7b940ae3-514a-4f63-9534-188077d20532","4A6EBAEEF21A4C7C892BE53095046D9B","LAJA.2016.33","LAJA_023.mammalGrid.mam","D04","LAJA","LAJA_023","pathogen","2016-08-16","2016-08-16",,"NEON.DOC.000481vH",,
"e14f5d35-5fb4-4aca-bdf7-1549125c8a7b","0072F300B25F48C9902B199F57BF01E2","LAJA.2016.33","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","pathogen","2016-08-16","2016-08-16",,"NEON.DOC.000481vH",,
"5e00d284-7d71-4830-8054-8c7b2287a7e8","8FAA754567DB4714810D38F0FA764637","LAJA.2016.33","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","pathogen","2016-08-17","2016-08-17",,"NEON.DOC.000481vH",,
"52565628-e0e6-45d0-89ef-18bf9c5a6d2d","97BE23CAEF314AC1AE8EDD75848B6FA0","LAJA.2016.33","LAJA_023.mammalGrid.mam","D04","LAJA","LAJA_023","pathogen","2016-08-17","2016-08-17",,"NEON.DOC.000481vH",,
"6448cc58-5c5b-4096-be7b-a170be84928e","1663164AC9D94A08A58B00453C50BC29","LAJA.2016.33","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","pathogen","2016-08-17","2016-08-17",,"NEON.DOC.000481vH",,
"15bed7f0-684e-452a-82cc-330e2a3ea19f","EC4D36DE940D411399BD1BC2A8CA7305","LAJA.2016.33","LAJA_002.mammalGrid.mam","D04","LAJA","LAJA_002","pathogen","2016-08-18","2016-08-18",,"NEON.DOC.000481vH",,
"15effe86-a1e9-4185-9e44-bde158ec2299","6DDFAC046E1D4F3D9B20518AEF0BDA35","LAJA.2016.33","LAJA_023.mammalGrid.mam","D04","LAJA","LAJA_023","pathogen","2016-08-18","2016-08-18",,"NEON.DOC.000481vH",,
"4e003e74-eece-4630-8cbe-d33f2afaf6c1","9D0A4A07C1464C2BB5C0A1265E464E9B","LAJA.2016.33","LAJA_003.mammalGrid.mam","D04","LAJA","LAJA_003","pathogen","2016-08-18","2016-08-18",,"NEON.DOC.000481vH",,
"087c1770-6c7c-4c59-8be6-f509fe41cb02","7CFFAF38840D46FD89169695C71C50C6","LAJA.2016.33","LAJA_018.mammalGrid.mam","D04","LAJA","LAJA_018","diversity","2016-08-19","2016-08-19",,"NEON.DOC.000481vH",,
"17957257-c621-4aa2-96f7-0a6f42a1279c","A11562945C214B5EB21003406809FFA9","LAJA.2016.33","LAJA_005.mammalGrid.mam","D04","LAJA","LAJA_005","diversity","2016-08-19","2016-08-19",,"NEON.DOC.000481vH",,
"53f7f274-17c2-4d9f-8521-b304b7a1d47a","8A81344E43514B0C92392A9FD4F54FE5","LAJA.2016.33","LAJA_010.mammalGrid.mam","D04","LAJA","LAJA_010","diversity","2016-08-19","2016-08-19",,"NEON.DOC.000481vH",,
