uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"65a05071-cb30-4316-956f-312cbf101bee","69d66f2a-363b-4257-8418-64250f375b6b","LENO.2024.32","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","pathogen","2024-08-06","2024-08-06","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"2042b650-5fce-424f-8507-13236de84555","03bc8575-6055-4bbd-b624-be8d43856666","LENO.2024.32","LENO_031.mammalGrid.mam","D08","LENO","LENO_031","pathogen","2024-08-06","2024-08-06","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"99812c07-85ca-460e-9c89-55c8ff171b58","0fd0ec42-daba-41ee-9dd4-e6b1d0df446e","LENO.2024.32","LENO_002.mammalGrid.mam","D08","LENO","LENO_002","pathogen","2024-08-06","2024-08-06","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"574219bd-6999-4cd1-aa0c-9b36c5456e1c","92e5aa48-e3e3-4137-9a16-7a6aec04b0b2","LENO.2024.32","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","pathogen","2024-08-06","2024-08-06","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"9fba61aa-e46f-43e3-8477-a512b4f5d444","3151de54-f645-4873-8d96-369e03630319","LENO.2024.32","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","pathogen","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"27a53d59-1f16-43e8-8b93-850f88c695ae","f30fe481-2cda-4b83-ba45-da2a61f5d70f","LENO.2024.32","LENO_031.mammalGrid.mam","D08","LENO","LENO_031","pathogen","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"8abec225-ecfd-404b-a593-69539ca1e605","501a3906-b8fa-4419-9091-2716bdf0aed0","LENO.2024.32","LENO_015.mammalGrid.mam","D08","LENO","LENO_015","diversity","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"6f78bf92-99fb-43b8-b14a-ad0712fb15da","b65240b9-c18e-49a9-adb6-61219848d336","LENO.2024.32","LENO_002.mammalGrid.mam","D08","LENO","LENO_002","pathogen","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"32c20501-308f-4613-b2d0-ed4a9906404f","d99e1620-0ca4-422e-9df1-7160fd0740c5","LENO.2024.32","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","pathogen","2024-08-07","2024-08-07","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"8e5d328d-0dae-4019-b133-dc1ad66a3be0","bb5c66d1-94e9-4ff9-ba85-2e92eb3b818d","LENO.2024.32","LENO_022.mammalGrid.mam","D08","LENO","LENO_022","diversity","2024-08-08","2024-08-08","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"ad24aa31-8fe5-4bd8-8ec1-92f889ff8ce7","8d6ab947-f21c-437f-adf7-22246e7c2339","LENO.2024.32","LENO_008.mammalGrid.mam","D08","LENO","LENO_008","pathogen","2024-08-08","2024-08-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"85404421-cb66-4a4b-9da8-02b9b69c67ef","f76df884-037f-4e2b-8bf8-186256015715","LENO.2024.32","LENO_031.mammalGrid.mam","D08","LENO","LENO_031","pathogen","2024-08-08","2024-08-08","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"9046013c-cc39-41ef-bd9e-b38e81fa276e","8a6b047c-9ac7-4b58-a341-60e1775706a6","LENO.2024.32","LENO_002.mammalGrid.mam","D08","LENO","LENO_002","pathogen","2024-08-08","2024-08-08","disturbance",,"NEON.DOC.000481vP",,
"9412325d-49d9-4be2-a217-96d09488bb7b","1d2cafb0-e978-407a-b8d1-f847275ace8b","LENO.2024.32","LENO_006.mammalGrid.mam","D08","LENO","LENO_006","pathogen","2024-08-08","2024-08-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
