uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"25f1ed92-801e-4cc1-9414-1c52ed301b95","fc347a66-f794-4873-9a4a-25fe04eb3022","MLBS.2020.22","MLBS_009.mammalGrid.mam","D07","MLBS","MLBS_009","diversity","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"0f136a0c-65e9-4196-9fd0-e3294c6feaab","bc069e04-8deb-4a8c-9591-60f186a8cace","MLBS.2020.22","MLBS_003.mammalGrid.mam","D07","MLBS","MLBS_003","pathogen","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"b2661b65-e600-4179-8435-3d652f17903f","e447c371-ca64-4ecd-98a8-295a8cd4723f","MLBS.2020.22","MLBS_006.mammalGrid.mam","D07","MLBS","MLBS_006","pathogen","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"031a634b-ab79-4783-88b0-62be3b5565a4","1a591028-f326-4223-8911-a7c83aa5ddf6","MLBS.2020.22","MLBS_008.mammalGrid.mam","D07","MLBS","MLBS_008","pathogen","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"15a0e4e5-4d19-4b88-8dcc-a1ceb052d199","86b8ec65-25df-4c08-a3e2-7bfb12d203e7","MLBS.2020.22","MLBS_002.mammalGrid.mam","D07","MLBS","MLBS_002","diversity","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"6830dcf9-8c0a-41cb-a62f-ed38cc303a28","d2eaf7af-82a8-4176-9a5e-721cd56d406d","MLBS.2020.22","MLBS_004.mammalGrid.mam","D07","MLBS","MLBS_004","diversity","2020-05-27","2020-05-27","logistical","NEON.DOC.000481vM","COVID19",
"6139dd50-512b-4a16-bd6e-c9303f71c402","6cc2766a-f947-4969-97f8-e1154e2d14ae","MLBS.2020.22","MLBS_003.mammalGrid.mam","D07","MLBS","MLBS_003","pathogen","2020-05-28","2020-05-28","logistical","NEON.DOC.000481vM","COVID19",
"4ed75f1b-77ad-4ced-8e68-4d5db75f81aa","23993c9e-54ba-40e4-a913-1ea10230fda6","MLBS.2020.22","MLBS_006.mammalGrid.mam","D07","MLBS","MLBS_006","pathogen","2020-05-28","2020-05-28","logistical","NEON.DOC.000481vM","COVID19",
"76065f32-a2bd-4439-b718-4d8b7b3c817c","2a603014-d9b1-46dc-a5b8-5c9638bcbfc7","MLBS.2020.22","MLBS_008.mammalGrid.mam","D07","MLBS","MLBS_008","pathogen","2020-05-28","2020-05-28","logistical","NEON.DOC.000481vM","COVID19",
"21c18318-a66f-47a4-9955-37df5bf083c6","1c1693a7-b8ee-4d37-bf9a-cda212724d5a","MLBS.2020.22","MLBS_003.mammalGrid.mam","D07","MLBS","MLBS_003","pathogen","2020-05-29","2020-05-29","logistical","NEON.DOC.000481vM","COVID19",
"097b48f4-d819-4a58-a4f9-098b4750f62b","c77203ed-261b-4dc8-b8fc-ca3c32bb6f47","MLBS.2020.22","MLBS_006.mammalGrid.mam","D07","MLBS","MLBS_006","pathogen","2020-05-29","2020-05-29","logistical","NEON.DOC.000481vM","COVID19",
"97104c4f-c231-4bdc-be65-c1cfe2672712","41ccb1a8-4274-4891-a4b0-9b9158a4583c","MLBS.2020.22","MLBS_008.mammalGrid.mam","D07","MLBS","MLBS_008","pathogen","2020-05-29","2020-05-29","logistical","NEON.DOC.000481vM","COVID19",
