uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"95244336-3e9b-4d13-aaed-3cbdb3ff98ee","ed806822-7bd8-48cb-9532-68dc223da013","MOAB.2024.16","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","pathogen","2024-04-17","2024-04-17","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"bc7e7274-d7de-4cd7-95bc-e3ddc9e1df23","21a7a6ec-bc67-4362-a975-8e1b73dda3bb","MOAB.2024.16","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","pathogen","2024-04-17","2024-04-17","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"85c608db-63d7-450b-9dbd-366fe9c7cf85","a39e5031-759a-49e7-af3c-54241c63686c","MOAB.2024.16","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","pathogen","2024-04-17","2024-04-17","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"063f02c4-c9f3-41fc-a61f-071dcfa3a57e","1073dde1-3f37-426d-b368-34502340d084","MOAB.2024.16","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","pathogen","2024-04-18","2024-04-18","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"62db2982-2aa4-4847-a675-5bdaa5bf153b","043c87f3-cee5-4519-b28f-ea53f3f4be89","MOAB.2024.16","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","pathogen","2024-04-18","2024-04-18","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"bf62a744-b842-4060-89a5-3292375ad399","08cfba4d-2918-488f-9bad-9da67fc9867b","MOAB.2024.16","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","pathogen","2024-04-18","2024-04-18","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"810b6154-54df-4640-882d-05708bde0acd","95905ec0-6624-44ac-820d-27ff83f72ab0","MOAB.2024.16","MOAB_004.mammalGrid.mam","D13","MOAB","MOAB_004","diversity","2024-04-19","2024-04-19","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window. Diversity sampling cancelled for training.",
"56574120-366d-414b-8190-0496dfd96e1a","ee1a3dd7-ebca-4235-80f3-6289b98426a2","MOAB.2024.16","MOAB_007.mammalGrid.mam","D13","MOAB","MOAB_007","diversity","2024-04-19","2024-04-19","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window. Diversity sampling cancelled for training.",
"34d95afc-fe06-4674-b78e-236fabb9bd7a","928da60e-64df-4ce7-a65b-f9a638962234","MOAB.2024.16","MOAB_002.mammalGrid.mam","D13","MOAB","MOAB_002","diversity","2024-04-19","2024-04-19","logistical",,"NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window. Diversity sampling cancelled for training.",
"c65fa081-d9d2-4a6d-9097-c394b202025b","d779c2c2-da0a-4c80-b633-6338a715ffc6","MOAB.2024.16","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","pathogen","2024-04-19","2024-04-19","OK","setting complete, processing complete","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"5cd75c9a-b225-41b0-8cf1-11e8dc72d8f4","a63a2416-1f17-4294-909d-bac750ad70e7","MOAB.2024.16","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","pathogen","2024-04-19","2024-04-19","OK","setting complete, processing complete","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
"caa991d9-9f23-4bc2-ad97-0386dfcf38ce","23ca3108-f08d-4b82-a9b7-f29903fb36e0","MOAB.2024.16","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","pathogen","2024-04-19","2024-04-19","OK","setting complete, processing complete","NEON.DOC.000481vP","Sampling outside 21 day new moon sampling window",
