uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"78a794be-57f8-4ddd-9a14-68e1af56e784","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","D3","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"940aab8c-42d6-45f4-9854-b7718bdc55f6"
"e1b2c20b-a320-4ea6-b07c-4d42d9abb77f","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","H8","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"0946ba0b-0e84-4e98-94c7-b5bdb2df6f7d"
"9adaa371-5b87-43d4-857a-b40a894deeba","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","B6","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"fa125cb6-a0ec-4ebe-8b50-e459ca621191"
"bd88ddf1-5633-4883-88ad-e5e92b3add06","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","B8","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"60d6a68d-bc76-4f5d-bfc1-9935c7604934"
"31630db3-d000-45c4-a46c-f8adfec32423","9d559405-9fb4-48a2-b6b6-bcddb64c5012","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","E8","distributed","shrubScrub",38.259554,-109.423615,"WGS84",45.1,1797.0,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"none","dry ice",,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"3a19db52-dd8a-4240-b2ae-ed7a597bd818"
"32e9b7a1-02c1-4c71-ae4d-d631e25c17ad","34e9fb89-e556-41ef-96d2-6b8fd0d793dd","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","G5","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0007-5227-6673",,,,,"9f5c6b0e-06ed-4c97-ac75-64476e04c947"
"598b527f-ad29-4cc0-a822-ec5b1e030818","9d559405-9fb4-48a2-b6b6-bcddb64c5012","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","B10","distributed","shrubScrub",38.259554,-109.423615,"WGS84",45.1,1797.0,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"df58abd8-77f4-49b7-a090-9904c3f9157e"
"a699364d-19fc-4f44-9638-1a79a68d687a","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","F4","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"b8a3eaf1-499f-4f15-bbab-a7e9c81f3e12"
"e1743f10-f135-4061-91c5-3e1ed05dcece","34e9fb89-e556-41ef-96d2-6b8fd0d793dd","MOAB_006.mammalGrid.mam","D13","MOAB","MOAB_006","J6","distributed","shrubScrub",38.236238,-109.404418,"WGS84",45.1,1761.2,0.2,"5 - capture","ShermanXLK","2024-07-16","2024-07-16","NEON.MAM.D13.MR6038",,"DIOR","Dipodomys ordii","species",,,,,"N","U","Y","processed",,"unknown",,,,,,,,,,"U","U","U",,"did not check","dry ice",,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0007-5227-6673",,,,,"d4f59dc5-53d4-463c-baf1-3861ce4d6d4a"
"2109119e-a42d-4ad2-a9af-d0fb5a61dfa5","ccb03a09-8092-4b19-a804-b52fdecc0c57","MOAB_003.mammalGrid.mam","D13","MOAB","MOAB_003","G5","distributed","evergreenForest",38.259956,-109.348988,"WGS84",45.1,2004.2,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"78199fd3-abd4-405e-8378-481bb70ab547"
"3e0176c5-d2bd-459b-be42-1e2d7b650442","9d559405-9fb4-48a2-b6b6-bcddb64c5012","MOAB_009.mammalGrid.mam","D13","MOAB","MOAB_009","G8","distributed","shrubScrub",38.259554,-109.423615,"WGS84",45.1,1797.0,0.1,"6 - trap set and empty","ShermanXLK","2024-07-16","2024-07-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"cfdc3703-07ba-4cb1-ba0a-180d50f6030f"
