uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"0ae1ffc1-64cb-4a42-81e8-43cb26b2ffff","b1bd6acc-8c76-4942-af46-785686c99004","NIWO.2025.35","NIWO_007.mammalGrid.mam","D13","NIWO","NIWO_007","pathogen","2025-08-26","2025-08-26","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"ad2d9339-45a4-47c1-a834-d9719ae10562","07117578-1963-46b0-b53d-51d10569f607","NIWO.2025.35","NIWO_002.mammalGrid.mam","D13","NIWO","NIWO_002","pathogen","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"cd3738bd-ec4c-470d-bab1-b13a94a00cba","d1f2571b-3e28-4821-b181-cfb323b89a2b","NIWO.2025.35","NIWO_005.mammalGrid.mam","D13","NIWO","NIWO_005","diversity","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"008baaeb-d6e3-4f6e-b9e0-a154fd74ed34","6bb72b97-9297-4d6a-aeac-2a2d28e68be3","NIWO.2025.35","NIWO_001.mammalGrid.mam","D13","NIWO","NIWO_001","diversity","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"6360f239-8bbd-4718-a003-c70787bcb255","03f6d37c-ceb5-4a36-8c92-7f91c47e5947","NIWO.2025.35","NIWO_023.mammalGrid.mam","D13","NIWO","NIWO_023","pathogen","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"695a964c-f137-4712-9c79-2646484f5402","a8f23c73-2296-46b6-94d2-19c7d59a5509","NIWO.2025.35","NIWO_002.mammalGrid.mam","D13","NIWO","NIWO_002","pathogen","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"242ea40c-d350-438c-a96b-0e1e46c05c4d","9c6ad527-dd94-4c16-bc00-6711fdd67cc6","NIWO.2025.35","NIWO_025.mammalGrid.mam","D13","NIWO","NIWO_025","diversity","2025-08-27","2025-08-27","logistical",,"NEON.DOC.000481vQ","Insufficient Resources",
"bc8c040b-97bd-4db0-9bdd-bab70de74d8a","a80b0366-ee17-4db4-869c-60afa84aa28f","NIWO.2025.35","NIWO_007.mammalGrid.mam","D13","NIWO","NIWO_007","pathogen","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b57ec85c-1a84-4b5c-8bbe-a4d51e12e017","43f3ef8d-1e52-4ade-a0cc-9a1508464d59","NIWO.2025.35","NIWO_023.mammalGrid.mam","D13","NIWO","NIWO_023","pathogen","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8f61720d-3bd4-4f18-b9eb-31f11dc0b04a","4ea8ce68-6167-4b7e-b4c5-a1f7955ba0b2","NIWO.2025.35","NIWO_023.mammalGrid.mam","D13","NIWO","NIWO_023","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ff47213f-7f5b-4a07-8712-a55069dc65d5","3115ceb9-284c-402f-a311-7bd520ec82ff","NIWO.2025.35","NIWO_002.mammalGrid.mam","D13","NIWO","NIWO_002","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b91798a6-dbb9-4b67-a8a2-3672ddfd2ea1","addd128b-32e1-4f75-b549-7b6e7e652e87","NIWO.2025.35","NIWO_007.mammalGrid.mam","D13","NIWO","NIWO_007","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
