uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"7a8a7a21-e526-43ff-8d95-cda6e2a536c9","93dc5857-a77b-46c3-996a-5ac101862f98","NOGP.2025.25","NOGP_017.mammalGrid.mam","D09","NOGP","NOGP_017","pathogen","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"81fcae65-997e-4dcf-b9b9-48ae34e052b4","3d29bd84-3bab-452a-9bfc-3e865bcee183","NOGP.2025.25","NOGP_005.mammalGrid.mam","D09","NOGP","NOGP_005","pathogen","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"98899f3f-e904-4e71-a1d1-b1fab1c04626","1ab46a0f-6ccd-4906-8389-968ebf93a5cd","NOGP.2025.25","NOGP_002.mammalGrid.mam","D09","NOGP","NOGP_002","pathogen","2025-06-17","2025-06-17","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"0e0f68bc-1963-4b13-a393-f2be7d0901ee","3798d8c6-a2ba-4e50-9e5f-9257ec8f2b0c","NOGP.2025.25","NOGP_007.mammalGrid.mam","D09","NOGP","NOGP_007","diversity","2025-06-17","2025-06-17","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8f726ba7-0ea5-41cd-8db1-fbf3b8201d14","bfe97d53-aca4-4c19-9f00-5af7c298442d","NOGP.2025.25","NOGP_017.mammalGrid.mam","D09","NOGP","NOGP_017","pathogen","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"37998f36-5991-43a3-9f09-1580d83c05c2","129ac1c9-5b5b-47e5-aba4-da0302df7ebf","NOGP.2025.25","NOGP_009.mammalGrid.mam","D09","NOGP","NOGP_009","diversity","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8a4fd82d-9a89-4ec5-8986-0a49c71f07f7","e2bdbd25-29a0-4e00-9b67-f89cbcabe05c","NOGP.2025.25","NOGP_002.mammalGrid.mam","D09","NOGP","NOGP_002","pathogen","2025-06-18","2025-06-18","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"3f23b92b-14b0-4e8e-a8d0-1d62b130dbe9","a3cc1bc1-ce6f-4c1d-b0a5-7580dd0b0d0f","NOGP.2025.25","NOGP_005.mammalGrid.mam","D09","NOGP","NOGP_005","pathogen","2025-06-18","2025-06-18","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"4a39ac18-8ca1-4ff7-a158-87b0918e1d82","6855418a-d6a3-411f-baa7-4959c772d582","NOGP.2025.25","NOGP_002.mammalGrid.mam","D09","NOGP","NOGP_002","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"fd359308-f9eb-4cc8-8354-cb963bf8feca","7e22e707-c261-4b07-9f89-6d60aa83ccca","NOGP.2025.25","NOGP_014.mammalGrid.mam","D09","NOGP","NOGP_014","diversity","2025-06-19","2025-06-19","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"365dab95-b44c-4f0b-bf3c-66039419567f","d12e0734-3c9c-4f2a-ae28-cdbe9a8894d6","NOGP.2025.25","NOGP_017.mammalGrid.mam","D09","NOGP","NOGP_017","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7cef1ea7-c380-4fd6-ba74-dbe011d7e470","6ee60b4b-3363-4c9d-a756-dee2fef4ec7c","NOGP.2025.25","NOGP_005.mammalGrid.mam","D09","NOGP","NOGP_005","pathogen","2025-06-19","2025-06-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
