uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"c07124d1-cca4-44e3-9d48-5d23c5b5830f","aa1ea27d-f10f-459c-81b1-34df97e843f4","OAES.2025.35","OAES_029.mammalGrid.mam","D11","OAES","OAES_029","diversity","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"76c06a0b-e748-4ed0-9096-1d26b5d99345","0078d74e-4a9f-47fd-8f33-f4ad02b4e190","OAES.2025.35","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","pathogen","2025-08-26","2025-08-26","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"5d7ea969-9121-49d6-897e-1ba95950e482","c90b672c-23f5-417e-b801-705b636eb4d5","OAES.2025.35","OAES_007.mammalGrid.mam","D11","OAES","OAES_007","pathogen","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"e2a4984d-e006-497d-883f-e6907b3fcfa4","ede8228b-14f3-46bc-ab49-f8b34ebec52e","OAES.2025.35","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","pathogen","2025-08-26","2025-08-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ba8c6f64-92e1-439f-b8f6-c476db2aa72e","619a0819-9fce-42c6-8010-33549093d84f","OAES.2025.35","OAES_003.mammalGrid.mam","D11","OAES","OAES_003","diversity","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"cac4dfbd-3d78-4802-8c27-ae4305db70fc","c6027ef2-a47a-4c15-b9c3-8c3e57ee7c9b","OAES.2025.35","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","pathogen","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8fe547fa-9d47-47b8-8b10-9d95084e8ca3","2441b2c4-7a21-4f71-b199-d45e28afd75e","OAES.2025.35","OAES_007.mammalGrid.mam","D11","OAES","OAES_007","pathogen","2025-08-27","2025-08-27","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"b3d497be-d87d-4a56-b6be-cb2da898abe4","35acf8a1-edf3-4b89-87a2-84cbf3b7e48b","OAES.2025.35","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","pathogen","2025-08-27","2025-08-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8cff1e7c-d092-47fe-8062-d6ce25ce4d4e","928c9c73-d369-4325-a4cc-84b51c413046","OAES.2025.35","OAES_001.mammalGrid.mam","D11","OAES","OAES_001","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"95ccc288-d526-4667-b5b6-19436b1cc8d8","844bec49-49bf-4005-8e7e-b47bb12d3920","OAES.2025.35","OAES_002.mammalGrid.mam","D11","OAES","OAES_002","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8dae2eaa-f976-4f5f-b616-8ab00648d0ee","5dc50841-70b5-4936-b2c3-bc491245d8a9","OAES.2025.35","OAES_004.mammalGrid.mam","D11","OAES","OAES_004","diversity","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"b6f0fa65-0251-4765-a4d8-462d6de6a5df","e5c501fb-5cc0-4192-a76c-0bc4a2068036","OAES.2025.35","OAES_007.mammalGrid.mam","D11","OAES","OAES_007","pathogen","2025-08-28","2025-08-28","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
