uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"9f2efec0-253e-4155-b11e-5d5f1a2b0cca","d7b01328-c409-48fe-9d6c-adc2eb915bdc","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","C3","distributed","shrubScrub",40.183889,-112.436683,"WGS84",45.1,1627.6,0.1,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0001-5608-8465",,,,,"bbedf185-3560-4225-bbfa-506221ce024f"
"151a7048-b814-4556-8525-07ae02cfc0db","d7b01328-c409-48fe-9d6c-adc2eb915bdc","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","G3","distributed","shrubScrub",40.183889,-112.436683,"WGS84",45.1,1627.6,0.1,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0001-5608-8465",,,,,"d9ff2a61-de0f-4b3a-b2ec-a629597eef47"
"604fdfa8-fdee-4131-93e0-7401e82527c9","d7b01328-c409-48fe-9d6c-adc2eb915bdc","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","G7","distributed","shrubScrub",40.183889,-112.436683,"WGS84",45.1,1627.6,0.1,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0001-5608-8465",,,,,"ea9721c6-60f9-4917-9ea8-134570b9cce2"
"25beb993-4bd0-4d15-82a6-7baf32e1c026","7fc09416-7c99-4053-b932-8948b5370b63","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","B5","distributed","shrubScrub",40.180753,-112.429727,"WGS84",45.3,1607.9,0.4,"5 - capture","ShermanXLK","2024-04-10","2024-04-10","NEON.MAM.D15.R4921",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","N","processed",,"adult","scrotal",,,,21,,,,18,"N","N","N",,"none","dry ice","ONAQ.20240410.R4921.B","D00000141082","mandibular",,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"b199c023-05d1-4f7a-82a7-8a896550fb0b"
"dab4fb42-260c-49e1-a637-c774d4afce9d","d7b01328-c409-48fe-9d6c-adc2eb915bdc","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","A10","distributed","shrubScrub",40.183889,-112.436683,"WGS84",45.1,1627.6,0.1,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0001-5608-8465",,,,,"147f82d6-a461-41e7-9933-9da16b04e437"
"d4a6025a-3232-4489-ae36-531822b21eee","af3ccf12-68a0-434e-9e41-7eacee20e7b9","ONAQ_003.mammalGrid.mam","D15","ONAQ","ONAQ_003","G1","distributed","shrubScrub",40.206225,-112.428493,"WGS84",45.4,1604.6,0.2,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"692434c4-b890-4d20-a232-ff72f2475bfe"
"886a0869-0735-471f-b76d-33ef149238f6","af3ccf12-68a0-434e-9e41-7eacee20e7b9","ONAQ_003.mammalGrid.mam","D15","ONAQ","ONAQ_003","A2","distributed","shrubScrub",40.206225,-112.428493,"WGS84",45.4,1604.6,0.2,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"f55ccd32-9c07-4a6d-9868-1f5e2f6b0bf9"
"48914cf2-933f-401a-b1cc-af6977873a76","7fc09416-7c99-4053-b932-8948b5370b63","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","I4","distributed","shrubScrub",40.180753,-112.429727,"WGS84",45.3,1607.9,0.4,"5 - capture","ShermanXLK","2024-04-10","2024-04-10","NEON.MAM.D15.R4908",,"DIORDIMI","Dipodomys ordii/microps","speciesGroup",,,,,"N","M","N","processed",,"adult","scrotal",,,,36,12,139,,52,"Y","N","N","1-5","none","dry ice",,,,,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"04f4190e-3825-4ba9-b523-abb3dc4dfa94"
"73204337-5862-4d65-abdd-0171d10e2a52","d7b01328-c409-48fe-9d6c-adc2eb915bdc","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","F8","distributed","shrubScrub",40.183889,-112.436683,"WGS84",45.1,1627.6,0.1,"6 - trap set and empty","ShermanXLK","2024-04-10","2024-04-10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0001-2150-8968","0009-0001-5608-8465",,,,,"9c7681a9-5fb6-4a5d-aa9e-88b252d9287f"
"05b28f95-a208-424d-b2e4-c3f06bed65f8","7fc09416-7c99-4053-b932-8948b5370b63","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","F1","distributed","shrubScrub",40.180753,-112.429727,"WGS84",45.3,1607.9,0.4,"5 - capture","ShermanXLK","2024-04-10","2024-04-10","NEON.MAM.D15.R5642",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","N","processed",,"adult","nonscrotal",,,,20,,,,17,"Y","N","N","6-20","fleas","dry ice","ONAQ.20240410.R5642.B","D00000141110","mandibular",,,,,,,,,,,,"0009-0000-7236-0361","0009-0005-2133-045X",,,,,"f05ced0d-2e13-422d-9e5f-5a3c3d0141ca"
