uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"75aeaeca-f3d2-4415-8580-c4de3f7bbb67","380da147-49b0-4edb-88ca-970f92c1067d","ONAQ.2025.34","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","pathogen","2025-08-19","2025-08-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ada44236-6b5a-40d3-95d2-d96bdb05775a","926cfdd6-3c7b-42e5-9cb7-25a0af2affae","ONAQ.2025.34","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","pathogen","2025-08-19","2025-08-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"f6069d1a-71b0-4ce7-b18e-78ebb32c75ad","ea08ed26-1d13-4140-9630-7e7898d0a0a7","ONAQ.2025.34","ONAQ_003.mammalGrid.mam","D15","ONAQ","ONAQ_003","pathogen","2025-08-19","2025-08-19","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"82f146bd-d004-4c2f-aed2-5d136514ac69","8049e3dc-c8b7-4ddc-a3ad-1c05ae216e25","ONAQ.2025.34","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","pathogen","2025-08-20","2025-08-20","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"0bb71353-d74d-4e56-9d66-f2cab28c0c29","a69776ab-38a7-4516-8de5-363bdb7f5623","ONAQ.2025.34","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","pathogen","2025-08-20","2025-08-20","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"2defc32e-9de9-4905-a0a4-40b80cf7d154","46f94aef-d225-4953-bdad-33457273d635","ONAQ.2025.34","ONAQ_003.mammalGrid.mam","D15","ONAQ","ONAQ_003","pathogen","2025-08-20","2025-08-20","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"7c71c12b-d72a-4da0-bd31-1cf0581e65e9","ee7b5f05-f74f-4b9f-8034-1fd7b37f8a83","ONAQ.2025.34","ONAQ_005.mammalGrid.mam","D15","ONAQ","ONAQ_005","pathogen","2025-08-21","2025-08-21","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"221911f7-61a6-4656-b355-9117a763189f","d48f5b1d-69ae-451e-a40e-cd13524ee316","ONAQ.2025.34","ONAQ_003.mammalGrid.mam","D15","ONAQ","ONAQ_003","pathogen","2025-08-21","2025-08-21","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"8bebe9c5-e00f-45da-bbef-b7b43e012b8b","568abb22-9223-4d5a-b702-f4e78c03f86e","ONAQ.2025.34","ONAQ_020.mammalGrid.mam","D15","ONAQ","ONAQ_020","pathogen","2025-08-21","2025-08-21","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"24ae5a19-165d-4b9c-8349-54c33e741742","3cd39905-0988-49d5-bd9a-6abc5c67a986","ONAQ.2025.34","ONAQ_023.mammalGrid.mam","D15","ONAQ","ONAQ_023","diversity","2025-08-22","2025-08-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"fdf1e7bf-3e1e-4d42-83f0-86378279a71a","8ad3fe2e-824f-43f2-9b14-9597d01cf2f4","ONAQ.2025.34","ONAQ_019.mammalGrid.mam","D15","ONAQ","ONAQ_019","diversity","2025-08-22","2025-08-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"619d53db-f161-452d-afe0-49b9a5c8e346","7f3f5825-d77f-4348-8b6b-21ac0a48c7b6","ONAQ.2025.34","ONAQ_004.mammalGrid.mam","D15","ONAQ","ONAQ_004","diversity","2025-08-22","2025-08-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
