uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"3042d24f-3c84-4d33-8de9-d190ed44deb5","b0dbb830-b55b-4897-8c80-3dd875078846","ORNL.2024.11","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","diversity","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"f0f9efbf-fa64-40e5-a6bd-836d5f243f44","1ca6e1e7-13cb-4ea4-8ea5-b9d7fe536183","ORNL.2024.11","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"ac6a3048-996c-41a4-a416-74ba5a559c2f","45e62532-f86f-478b-8caf-dd3a0184eb49","ORNL.2024.11","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"736eebe1-3347-4229-8511-f9443f17e41f","66ccbb14-37c7-4813-a0d6-b924f8fcd6bd","ORNL.2024.11","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","pathogen","2024-03-12","2024-03-12","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"d8e0ae21-425d-4207-b250-ba486abdd757","ef729af4-1048-47f3-bcbe-bd745ce2aa67","ORNL.2024.11","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"03b80656-9de8-43d0-b2f7-590bd207f6ff","052a9c07-8754-4c9c-bb6f-50360576b943","ORNL.2024.11","ORNL_027.mammalGrid.mam","D07","ORNL","ORNL_027","diversity","2024-03-13","2024-03-13","OK","setting complete, no small mammals captured","NEON.DOC.000481vP",,
"c2664744-25e2-48f1-a32f-b578efb89b57","c1147de8-886c-48b1-8da8-bef9e009f494","ORNL.2024.11","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"25f74c93-4eb5-48e5-8f84-94916c256625","daf2f136-d7e6-4aca-813c-dc8e0e7f6be7","ORNL.2024.11","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","pathogen","2024-03-13","2024-03-13","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6949c5f3-a14f-46d6-b0de-9313183d1677","8aa52cac-85ca-4783-bfcd-873341c95970","ORNL.2024.11","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"22b365ec-6cc3-4b15-9243-cdeaa202e682","9029177d-cec6-4b31-ad42-82fefd877c5a","ORNL.2024.11","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"671c809c-7203-48cd-ac66-dbe9afe0b0a6","90d0694c-8671-4143-bb13-6f993481b3e8","ORNL.2024.11","ORNL_007.mammalGrid.mam","D07","ORNL","ORNL_007","diversity","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"c180ef2d-e016-4faa-8d3e-491e41283794","ea8925b4-cc8a-466d-94bb-e6c1d15989b2","ORNL.2024.11","ORNL_001.mammalGrid.mam","D07","ORNL","ORNL_001","pathogen","2024-03-14","2024-03-14","OK","setting complete, processing complete","NEON.DOC.000481vP",,
