uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"a8bca06e-8a7c-4743-b59f-531a6a6136a4","af662008-5e5b-45d7-b3a4-615d8965449c","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","B4","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"61f527e7-5b6f-47a6-8984-59b5aead0f43"
"b31a32b2-2f1f-4561-97f9-95a6af3c3652","1b06f1b4-1507-462a-9a96-5804b831b150","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","D2","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0003-0276-9550","0009-0005-4939-3073",,,,,"ae16f09d-199b-4ff9-b686-30e4e73ca08c"
"cb3d170f-4df2-42a4-af5a-f7201a1b90c3","a1109ebb-2c45-48e3-817d-8002c37dead4","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","B9","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"03e87e24-e23b-4956-8b84-f7a65dda2a36"
"fac4be13-c428-4310-b1c4-b2e2835d1a3b","a1109ebb-2c45-48e3-817d-8002c37dead4","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","J7","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"3 - trap door open or closed w/ spoor left","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"797cdacd-2a75-411e-957d-cb7b5c870fa2"
"7ac5ebf0-7fe3-4e96-a5d0-4802b5669314","af662008-5e5b-45d7-b3a4-615d8965449c","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","C6","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"5472e691-5d75-4922-a2a3-e50431a27718"
"b0fc1be1-543c-43a6-ba6a-5183ee128c62","1b06f1b4-1507-462a-9a96-5804b831b150","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","I9","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0003-0276-9550","0009-0005-4939-3073",,,,,"b3000975-e1ac-4c96-9690-6b478a205d19"
"b6f4ccd9-2e75-42ee-a11c-212085f97bfc","af662008-5e5b-45d7-b3a4-615d8965449c","ORNL_003.mammalGrid.mam","D07","ORNL","ORNL_003","H6","distributed","deciduousForest",35.965425,-84.229179,"WGS84",45.2,264.5,0.4,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"7fe8d03f-8cd7-47ab-a046-ddb3379ad47d"
"705bba8b-2f4c-44c4-aadd-108306928fb8","1b06f1b4-1507-462a-9a96-5804b831b150","ORNL_039.mammalGrid.mam","D07","ORNL","ORNL_039","I1","distributed","pastureHay",35.934906,-84.246979,"WGS84",45.2,259.6,0.2,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0003-0276-9550","0009-0005-4939-3073",,,,,"b75cb291-b28c-4a13-ad23-6f369c22fa5f"
"e86ce544-885d-4149-a35f-6e37972ffb46","a1109ebb-2c45-48e3-817d-8002c37dead4","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","C4","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"2 - trap disturbed/door closed but empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"did not check","dry ice",,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"799e83b7-7aa7-46c9-90fc-569814fe4996"
"8ea9ec72-264f-4c01-b027-d2b40bf59b82","a1109ebb-2c45-48e3-817d-8002c37dead4","ORNL_002.mammalGrid.mam","D07","ORNL","ORNL_002","I8","distributed","deciduousForest",35.980657,-84.212085,"WGS84",45.3,265.3,0.3,"6 - trap set and empty","ShermanLF","2025-06-17","2025-06-17",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-9358-2315","0009-0005-3367-0910",,,,,"43aa3fc3-334c-420f-a373-3b1591681812"
