uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"77b5f35a-24d3-4bb0-8785-cdd495bfe42f","b03b2f66-1db6-4a2b-a47b-58001ed4efe7","OSBS.2025.43","OSBS_003.mammalGrid.mam","D03","OSBS","OSBS_003","pathogen","2025-10-21","2025-10-21","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"3d0c283c-0648-4ab0-b36e-c31800214e28","a2e96ede-c06b-4395-82d6-45eafbfb8e59","OSBS.2025.43","OSBS_005.mammalGrid.mam","D03","OSBS","OSBS_005","diversity","2025-10-21","2025-10-21","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"a015028e-dd3f-4834-a1fd-c08931243eac","cb667d80-1772-4bfd-a215-a2ac16f4cddc","OSBS.2025.43","OSBS_004.mammalGrid.mam","D03","OSBS","OSBS_004","pathogen","2025-10-21","2025-10-21","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"d4d90f9f-fadc-4839-888c-203686a0d247","2e64ce60-dd4d-49b4-a395-03c84a67f280","OSBS.2025.43","OSBS_077.mammalGrid.mam","D03","OSBS","OSBS_077","pathogen","2025-10-21","2025-10-21","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"a142624c-173b-4dbf-870d-ee348c3c5f65","dcc486d6-2268-43b5-94fd-82a94372244a","OSBS.2025.43","OSBS_063.mammalGrid.mam","D03","OSBS","OSBS_063","diversity","2025-10-22","2025-10-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"672d50e7-187f-46ff-a629-901f1f156b7d","b50c75bc-25e3-4b33-a6bc-22b1bd62554a","OSBS.2025.43","OSBS_077.mammalGrid.mam","D03","OSBS","OSBS_077","pathogen","2025-10-22","2025-10-22","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"833da3b1-600c-4e01-86c3-841cf00cff08","023f3375-3240-47a2-8f81-4d328054fc3e","OSBS.2025.43","OSBS_003.mammalGrid.mam","D03","OSBS","OSBS_003","pathogen","2025-10-22","2025-10-22","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"de3e8ba9-e070-4050-aa39-d52c152915e4","46688bed-3d62-4ffa-b30a-f3e2677a18a7","OSBS.2025.43","OSBS_004.mammalGrid.mam","D03","OSBS","OSBS_004","pathogen","2025-10-22","2025-10-22","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"a2629445-c287-4691-ace5-785fea0a8d01","282aa9b1-ed74-4608-bd87-2b0ad18392d5","OSBS.2025.43","OSBS_004.mammalGrid.mam","D03","OSBS","OSBS_004","pathogen","2025-10-23","2025-10-23","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"9f9cfbcd-f685-4a4b-8e70-97065c925066","bdcbfa29-1ec1-421b-b070-a84858971d1a","OSBS.2025.43","OSBS_002.mammalGrid.mam","D03","OSBS","OSBS_002","diversity","2025-10-23","2025-10-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"4832f937-423b-4152-92a6-5778a920ee62","1f60ccf7-8210-483e-9362-960daa0296aa","OSBS.2025.43","OSBS_003.mammalGrid.mam","D03","OSBS","OSBS_003","pathogen","2025-10-23","2025-10-23","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"0c9fce43-732e-41c0-8e15-02b7c8f5e803","02de748f-5119-45be-b2ee-907c0c74d9ff","OSBS.2025.43","OSBS_077.mammalGrid.mam","D03","OSBS","OSBS_077","pathogen","2025-10-23","2025-10-23","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
