uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"769755dc-f05a-451a-bb3a-838a38db85bb","4fbd8bb6-30cf-4b77-9cdc-1baafba67593","RMNP.2020.42","RMNP_014.mammalGrid.mam","D10","RMNP","RMNP_014","pathogen","2020-10-13","2020-10-13","logistical","NEON.DOC.000481vM","Insufficient Resources",
"5974fc22-7906-45b1-9eed-91b66105a553","758f1023-4942-4498-ae4c-baff3dd45532","RMNP.2020.42","RMNP_003.mammalGrid.mam","D10","RMNP","RMNP_003","pathogen","2020-10-13","2020-10-13","OK","NEON.DOC.000481vM",,
"30b723be-13a9-44b6-82fb-7f5432a22b4e","0fdcbf94-59e9-4f01-81e8-ce8f932ce86f","RMNP.2020.42","RMNP_004.mammalGrid.mam","D10","RMNP","RMNP_004","pathogen","2020-10-13","2020-10-13","OK","NEON.DOC.000481vM",,
"63ea03b8-6229-426c-8a96-59a970d3817b","08a3f111-0a6f-4043-b513-97de31858af2","RMNP.2020.42","RMNP_005.mammalGrid.mam","D10","RMNP","RMNP_005","diversity","2020-10-13","2020-10-13","logistical","NEON.DOC.000481vM","Insufficient Resources",
"e82e2746-feec-4bc1-909b-7a31ce43d0ee","e5e551fa-489c-4726-ae9c-4b47dfdf94d6","RMNP.2020.42","RMNP_014.mammalGrid.mam","D10","RMNP","RMNP_014","pathogen","2020-10-14","2020-10-14","OK","NEON.DOC.000481vM",,
"c8c0c239-3e52-4ccb-98f0-872487797075","0af1be28-2549-41d5-82a5-716c394c9949","RMNP.2020.42","RMNP_004.mammalGrid.mam","D10","RMNP","RMNP_004","pathogen","2020-10-14","2020-10-14","OK","NEON.DOC.000481vM",,
"9991bca8-250b-4523-a09f-b45b99689143","b18cc296-6aaf-4f72-b36d-4f17164aba15","RMNP.2020.42","RMNP_003.mammalGrid.mam","D10","RMNP","RMNP_003","pathogen","2020-10-14","2020-10-14","logistical","NEON.DOC.000481vM","Insufficient Resources",
"09ff9079-a775-44c0-8756-96ca42e7eb12","f1826dc8-6c03-401f-85d6-c7632e14ee9f","RMNP.2020.42","RMNP_009.mammalGrid.mam","D10","RMNP","RMNP_009","diversity","2020-10-14","2020-10-14","logistical","NEON.DOC.000481vM","Insufficient Resources",
"55424728-1d43-4a39-aa84-a4fea44c69b8","e7e57054-a0cf-40dd-ac23-77dba0041dbe","RMNP.2020.42","RMNP_003.mammalGrid.mam","D10","RMNP","RMNP_003","pathogen","2020-10-15","2020-10-15","OK","NEON.DOC.000481vM",,
"4b2c97a7-ce5d-462e-b075-0d84a92ca8e3","5371a9cf-21fe-41a8-9033-58ec9848d135","RMNP.2020.42","RMNP_013.mammalGrid.mam","D10","RMNP","RMNP_013","diversity","2020-10-15","2020-10-15","logistical","NEON.DOC.000481vM","Insufficient Resources",
"ff2e6b2f-0e97-4233-9288-986d49a9fa5a","bd3f32f2-1417-4744-98c9-5d09ab56068b","RMNP.2020.42","RMNP_004.mammalGrid.mam","D10","RMNP","RMNP_004","pathogen","2020-10-15","2020-10-15","logistical","NEON.DOC.000481vM","Insufficient Resources",
"fc0b285e-4bda-4295-a0f3-326e314fd419","cbf01f13-ef32-410a-b10c-0c9740a9f1d2","RMNP.2020.42","RMNP_014.mammalGrid.mam","D10","RMNP","RMNP_014","pathogen","2020-10-15","2020-10-15","OK","NEON.DOC.000481vM",,
