uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"72977ca0-2063-4793-90cf-e864918b81dc","a51e910c-6c65-4887-bc18-fefbe0d1bf91","SCBI.2024.18","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","pathogen","2024-05-01","2024-05-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"2fc19a7e-b549-4301-9233-3aed13a9cee3","04b5cd90-0909-4e07-8d48-bdbbee5d5f6c","SCBI.2024.18","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","pathogen","2024-05-01","2024-05-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1642e592-881a-4e93-bde1-114613ed1b1f","c2998f9b-ef65-44ac-a715-c06f77ddc041","SCBI.2024.18","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","pathogen","2024-05-02","2024-05-02","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"3f198f1c-9588-4604-8192-c82bec1d4024","55ca9ff1-cd27-4975-86f4-a11e6b94d64c","SCBI.2024.18","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","pathogen","2024-05-02","2024-05-02","disturbance",,"NEON.DOC.000481vP",,
"67a0ed23-af74-425a-b317-7f1d45647588","a3f14c33-b094-4d26-9b9a-75d705573a82","SCBI.2024.18","SCBI_004.mammalGrid.mam","D02","SCBI","SCBI_004","diversity","2024-05-07","2024-05-07","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"d0f9e5ba-46c5-4ee6-956a-926f02ef09ac","46e6003f-a83d-49e8-ad8f-5b432321ba62","SCBI.2024.18","SCBI_035.mammalGrid.mam","D02","SCBI","SCBI_035","pathogen","2024-05-07","2024-05-07","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"501a5558-99d2-4efb-96f6-e65f1809a32d","c15032ee-db15-4ef0-9971-bce001836f1a","SCBI.2024.18","SCBI_003.mammalGrid.mam","D02","SCBI","SCBI_003","diversity","2024-05-08","2024-05-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"b477abb6-28f1-49b1-9ec1-5e8477bd356d","55b48a60-c4b8-440d-9799-d40746ebb697","SCBI.2024.18","SCBI_035.mammalGrid.mam","D02","SCBI","SCBI_035","pathogen","2024-05-08","2024-05-08","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6cc8a312-edbe-4011-a180-0e102fddc703","c46aaa96-86e5-4df8-b1f1-2d45a2a5a08e","SCBI.2024.18","SCBI_035.mammalGrid.mam","D02","SCBI","SCBI_035","pathogen","2024-05-09","2024-05-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"ea6951e7-0d16-4110-a462-5d168bf00432","84e13449-433a-4a04-b3c5-37d164ea2ca7","SCBI.2024.18","SCBI_016.mammalGrid.mam","D02","SCBI","SCBI_016","diversity","2024-05-09","2024-05-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
