uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"3573dfba-496b-404d-94ac-aae3f1ee48d0","1b0ffbc0-f0c4-439a-b950-7851053e751f","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","F8","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"d8bd9317-7281-4bb6-af46-65cccb5adb66"
"8053118c-8ba3-4c0d-8228-22e7f6035128","1b0ffbc0-f0c4-439a-b950-7851053e751f","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","B8","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"249c5af0-e386-41ab-b167-6d3683cc1ad9"
"9c8182a7-f90e-4c58-8e6b-10bfc67f3fb3","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","A2","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"04e0d1bd-dd95-42c4-9006-babe8a133a6b"
"6c57ee2f-e3c3-4997-9c1d-18f2a153e64d","1b0ffbc0-f0c4-439a-b950-7851053e751f","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","B5","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"963aff0c-d73e-4cbb-b616-73362bfeb157"
"2be633e3-9753-473b-970b-f02a5e39a7a2","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","E1","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"1fc1beb3-911c-4ddd-b41f-6b630289a321"
"fe2d2cd7-d985-480f-98ee-13190c36b5cb","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","I10","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"26a04466-67d1-41da-b3e4-2231d60aee58"
"5dcb7209-a665-407b-86b5-53cdcfff84f1","1b0ffbc0-f0c4-439a-b950-7851053e751f","SCBI_008.mammalGrid.mam","D02","SCBI","SCBI_008","A2","distributed","deciduousForest",38.886446,-78.146422,"WGS84",45.2,361.8,0.2,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"73dc4143-69cf-480e-b66f-fbc994612e05"
"8fa3a26a-2fb5-4020-a90e-eb85058997a9","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","B5","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"c7e2ec44-9c22-4452-9323-e8221d9ab2bd"
"be2da651-785b-4f99-84b0-579bfb03fe73","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","C6","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"d071faee-5a2e-454e-87d2-4a98e1871293"
"2cf4385e-38d8-4124-b770-647c17f66e31","86ece36a-c5f7-4288-afaf-bcec58882c33","SCBI_002.mammalGrid.mam","D02","SCBI","SCBI_002","E6","distributed","deciduousForest",38.896699,-78.142137,"WGS84",45.2,353.3,0.3,"6 - trap set and empty","ShermanLF","2025-09-16","2025-09-16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0001-8112-7529","0009-0007-5948-2613",,,,,"6e1e3bfb-2c15-4bcd-80e8-c94533c92946"
