uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"7e6ce271-32bb-4081-a1e8-29d32025f747","173a579f-4041-4b39-a96d-929ac569bcdf","SERC.2022.27","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","pathogen","2022-07-06","2022-07-06","OK","NEON.DOC.000481vN",,
"3cb809e0-77ab-4a83-88b2-9aade613dc01","db4c5bc3-4af0-41e6-b0a9-1381c981db20","SERC.2022.27","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","pathogen","2022-07-06","2022-07-06","OK","NEON.DOC.000481vN",,
"c3e4c28c-78fa-4383-972a-64dad95574a8","5d156d2e-4a01-4f52-b5cb-e153344720ca","SERC.2022.27","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","pathogen","2022-07-06","2022-07-06","logistical","NEON.DOC.000481vN","setting canceled due to storms",
"61243311-7e68-4795-9a75-a81ef4152efc","78b3de17-dbc1-4334-b734-0aac4ef9af68","SERC.2022.27","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","pathogen","2022-07-07","2022-07-07","OK","NEON.DOC.000481vN",,
"bbe2887a-6e91-4a56-bad5-9d3505ba2c80","6b85da65-e19a-49b4-bc7a-5ce189de8181","SERC.2022.27","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","pathogen","2022-07-07","2022-07-07","OK","NEON.DOC.000481vN",,
"3c0e5130-0283-450a-80e6-c01aa5424cde","3d43ad0b-fd32-4544-929d-eb9aa1bde1cd","SERC.2022.27","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","pathogen","2022-07-07","2022-07-07","OK","NEON.DOC.000481vN",,
"03d2f661-0045-4462-9b51-a48c5fe2658d","d8c5f672-d187-4fcd-a7a0-ff9fe77cbe09","SERC.2022.27","SERC_011.mammalGrid.mam","D02","SERC","SERC_011","pathogen","2022-07-08","2022-07-08","OK","NEON.DOC.000481vN",,
"9562428c-1813-4b71-aeab-ea2669c6e8f8","961dee44-92ad-4f74-b2df-3e1b802d754e","SERC.2022.27","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","pathogen","2022-07-08","2022-07-08","OK","NEON.DOC.000481vN",,
"e31f63ce-a498-49b3-81f8-ae3ea96df797","49e0b590-5a30-4056-bb94-272bca9dcbce","SERC.2022.27","SERC_014.mammalGrid.mam","D02","SERC","SERC_014","diversity","2022-07-08","2022-07-08","logistical","NEON.DOC.000481vN",,
"55ec9062-7bb6-48df-99a4-eca5504be3ec","cd84b759-85bc-4d80-ad3c-680390302973","SERC.2022.27","SERC_032.mammalGrid.mam","D02","SERC","SERC_032","diversity","2022-07-08","2022-07-08","logistical","NEON.DOC.000481vN",,
"d0977706-0bdf-433b-99e1-03694bdc0bcf","f012c4df-290d-4f7f-b7ab-c694349232c3","SERC.2022.27","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","pathogen","2022-07-08","2022-07-08","OK","NEON.DOC.000481vN","potential human interference INC0056777",
"c7656c1d-502e-4be9-b4ad-39898e948980","5fa1ee0e-88c0-4b37-a75b-90f7743a7b07","SERC.2022.27","SERC_008.mammalGrid.mam","D02","SERC","SERC_008","diversity","2022-07-08","2022-07-08","logistical","NEON.DOC.000481vN",,
"e3112795-c837-47f9-9481-c13338eb8699","41bee2a2-76c7-4228-ab4d-a1df5dd35187","SERC.2022.27","SERC_016.mammalGrid.mam","D02","SERC","SERC_016","diversity","2022-07-08","2022-07-08","logistical","NEON.DOC.000481vN",,
"36bab9d6-c44f-4e0a-bc0f-23c754e77d4e","b67bae71-2dc5-4f01-abd6-fbf9d61d2c7b","SERC.2022.27","SERC_007.mammalGrid.mam","D02","SERC","SERC_007","diversity","2022-07-08","2022-07-08","logistical","NEON.DOC.000481vN",,
