uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"3dae8133-d65a-4529-9d27-466a37ae9627","cfc92b9a-b458-4114-93df-a641e12a0bce","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","A3","distributed","deciduousForest",38.902962,-76.539041,"WGS84",45.3,14.4,0.3,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"28f94f8e-9ef3-4978-aa71-9efac8af8397"
"93b3b662-4b6e-4395-af14-cc8db99fdd28","f4706eed-e04f-48bf-b369-61e11b33fa90","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","F2","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"81b69b1c-3b60-4fa6-addc-3212d76f9379"
"440a1660-2553-4f3a-9cef-5d2c5ecc55a7","f4706eed-e04f-48bf-b369-61e11b33fa90","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","C3","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"e518c054-aa72-4517-addb-91d5d6ebf47d"
"89372c6c-75bd-473d-8d86-4fa5e768ef2c","f4706eed-e04f-48bf-b369-61e11b33fa90","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","F3","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"98084a76-0743-42c4-bbf6-8c6ff666610a"
"24538466-db8d-4e06-9589-ceb0d4f2dfe3","f4706eed-e04f-48bf-b369-61e11b33fa90","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","B4","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"c3640de8-18e6-48b4-8583-8f64597644e6"
"8e168a71-ee9f-4ed6-b61d-4d2752964ec1","cfc92b9a-b458-4114-93df-a641e12a0bce","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","E4","distributed","deciduousForest",38.902962,-76.539041,"WGS84",45.3,14.4,0.3,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"c8027fc2-a310-4d5e-a5a9-cfcc85dc4e3f"
"f7eb7c75-e08b-4780-9024-be28a89974f5","cfc92b9a-b458-4114-93df-a641e12a0bce","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","F8","distributed","deciduousForest",38.902962,-76.539041,"WGS84",45.3,14.4,0.3,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"abc67805-99ea-4d16-bb48-f90aebbbf85b"
"36891ea0-9d88-44d5-9c98-8f73b9291440","cfc92b9a-b458-4114-93df-a641e12a0bce","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","C9","distributed","deciduousForest",38.902962,-76.539041,"WGS84",45.3,14.4,0.3,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"61d4e5b5-b6ad-4e2d-be5f-898ffbc96526"
"a0880fea-a168-4bad-8322-d9eaa749082e","f4706eed-e04f-48bf-b369-61e11b33fa90","SERC_015.mammalGrid.mam","D02","SERC","SERC_015","C1","distributed","deciduousForest",38.899571,-76.557256,"WGS84",45.2,28.2,0.4,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"ca88a9c1-0324-42ee-9c01-9a234a5e8cf1"
"9714a365-7abc-440c-b2fd-02eae28ebf9f","cfc92b9a-b458-4114-93df-a641e12a0bce","SERC_031.mammalGrid.mam","D02","SERC","SERC_031","F10","distributed","deciduousForest",38.902962,-76.539041,"WGS84",45.3,14.4,0.3,"6 - trap set and empty","ShermanLF","2025-05-01","2025-05-01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0003-1264-0403","0009-0001-2282-476X",,,,,"46f881b0-7429-4bbc-a577-2d7ea6c28a94"
