uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"513dce37-89db-4f80-b586-b6a64dbef6de","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER.2024.02","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","pathogen","2024-01-09","2024-01-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"22836b57-698a-4d88-851c-66a511b52418","d9f852ef-8a4c-40cd-99a7-df0d6ce41b6b","SJER.2024.02","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","pathogen","2024-01-09","2024-01-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"6439486a-8bae-4e91-8e40-165d68cb9370","dc09c229-7055-411c-a15e-3873b8d83358","SJER.2024.02","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","pathogen","2024-01-09","2024-01-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"e627c382-32bc-463a-844b-b44a8be13ea4","3ab0dfe3-242f-4162-81fc-408651285e9c","SJER.2024.02","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","diversity","2024-01-09","2024-01-09","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"24234d7d-a389-4402-b593-875d1b55438a","f7a7533f-7724-425b-a9a4-c43f776221aa","SJER.2024.02","SJER_002.mammalGrid.mam","D17","SJER","SJER_002","diversity","2024-01-10","2024-01-10","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"1bc7466d-4262-489b-9aff-b35b073b2137","4712c9a5-3d3f-4da9-b527-b4021fbdd00a","SJER.2024.02","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","pathogen","2024-01-10","2024-01-10","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"ff1c0634-d24e-4a9e-99eb-544d2bdbc6ef","838c1e8b-2350-4c4f-b97e-db4cd9fe6794","SJER.2024.02","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","pathogen","2024-01-10","2024-01-10","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"f8ba7a51-e95e-4be1-98b3-d7b52c1c21be","38f8ea79-e837-4410-ae93-40dc59ae0505","SJER.2024.02","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","pathogen","2024-01-10","2024-01-10","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"0896da21-0d04-493d-85c1-52741a50b09b","73c769d6-5dd3-433b-885a-4a162d89805b","SJER.2024.02","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","pathogen","2024-01-11","2024-01-11","temperature low",,"NEON.DOC.000481vP",,
"282959da-ffe8-4ac4-9f87-e85d8afe9ea0","232dd489-43b6-4543-9c7c-6f162d8857e4","SJER.2024.02","SJER_010.mammalGrid.mam","D17","SJER","SJER_010","diversity","2024-01-11","2024-01-11","temperature low",,"NEON.DOC.000481vP",,
"1dd576bb-8881-469e-ba95-07849a6d3477","f9988b2f-a269-4742-8425-fd410f081030","SJER.2024.02","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","pathogen","2024-01-11","2024-01-11","temperature low",,"NEON.DOC.000481vP","sampling was not conducted due to temperature being below protocol threshold",
"05da1ae3-7588-48e3-93f0-c00cb6819667","710bd58f-6086-4be3-83a5-f2b56396c634","SJER.2024.02","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","pathogen","2024-01-11","2024-01-11","temperature low",,"NEON.DOC.000481vP",,
