uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"ad64b3f3-61dd-4153-8a5e-1c23fe567c20","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","B9","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"5 - capture","ShermanXLK","2024-01-09","2024-01-09","NEON.MAM.D17.L3432",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","U","processed",,"adult","nonscrotal",,,,,,,,18,"U","U","U",,"did not check","dry ice","SJER.20240109.L3432.B","D00000172696","mandibular",,,,,,,"SJER.20240109.L3432.H","A00000395345","hairAndWhisker",,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"788280a5-1c51-49ed-93ba-e255b80dd2f4"
"94b71426-ce66-497f-b0ef-d4ecfe3596eb","3ab0dfe3-242f-4162-81fc-408651285e9c","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","J6","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"256b6023-15ad-44fe-ad03-ab838cbd17d8"
"d30f71db-23dd-4af0-8631-10b9d38c9471","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","J10","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"5 - capture","ShermanXLK","2024-01-09","2024-01-09","NEON.MAM.D17.R3710",,"PEBO","Peromyscus boylii","species",,,,,"N","F","Y","processed",,"adult",,"nonenlarged","not","neither",,,,,22,"U","U","U",,"did not check","dry ice","SJER.20240109.R3710.B","D00000172681","mandibular",,,,,,,"SJER.20240109.R3710.H","A00000297330","hairAndWhisker",,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"6aa8cf4a-29f5-4a58-b563-2915ac46535d"
"7bd508ec-1616-4194-abd8-eafe03278ec3","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","A9","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"c096e3f0-0683-44f7-b2a2-95654009cc1d"
"b896e697-92ed-4242-b4d6-94de5ba623ed","dc09c229-7055-411c-a15e-3873b8d83358","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","I10","distributed","grasslandHerbaceous",37.081572,-119.715119,"WGS84",45.1,324.2,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0009-0004-9671-061X",,,,,"4ddf80f6-6ca0-443f-ba69-eaf9ca61ef90"
"af5caf1c-55bc-472f-9f80-57b775364599","dc09c229-7055-411c-a15e-3873b8d83358","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","J8","distributed","grasslandHerbaceous",37.081572,-119.715119,"WGS84",45.1,324.2,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0009-0004-9671-061X",,,,,"3f4d57c4-a7c4-4f83-8b93-798c2511402e"
"97daa054-51c5-4b74-865d-3c7ba3f93a12","d9f852ef-8a4c-40cd-99a7-df0d6ce41b6b","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","B8","distributed","grasslandHerbaceous",37.092605,-119.744726,"WGS84",45.1,344.8,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0000-0002-5484-7763",,,,,"71d1a1aa-a731-41e2-81a2-c7c35b8f8bf4"
"beea8db7-7eda-4062-9f32-db049873f879","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","I8","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"d97c2658-f599-4157-9934-655232c3906b"
"eace41a5-cd4b-4543-b95c-0862e4bb2785","dc09c229-7055-411c-a15e-3873b8d83358","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","H7","distributed","grasslandHerbaceous",37.081572,-119.715119,"WGS84",45.1,324.2,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0009-0004-9671-061X",,,,,"05555355-31b5-4856-abd5-f12a07511da0"
"127de1c2-84c6-42c1-9170-e9310f5374fa","d9f852ef-8a4c-40cd-99a7-df0d6ce41b6b","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","B3","distributed","grasslandHerbaceous",37.092605,-119.744726,"WGS84",45.1,344.8,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0000-0002-5484-7763",,,,,"b28c26fb-af7b-4523-8b3a-3a63d6bed2f4"
"de4d397a-b4bf-44f5-bce1-cb3c1c186968","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","E3","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"0a9758b5-b6a1-4e63-a08e-57dba8c10566"
"26741ec1-31ed-4c8f-b83d-798ca68e2854","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","F9","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"e2550559-30e4-451d-b6b0-011b77390106"
"1d37cb84-969a-47e8-9425-f7e01e9abea3","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","H3","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"6e062970-4b37-4079-a658-df62f3c30deb"
"e41b5311-a695-4391-b09e-02edcbb9379f","3ab0dfe3-242f-4162-81fc-408651285e9c","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","E4","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"05304a7d-6d7b-4b11-adf2-183d1e899774"
"53fcec92-2d71-4dda-bb18-829e44266b38","d9f852ef-8a4c-40cd-99a7-df0d6ce41b6b","SJER_032.mammalGrid.mam","D17","SJER","SJER_032","H4","distributed","grasslandHerbaceous",37.092605,-119.744726,"WGS84",45.1,344.8,0.1,"5 - capture","ShermanXLK","2024-01-09","2024-01-09","NEON.MAM.D17.R3838",,"REME","Reithrodontomys megalotis","species",,,,,"N","M","N","processed",,"subadult","nonscrotal",,,,16,12,69,,9,"N","N","N",,"did not check","dry ice",,,,,"SJER.20240109.R3838.F","D00000172840","ok","SJER.20240109.R3838.E","D00000173002","SJER.20240109.R3838.H","A00000395391","hairAndWhisker",,,"0009-0004-9671-061X","0000-0002-5484-7763",,,,,"54891273-ef25-4870-b3ca-78a1128af303"
"195b1aa5-e63d-47c8-868b-28a016aa217a","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","J7","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"5 - capture","ShermanXLK","2024-01-09","2024-01-09","NEON.MAM.D17.R3804",,"PEMA","Peromyscus maniculatus","species",,,,,"N","M","Y","processed",,"adult","nonscrotal",,,,,,,,14,"U","U","U",,"fleas","dry ice","SJER.20240109.R3804.B","D00000172679","mandibular - QNS",,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"2b2fc6f9-f99b-4924-bd34-7ffe7e36cd62"
"5a594366-5633-4916-bb9f-7c56ca96c514","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","G7","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"c997745d-401e-464b-b81b-ea425f60ad08"
"1edd620d-7835-4216-9f00-9a443bdf7612","2a2425b7-9327-428a-a6de-e1004984e5f4","SJER_006.mammalGrid.mam","D17","SJER","SJER_006","D9","distributed","grasslandHerbaceous",37.101706,-119.749027,"WGS84",45.1,386.6,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"edd67783-b5a3-40a8-892d-31b4ee62796f"
"d8969b7c-0b7b-4c35-b666-c9f7bbbc24b5","dc09c229-7055-411c-a15e-3873b8d83358","SJER_033.mammalGrid.mam","D17","SJER","SJER_033","I5","distributed","grasslandHerbaceous",37.081572,-119.715119,"WGS84",45.1,324.2,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0009-0004-9671-061X","0009-0004-9671-061X",,,,,"42deeb66-64fb-4eba-bf5c-fbbe3bfd8e6a"
"792fa9b5-8709-4cee-8d47-7cb37e7d9cfb","3ab0dfe3-242f-4162-81fc-408651285e9c","SJER_007.mammalGrid.mam","D17","SJER","SJER_007","F5","distributed","grasslandHerbaceous",37.114814,-119.752042,"WGS84",45.1,430.7,0.1,"6 - trap set and empty","ShermanXLK","2024-01-09","2024-01-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0000-0002-4748-8985","0009-0003-3924-4395",,,,,"c0b858eb-3eba-48b9-a3ae-19c68b646066"
