uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"178af2be-7fd2-430f-84f4-d94c903d1773","21c4ac19-ec67-43aa-80c6-5aa5b47aa755","SOAP.2021.41","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2021-10-12","2021-10-12","OK","NEON.DOC.000481vM",,
"1e1c0a2e-c63d-4e68-8791-a380668bd491","4d5d9dec-fb63-43c1-b84a-595824992146","SOAP.2021.41","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2021-10-12","2021-10-12","other","NEON.DOC.000481vM","not set due to heavy disturbance in Creek fire",
"cccc858a-27b7-47eb-bcaf-dbd4d903a818","76fd0a44-96eb-46ff-ae56-9e220a36e753","SOAP.2021.41","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2021-10-12","2021-10-12","other","NEON.DOC.000481vM","not set due to heavy disturbance from creek fire",
"146e9cd9-b346-4391-89a0-e58a9e0102af","3e40e9d4-30ee-47f3-9d02-869ac16b714e","SOAP.2021.41","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2021-10-13","2021-10-13","other","NEON.DOC.000481vM","not set due to heavy disturbance in creek fire",
"e3dcc7b5-8ec1-46df-af2c-c77a2628ac7e","805fda4e-b751-417e-8035-2e3bb01ef425","SOAP.2021.41","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2021-10-13","2021-10-13","other","NEON.DOC.000481vM","not set due to heavy disturbance from creek fire",
"3fe6ce18-892f-4740-8271-9dfb8cc837cf","dbc7393b-241c-4f01-a399-c548662cb59f","SOAP.2021.41","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2021-10-13","2021-10-13","OK","NEON.DOC.000481vM",,
"8cf56805-dafc-490c-91cb-ddedf5873638","f8605ccd-35bb-459a-8be2-0f1b3c5ed05f","SOAP.2021.41","SOAP_012.mammalGrid.mam","D17","SOAP","SOAP_012","diversity","2021-10-13","2021-10-13","OK","NEON.DOC.000481vM",,
"704b765c-f698-4bf4-94ea-d67229326e97","7f1ffd89-1244-44c2-ae10-dc9828a3d3f1","SOAP.2021.41","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2021-10-14","2021-10-14","OK","NEON.DOC.000481vM",,
"0b04d793-6751-440a-ba7a-e4dd0f7f672d","e8cfd6d9-203c-419e-ae68-afd6e4fa83c1","SOAP.2021.41","SOAP_027.mammalGrid.mam","D17","SOAP","SOAP_027","diversity","2021-10-14","2021-10-14","OK","NEON.DOC.000481vM",,
"09214bfd-4efc-473d-b6e3-18f82f5025ef","eb59158d-4b2d-4c9b-b921-e8fb45fca106","SOAP.2021.41","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2021-10-14","2021-10-14","other","NEON.DOC.000481vM","not set due to heavy disturbance from creek fire",
"4a8bec94-e1c1-4a25-8d9c-5f3f00b373bb","4988f214-e7dd-4073-9d73-899acc1b6447","SOAP.2021.41","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2021-10-14","2021-10-14","other","NEON.DOC.000481vM","not set due to heavy disturbance from Creek fire",
