uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"9c7be73d-305a-4166-9315-f77cf43f59fc","27ce85c0-1f48-4180-94bd-4d64451ee318","SOAP.2024.40","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2024-10-01","2024-10-01","logistical",,"NEON.DOC.000481vP","Access road to plot closed. Plot could not be set this bout",
"35a68c6e-5b01-4395-9d07-242591a04942","c9daa09a-679f-4555-b7e2-6552a476c065","SOAP.2024.40","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2024-10-01","2024-10-01","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"ec93675d-e466-4142-9361-46fda2bff3d3","a9d8f1ca-1163-4241-b75f-d2f60730de13","SOAP.2024.40","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2024-10-01","2024-10-01","OK","setting complete, processing complete","NEON.DOC.000481vP","A and B lines not set due to large downed tree",
"0d019117-99da-4c23-8c11-6f3720d59be7","438f16f4-b9ae-45da-877f-f756e51d08a9","SOAP.2024.40","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2024-10-02","2024-10-02","logistical",,"NEON.DOC.000481vP","Access road to plot closed. Plot could not be set this bout",
"3628b480-3e89-4ab4-822b-0e03ccecd234","28bfd664-4661-4f27-8c59-e3f3bfbb3ef9","SOAP.2024.40","SOAP_012.mammalGrid.mam","D17","SOAP","SOAP_012","diversity","2024-10-02","2024-10-02","OK","setting complete, no small mammals captured","NEON.DOC.000481vP","No captures",
"3cbc28e9-1cf7-4f79-892d-2000e3417093","fd1c9ec6-a616-49e9-9445-f01f7753b6d2","SOAP.2024.40","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2024-10-02","2024-10-02","OK","setting complete, processing complete","NEON.DOC.000481vP",,
"59b9b8ed-176d-489e-a374-c6e157fb68e1","7e075989-337b-44b2-b692-9434e3e90ce5","SOAP.2024.40","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2024-10-02","2024-10-02","OK","setting complete, processing complete","NEON.DOC.000481vP","Rows and b not set due to large downed tree",
"d75e4436-c4e6-43a1-9ada-6e1f9b981e92","30623efe-4c63-4e82-a68c-0a88a9074610","SOAP.2024.40","SOAP_002.mammalGrid.mam","D17","SOAP","SOAP_002","pathogen","2024-10-03","2024-10-03","logistical",,"NEON.DOC.000481vP","Access road to plot closed. Plot could not be set this bout",
"e45d0288-a8db-4846-b171-f1f2d1b99b69","5b34dfca-c334-4dae-bef0-4fd975c6b7a3","SOAP.2024.40","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","pathogen","2024-10-03","2024-10-03","OK","setting complete, processing complete","NEON.DOC.000481vP","A and B lines not set due to large downed tree",
"008b76ea-5294-44c1-b127-ac9532f1a4c7","d0853e6b-179c-487c-bb93-d53e6acc2894","SOAP.2024.40","SOAP_027.mammalGrid.mam","D17","SOAP","SOAP_027","diversity","2024-10-03","2024-10-03","temperature high",,"NEON.DOC.000481vP","Temperatures too high to safely sample all grids",
"c9b0567a-9fd4-431b-90af-448abcf93de1","c74783ee-0da6-489d-b143-75b161c9b2d3","SOAP.2024.40","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","pathogen","2024-10-03","2024-10-03","OK","setting complete, processing complete","NEON.DOC.000481vP",,
