uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"921173e4-2865-45d5-8d20-dbdca9c3c425","e1c3d69e-1c3f-4ccd-9058-75a4fa8d71bf","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","B1","distributed","evergreenForest",37.026360,-119.282201,"WGS84",45.7,1312.4,1.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"60894af8-3936-462c-afd3-4f71faa8459c"
"419a0e46-404e-49dd-b9ce-a6711744fb3e","e1c3d69e-1c3f-4ccd-9058-75a4fa8d71bf","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","D10","distributed","evergreenForest",37.026360,-119.282201,"WGS84",45.7,1312.4,1.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5b1e5b57-bf6c-4631-a8ae-020d69c84417"
"89fde8e6-2e05-432c-897a-4ee17c89dfd4","d7bb5339-e789-46e6-9eca-d09c64405bdd","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","J9","distributed","evergreenForest",37.035170,-119.249789,"WGS84",45.1,1106.1,0.1,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24f92d96-ffda-4cb1-ada2-296fc09de439"
"369886df-b669-4e90-9fff-ea7ab18c280c","e1c3d69e-1c3f-4ccd-9058-75a4fa8d71bf","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","F5","distributed","evergreenForest",37.026360,-119.282201,"WGS84",45.7,1312.4,1.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0a654a69-8dea-4494-a87c-5008d523b147"
"76edc3fe-71ce-48b8-84c5-1c92cc292bc8","9b2aa6de-95ab-4dde-a600-0b7c578585b4","SOAP_016.mammalGrid.mam","D17","SOAP","SOAP_016","F1","distributed","evergreenForest",37.029744,-119.253504,"WGS84",45.4,1164.8,0.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e6b1fd0b-5f76-4bb8-b2e5-5427b6ba115a"
"e704e661-e5c8-483d-9f26-d85efbfafae0","d7bb5339-e789-46e6-9eca-d09c64405bdd","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","E1","distributed","evergreenForest",37.035170,-119.249789,"WGS84",45.1,1106.1,0.1,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"37a2e70d-da8e-465e-b50b-127e248c2f98"
"9ff75bfa-12b8-469c-b9ef-95a35c1d869e","e1c3d69e-1c3f-4ccd-9058-75a4fa8d71bf","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","I4","distributed","evergreenForest",37.026360,-119.282201,"WGS84",45.7,1312.4,1.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e2f3a203-359c-4608-ad5b-07b69d4b2e79"
"794d0fe5-0728-4876-9fdd-d8c3a291a0e1","e1c3d69e-1c3f-4ccd-9058-75a4fa8d71bf","SOAP_006.mammalGrid.mam","D17","SOAP","SOAP_006","H2","distributed","evergreenForest",37.026360,-119.282201,"WGS84",45.7,1312.4,1.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a6ab9e3b-b708-447c-8463-6c97fb5c364b"
"bff27602-b574-4806-9129-3d25fe19b82e","d7bb5339-e789-46e6-9eca-d09c64405bdd","SOAP_003.mammalGrid.mam","D17","SOAP","SOAP_003","J1","distributed","evergreenForest",37.035170,-119.249789,"WGS84",45.1,1106.1,0.1,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"c8ce1cc7-d9fe-4e47-b1d4-572c229bf0ec"
"3f2145d5-a788-47c6-bcad-23e0c471c5e8","9b2aa6de-95ab-4dde-a600-0b7c578585b4","SOAP_016.mammalGrid.mam","D17","SOAP","SOAP_016","F3","distributed","evergreenForest",37.029744,-119.253504,"WGS84",45.4,1164.8,0.5,"1 - trap not set","ShermanLF","2025-09-09","2025-09-09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"756c08d3-6ad6-4bbb-8e4d-06bac2518496"
