uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"44ca60b3-1af9-4868-8b2f-a53c787206c1","62707124-ada6-4510-9b5d-e4855c5421c9","SRER.2018.12","SRER_014.mammalGrid.mam","D14","SRER","SRER_014","diversity","2018-03-21","2018-03-21",,"NEON.DOC.000481vK",,
"a9052d66-ca66-4813-b82f-d3aa34b4b540","64685b1e-d738-4f17-9f8e-8f1fd803edc4","SRER.2018.12","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","pathogen","2018-03-21","2018-03-21",,"NEON.DOC.000481vK","Lines F and E were disturbed by some sort of animal and contained several traps that he been knocked over. line D had several traps set with the back door jammed open.",
"00370694-78c1-4548-88f8-f69c66f470ff","49aebf41-ea11-41e2-82d0-a8c8de19165b","SRER.2018.12","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","pathogen","2018-03-22","2018-03-22",,"NEON.DOC.000481vK",,
"4a7001c8-f274-4793-90cf-1480dcc1577f","bed423d8-e5ea-40d0-ac56-30e7065fda9e","SRER.2018.12","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","diversity","2018-03-22","2018-03-22",,"NEON.DOC.000481vK","Significant cow disturbance",
"acf18f20-374e-4a48-8166-a5cc308439af","484e2b78-c655-41a5-b972-69669c356696","SRER.2018.12","SRER_009.mammalGrid.mam","D14","SRER","SRER_009","diversity","2018-03-23","2018-03-23",,"NEON.DOC.000481vK",,
"b89fb5ed-4dac-420d-848b-b2a26c49067c","5c3ba9db-afbe-4aa5-9579-6803f8e016b8","SRER.2018.12","SRER_012.mammalGrid.mam","D14","SRER","SRER_012","pathogen","2018-03-23","2018-03-23",,"NEON.DOC.000481vK",,
"30073e33-0a26-4fa0-9b68-e42e2336e526","8b9b5161-a45c-4838-9796-005faee12e52","SRER.2018.12","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","pathogen","2018-03-24","2018-03-24",,"NEON.DOC.000481vK",,
"559cbd82-11f6-4cea-ad45-337cd9f04ab0","88be98e6-de91-4cbd-a27b-dfbba9c5e430","SRER.2018.12","SRER_005.mammalGrid.mam","D14","SRER","SRER_005","pathogen","2018-03-24","2018-03-24",,"NEON.DOC.000481vK",,
"45d95d85-a8b1-4442-89e4-4464f2d5710a","06549dcf-f0e7-4a21-874e-4809ab513e77","SRER.2018.12","SRER_005.mammalGrid.mam","D14","SRER","SRER_005","pathogen","2018-03-25","2018-03-25",,"NEON.DOC.000481vK","1 traps not set because of ants",
"66e88dc3-b024-4c31-8dfe-5ba1fcc22a85","e001d2e8-31b2-4b0e-aa3d-bdbe1a7dcccf","SRER.2018.12","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","pathogen","2018-03-25","2018-03-25",,"NEON.DOC.000481vK",,
"68a7a550-518e-45e0-a713-0e21d1e03b95","f4677c9d-7ef2-4e8e-bce0-0e2bf79f50d7","SRER.2018.12","SRER_007.mammalGrid.mam","D14","SRER","SRER_007","pathogen","2018-03-26","2018-03-26",,"NEON.DOC.000481vK",,
"30377019-62fc-4ee5-b318-16890477afce","a75a5c01-0da1-4a5e-816c-18090880c5a7","SRER.2018.12","SRER_005.mammalGrid.mam","D14","SRER","SRER_005","pathogen","2018-03-26","2018-03-26",,"NEON.DOC.000481vK",,
