uid,nightuid,namedLocation,domainID,siteID,plotID,trapCoordinate,plotType,nlcdClass,decimalLatitude,decimalLongitude,geodeticDatum,coordinateUncertainty,elevation,elevationUncertainty,trapStatus,trapType,collectDate,endDate,tagID,individualCode,taxonID,scientificName,taxonRank,identificationQualifier,identificationReferences,identificationHistoryID,voucherUpdate,nativeStatusCode,sex,recapture,fate,replacedTag,lifeStage,testes,nipples,pregnancyStatus,vagina,hindfootLength,earLength,tailLength,totalLength,weight,larvalTicksAttached,nymphalTicksAttached,adultTicksAttached,tickNumber,additionalParasites,frozenSamplePrepMethod,bloodSampleID,bloodSampleBarcode,bloodSampleMethod,bloodSampleVolume,fecalSampleID,fecalSampleBarcode,fecalSampleCondition,earSampleID,earSampleBarcode,hairSampleID,hairSampleBarcode,hairSampleContents,voucherSampleID,voucherSampleBarcode,measuredBy,recordedBy,identifiedBy,identifiedDate,remarks,dataQF,dataEntryRecordID
"7c31186d-7b21-40b7-bc40-fb329da7ab27","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","G7","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"cd558c56-12db-4c6e-8fff-fd18fceced72"
"b9469166-75dd-453c-ab57-cdaa19122a3f","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","E4","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"9a562bd5-c06b-4725-a635-3a5b808897b0"
"539baa8b-2fc0-4585-b28a-63121f3a254e","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","E6","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a733864f-0cae-4fe4-b3fb-f69b2c87deba"
"b610dcbc-57f6-4300-afc9-716ffd5c0b99","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","B2","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"f6bee927-3e4d-4822-86a1-6f2a3a3058c3"
"a4a5cf21-85f5-46e6-9c4b-4f21e20fcdf1","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","C2","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e2808bf0-3cbc-49ef-9df7-8fc61697e7eb"
"905ee3a9-013f-4c09-bd3f-b166a4edce8c","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","B7","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"bd828f96-f06b-4975-9e0b-e2dd85ef35ce"
"eb02b757-bb0b-4bd9-a969-69caabfe6743","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","D5","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"a073ebf0-1493-41fc-a98a-3b9e5f560fdd"
"c469bbfb-425b-4d11-91d9-cbe8e21a3929","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","B1","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"e1ad6cc4-54d0-4975-a835-f218bec5de45"
"46baf8be-f729-4ecf-bac8-f18cfd52b7a6","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","B3","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"76ee1086-754a-4c9d-8bfa-aada8c2138bf"
"1a132d17-3b93-439f-8439-d8b30d545855","d25c6b71-1368-4d89-9908-5e63f6fc0e2d","SRER_008.mammalGrid.mam","D14","SRER","SRER_008","D4","distributed","shrubScrub",31.866250,-110.813698,"WGS84",45.1,1183.9,0.1,"1 - trap not set","ShermanXLK","2024-05-06","2024-05-06",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78a6e9c4-65b4-4eff-b325-167e1848336e"
