uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,samplingProtocolVersion,remarks,dataQF
"cbfc69a4-fae6-4db2-b8c2-6a687232dadb","364BF19878914736B3415171F10315F7","STEI.2016.30","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH",,
"2889a5eb-5fe0-4c7a-b8db-7ef6b412ffdf","0800E49102084330A0AB1F15485291AC","STEI.2016.30","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH",,
"00c0124b-9d17-480b-b7f6-42202d1ebda6","FFEDC3758BC04F2BA46BD66915AFCB00","STEI.2016.30","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2016-07-26","2016-07-26",,"NEON.DOC.000481vH",,
"85daf438-4b1c-4d78-8fbd-03b558f80ab2","F6035F37AAB845B884724C6BF98C6FE2","STEI.2016.30","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH",,
"2cb375c6-4caf-4cc4-b425-480a3fe4df33","3CAE6D20AB654DE5AC033DEE52B92313","STEI.2016.30","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH",,
"586ffc65-888b-495e-887f-3921edb846ea","5B3F17A835B44ECD9B45BA9A7026EFAD","STEI.2016.30","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2016-07-27","2016-07-27",,"NEON.DOC.000481vH","Performed limited data collection on all animals",
"9eea9a9e-fb25-4afa-8f97-ba03595c6163","A8BF67580FA3479E9D6F5FD977072BD4","STEI.2016.30","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH","Performed limited processing.",
"6428951e-2632-45d7-9ade-c9d0d00294ad","5C28A0202BF1482B9B887A4B60FF7CDB","STEI.2016.30","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH","Limited processing because of time",
"d0670ec1-c44e-4845-8b3f-ddad50896d66","01549436D5B0460DA1F15F99900B25EC","STEI.2016.30","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2016-07-28","2016-07-28",,"NEON.DOC.000481vH",,
"81fe8882-f60f-421e-8e32-832d9167f543","73F2ABA7A20E44139C3C89E6F1DE9119","STEI.2016.30","STEI_019.mammalGrid.mam","D05","STEI","STEI_019","diversity","2016-07-29","2016-07-29",,"NEON.DOC.000481vH",,
"29d06d39-5aa7-4131-bd96-621cab38bad0","259B04837A8842C79F60E3BF85F3A232","STEI.2016.30","STEI_001.mammalGrid.mam","D05","STEI","STEI_001","diversity","2016-07-29","2016-07-29",,"NEON.DOC.000481vH",,
