uid,nightuid,eventID,namedLocation,domainID,siteID,plotID,mammalGridSamplingMethod,collectDate,endDate,samplingImpractical,gridCompletion,samplingProtocolVersion,remarks,dataQF
"d084cbe6-21cb-4483-a07b-625dd7ec09c6","9b20c061-4d3b-437a-ac6b-ffae6e927688","STEI.2025.26","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2025-06-24","2025-06-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"ccd49b94-4d5d-4c3e-b27b-b09ceaafd66f","9b60e665-262e-4d18-a8cd-90894baa76a9","STEI.2025.26","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2025-06-24","2025-06-24","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"eb8e096d-8044-487d-a86a-a67724a96c12","67b83d19-39b2-4359-b879-637ae7103e2d","STEI.2025.26","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2025-06-24","2025-06-24","OK","setting complete, no small mammals captured","NEON.DOC.000481vQ",,
"d4b8beeb-d403-4d34-86d3-8252cab215af","1a84137f-7efe-492f-ac86-5e2bf0af7d86","STEI.2025.26","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2025-06-25","2025-06-25","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"2903f2c0-2d4d-46b0-ba3d-557ce8924877","92bd36f5-d8ea-4bdb-9480-0908e74844fa","STEI.2025.26","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2025-06-25","2025-06-25","OK","setting complete, processing complete","NEON.DOC.000481vQ","75 traps set due to lack of batting",
"fcb7d8b3-6fe2-4bf9-8742-92abf2bf4287","c28b58cd-abaf-48b0-98e1-f1e72dafc990","STEI.2025.26","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2025-06-25","2025-06-25","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"0fb7a249-25b7-4c6e-b23c-25eba2b8f9be","2f9f05cb-6723-49b7-b6da-a8e4031a0e7c","STEI.2025.26","STEI_002.mammalGrid.mam","D05","STEI","STEI_002","pathogen","2025-06-26","2025-06-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"9bea6f4b-6f4b-433c-b9f4-df707f018fa5","6120d466-a3fe-4eeb-95f6-15df17048585","STEI.2025.26","STEI_005.mammalGrid.mam","D05","STEI","STEI_005","pathogen","2025-06-26","2025-06-26","OK","setting complete, processing complete","NEON.DOC.000481vQ","Muddy traps made determining if spoor difficult",
"72b51483-2b72-4d5f-82eb-84a680ae19eb","2029e090-8e9c-4596-bb23-5c12950a43da","STEI.2025.26","STEI_012.mammalGrid.mam","D05","STEI","STEI_012","pathogen","2025-06-26","2025-06-26","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"42df45df-18ad-45e1-a4e4-5535f79fc1ca","d2e8eb22-6f4b-4484-b74e-06913b803d12","STEI.2025.26","STEI_022.mammalGrid.mam","D05","STEI","STEI_022","diversity","2025-06-27","2025-06-27","location flooded",,"NEON.DOC.000481vQ","Diversity grid- Traps not set",
"7ee1dfe5-3ec3-4162-9249-811247196ec2","9d91b72f-c1e3-491f-a5d9-73b702f32ca7","STEI.2025.26","STEI_019.mammalGrid.mam","D05","STEI","STEI_019","diversity","2025-06-27","2025-06-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
"592ecd08-ea65-40ce-83c3-2efc9869879d","03b8ddae-2ee7-4424-a562-9678543a8cf7","STEI.2025.26","STEI_001.mammalGrid.mam","D05","STEI","STEI_001","diversity","2025-06-27","2025-06-27","OK","setting complete, processing complete","NEON.DOC.000481vQ",,
